INT	STRING	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING
9	陷阱	52	STD_IMPACT_052	1	186	-1	186	160	0	1	0	0	0	0	0	0	0	1	0	-1	0	0	0	0	0	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0	
10	签名录效果	10	StdImpact010	1	472	-1	-1	0	0	0	0	0	1	0	0	0	0	0	0	60000	1000	0	0	0	0	0	子效果1数据索引	-1	0	子效果2数据索引	-1	0	。。。	-1	0	子效果15数据索引	-1	0	子效果16数据索引	-1	0	， 一共可以填16个子效果，不用的子效果域请填-1。	-1	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0	
18	升级特效	0	StdImpact000	0	18	-1	-1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0	
19	钓鱼buff	38	StdImpact038	1	273	-1	273	10	0	0	0	1	0	0	0	0	0	0	0	600000	0	0	0	0	0	0		-1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	-1	
20	钓鱼buff	38	StdImpact038	1	274	-1	273	20	0	0	0	1	0	0	0	0	0	0	0	600000	0	0	0	0	0	0		-1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	-1	
21	钓鱼buff	38	StdImpact038	1	-1	-1	273	30	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		-1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	-1	
22	回城（瞬移）	9	STD_IMPACT_009	0	68	-1	-1	-1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	场景ID	0	0	X坐标	91	0	Z坐标	189	0			0			0			0			0			0			0			0			0			0			0			0			0			0	
23	宠物加血	0	StdImpact000	0	10	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0	
24	宠物加快乐	0	StdImpact000	0	12	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0	
35	打坐回复	10	StdImpact010	1	222	-1	222	5	1	0	0	1	1	0	1	1	1	1	0	3600000	3000	0	0	0	0	0	子效果1数据索引	36	0	子效果2数据索引	-1	0	。。。	-1	0	子效果15数据索引	-1	0	子效果16数据索引	-1	0	， 一共可以填16个子效果，不用的子效果域请填-1。	-1	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0	
36	打坐回复子效果	4	StdImpact004	0	10	-1	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	HP修改量	30	0	MP修改量	10	0	Rage修改量	0	0	StrikePoint修改量	0	0			0			0			0			0			0			0			0			0			0			0			0			0	
37	对峙（定身+无敌+沉默）	14	STD_IMPACT_014	1	276	-1	276	160	1	0	0	0	0	0	0	0	0	0	0	3000	0	0	0	0	0	0	可否使用任何技能（CanAction1标记，-1为无效）	0	0	可否使用任何技能（CanAction2标记,-1为无效）	0	0	可否移动（CanMove标记,-1为无效）	0	0	无敌否（Unbreakable标记,-1为无效）	1	0	移动速度修正%（0为无效）	0	0	隐身级别修正（0为无效）	0	0	反隐级别修正（0为无效）	0	0	变身ID(-1为无效)	-1	0	骑乘ID(-1为无效)	-1	0	允许还是禁止, 1: 允许； 0: 禁止； -1: 无效值；	-1	0	技能集合ID	-1	0	效果集合ID	-1	0			0			0			0			0	
38	遇敌（无法传送）	38	STD_IMPACT_038	1	277	-1	277	160	1	0	0	0	0	0	0	0	0	0	0	30000	0	0	0	0	0	0																								0			0			0			0			0			0			0			0			0	
39	破绽百出（被秒）	71	STD_IMPACT_071	1	280	-1	280	160	1	0	0	0	0	1	0	0	0	0	0	8000	0	0	0	0	0	0	攻击力的值放大	1	0	攻击力的百分比放大	3000	0	限定技能集合1	67	0	限定技能集合2	68	0	限定技能集合3	-1	0												0			0			0			0			0			0			0			0	
40	报复	0	StdImpact000	1	281	-1	281	0	0	0	0	0	0	1	0	0	0	0	0	120000	0	0	0	0	0	0																											0			0			0			0			0			0			0			0	
41	秒人	2	STD_IMPACT_001	0	23	-1	-1	0	-1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	伤害百分率	100	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0	直接减血10
42	监禁（无法使用技能和物品）	14	STD_IMPACT_014	1	282	-1	282	160	1	1	0	0	0	0	0	0	0	0	0	7200000	0	0	0	0	0	0	可否使用任何技能（CanAction1标记，-1为无效）	1	0	可否使用任何技能（CanAction2标记,-1为无效）	0	0	可否移动（CanMove标记,-1为无效）	1	0	无敌否（Unbreakable标记,-1为无效）	0	0	移动速度修正%（0为无效）	0	0	隐身级别修正（0为无效）	0	0	反隐级别修正（0为无效）	0	0	变身ID(-1为无效)	-1	0	骑乘ID(-1为无效)	-1	0	允许还是禁止, 1: 允许； 0: 禁止； -1: 无效值；	-1	0	技能集合ID	-1	0	效果集合ID	-1	0			0			0			0			0	
43	剧情攻击特效	0	StdImpact000	0	160	-1	-1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0	
44	剧情消失特效	0	StdImpact000	0	161	-1	-1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0	
45	剧情困惑特效	14	STD_IMPACT_014	1	212	-1	212	160	-1	0	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	可否使用任何技能（CanAction1标记，-1为无效）	0	0	可否使用任何技能（CanAction2标记,-1为无效）	0	0	可否移动（CanMove标记,-1为无效）	0	0	无敌否（Unbreakable标记,-1为无效）	0	0	移动速度修正%（0为无效）	0	0	隐身级别修正（0为无效）	0	0	反隐级别修正（0为无效）	0	0	变身ID(-1为无效)	-1	0	骑乘ID(-1为无效)	-1	0	允许还是禁止, 1: 允许； 0: 禁止； -1: 无效值；	-1	0	技能集合ID	-1	0	效果集合ID	-1	0			0			0			0			0	
46	棋王封印	14	STD_IMPACT_014	1	213	-1	213	160	-1	0	0	0	0	0	1	0	0	0	0	8000	0	0	0	0	0	0	可否使用任何技能（CanAction1标记，-1为无效）	0	0	可否使用任何技能（CanAction2标记,-1为无效）	0	0	可否移动（CanMove标记,-1为无效）	0	0	无敌否（Unbreakable标记,-1为无效）	0	0	移动速度修正%（0为无效）	0	0	隐身级别修正（0为无效）	0	0	反隐级别修正（0为无效）	0	0	变身ID(-1为无效)	-1	0	骑乘ID(-1为无效)	-1	0	允许还是禁止, 1: 允许； 0: 禁止； -1: 无效值；	-1	0	技能集合ID	-1	0	效果集合ID	-1	0			0			0			0			0	
47	接任务特效	0	StdImpact000	0	77	-1	-1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0	
48	交任务特效	0	StdImpact000	0	78	-1	-1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0	
49	升级特效(绿)	0	StdImpact000	0	79	-1	-1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0	
50	攻击免疫+攻击不能	14	STD_IMPACT_014	1	211	-1	211	160	0	0	0	0	0	0	0	1	0	0	0	20000	0	0	0	0	0	0	可否使用任何技能（CanAction1标记，-1为无效）	1	0	可否使用任何技能（CanAction2标记,-1为无效）	0	0	可否移动（CanMove标记,-1为无效）	1	0	无敌否（Unbreakable标记,-1为无效）	1	0	移动速度修正%（0为无效）	0	0	隐身级别修正（0为无效）	0	0	反隐级别修正（0为无效）	0	0	变身ID(-1为无效)	-1	0	骑乘ID(-1为无效)	-1	0	允许还是禁止, 1: 允许； 0: 禁止； -1: 无效值；	-1	0	技能集合ID	-1	0	效果集合ID	-1	0			0			0			0			0	
51	升级特效(黄)	0	StdImpact000	0	80	-1	-1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0	
52	实物（免疫点穴僵硬等一切不良buff）	17	STD_IMPACT_017	1	230	-1	230	160	1	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	免疫级别	121	0	免疫集合1	60	0	免疫集合2	52	0	免疫集合3	53	0	免疫集合4	45	0	免疫集合5	5	0	免疫集合6	6	0	免疫集合7	-1	0	免疫集合8	-1	0			0			0			0			0			0			0			0	
53	宠物双倍	38	StdImpact038	1	325	-1	325	1	0	1	0	0	0	0	0	0	0	0	0	3600000	0	0	0	0	0	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0	
54	传送保护	14	STD_IMPACT_014	1	334	-1	334	160	1	0	0	1	0	0	0	1	1	0	0	30000	0	0	0	0	0	0	可否使用任何技能（CanAction1标记，-1为无效）	1	0	可否使用任何技能（CanAction2标记,-1为无效）	1	0	可否移动（CanMove标记,-1为无效）	1	0	无敌否（Unbreakable标记,-1为无效）	1	0	移动速度修正%（0为无效）	0	0	隐身级别修正（0为无效）	0	0	反隐级别修正（0为无效）	0	0	变身ID(-1为无效)	-1	0	骑乘ID(-1为无效)	-1	0	允许还是禁止, 1: 允许； 0: 禁止； -1: 无效值；	-1	0	技能集合ID	-1	0	效果集合ID	-1	0			0			0			0			0	
55	珍兽群攻疲劳	38	StdImpact038	1	335	-1	335	160	1	1	0	0	0	0	0	0	0	0	0	60000	0	0	0	0	0	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0	
56	马鞍加速	73	StdImpact073	1	336	-1	336	160	1	1	0	0	0	0	0	0	0	0	0	3600000	0	0	0	0	0	0		20	0		66	0		-1	0		-1	0			0			0			0			0			0			0			0			0			0			0			0			0	
57	干坤壶	38	StdImpact038	1	343	-1	343	160	1	1	0	0	0	0	0	0	0	0	0	43200000	0	0	0	0	0	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0	
58	黄金马鞍加速	73	StdImpact073	1	1672	-1	336	160	1	1	0	0	0	0	0	0	0	0	0	86400000	0	0	0	0	0	0		30	0		66	0		-1	0		-1	0			0			0			0			0			0			0			0			0			0			0			0			0	
59	入帮冷却	15	StdImpact015	1	344	-1	344	160	0	1	0	0	0	0	0	0	0	0	1	1000	0	0	0	0	0	0	STR修正(0为无效)	5	0	Con修正(0为无效)	5	0	SPR修正(0为无效)	5	0	INT修正(0为无效)	5	0		5	0			0			0			0			0			0			0			0			0			0			0			0	
60	人物2.5倍	38	StdImpact038	1	349	-1	349	100	1	1	0	0	0	0	0	0	0	0	0	3600000	0	0	0	0	0	0																																																	
61	宠物2.5倍	38	StdImpact038	1	350	-1	325	100	1	1	0	0	0	0	0	0	0	0	0	3600000	0	0	0	0	0	0																																																	
62	人物1.5倍	38	StdImpact038	1	351	-1	349	100	1	1	0	0	0	0	0	0	0	0	0	3600000	0	0	0	0	0	0																																																	
63	999朵玫瑰特效	0	StdImpact000	0	208	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0	
64	珍兽神佑疲劳	38	StdImpact038	1	352	-1	352	160	1	1	0	0	0	0	0	0	0	0	0	600000	0	0	0	0	0	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0	
65	珍兽共生血祭疲劳	38	StdImpact038	1	353	-1	353	160	1	1	0	0	0	0	0	0	0	0	0	120000	0	0	0	0	0	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0	
66	999朵玫瑰持续特效	38	StdImpact038	1	354	-1	354	160	1	0	0	1	0	0	0	0	0	0	0	30000	0	0	0	0	0	0																											0			0			0			0			0			0			0			0	
67	招牌：霓虹灯	38	StdImpact038	1	700	-1	700	160	1	1	0	0	0	0	0	0	0	0	1	86400000	0	0	0	0	0	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0	
68	招牌：刀剑争锋	38	StdImpact038	1	701	-1	700	160	1	1	0	0	0	0	0	0	0	0	1	86400000	0	0	0	0	0	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0	
69	招牌：铁甲铜壁	38	StdImpact038	1	702	-1	700	160	1	1	0	0	0	0	0	0	0	0	1	86400000	0	0	0	0	0	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0	
70	招牌：珍禽异兽	38	StdImpact038	1	703	-1	700	160	1	1	0	0	0	0	0	0	0	0	1	86400000	0	0	0	0	0	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0	
71	招牌：金字招牌	38	StdImpact038	1	704	-1	700	160	1	1	0	0	0	0	0	0	0	0	1	86400000	0	0	0	0	0	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0	
72	珍兽肉墙疲劳	38	StdImpact000	1	357	-1	357	120	1	1	0	0	0	0	0	0	0	0	0	60000	0	0	0	0	0	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0	
73	龙王封印	14	STD_IMPACT_014	1	213	-1	213	160	-1	0	0	0	0	0	1	0	0	0	0	15000	0	0	0	0	0	0	可否使用任何技能（CanAction1标记，-1为无效）	0	0	可否使用任何技能（CanAction2标记,-1为无效）	0	0	可否移动（CanMove标记,-1为无效）	0	0	无敌否（Unbreakable标记,-1为无效）	0	0	移动速度修正%（0为无效）	0	0	隐身级别修正（0为无效）	0	0	反隐级别修正（0为无效）	0	0	变身ID(-1为无效)	-1	0	骑乘ID(-1为无效)	-1	0	允许还是禁止, 1: 允许； 0: 禁止； -1: 无效值；	-1	0	技能集合ID	-1	0	效果集合ID	-1	0			0			0			0			0	
74	爱神之吻	38	StdImpact038	1	233	-1	7	10	0	0	0	1	0	0	0	0	0	0	1	7200000	0	0	0	0	0	0																																																0	
75	永恒钻戒	15	StdImpact015	1	243	-1	8	10	1	1	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	STR修正(0为无效)	10	0	Con修正(0为无效)	10	0	SPR修正(0为无效)	10	0	INT修正(0为无效)	10	0	DEX修正(0为无效)	10	0			0			0			0			0			0			0			0			0			0			0			0	
76	珍珑之光	15	StdImpact015	1	244	-1	47	10	1	0	1	1	0	0	0	0	0	0	0	2100000	0	0	0	0	0	0	STR修正(0为无效)	8	0	Con修正(0为无效)	8	0	SPR修正(0为无效)	8	0	INT修正(0为无效)	8	0	DEX修正(0为无效)	8	0			0			0			0			0			0			0			0			0			0			0			0	
77	钓鱼BUFF	14	STD_IMPACT_014	1	499	-1	334	160	1	0	0	1	0	0	0	1	1	0	0	50000	0	0	0	0	0	0	可否使用任何技能（CanAction1标记，-1为无效）	1	0	可否使用任何技能（CanAction2标记,-1为无效）	1	0	可否移动（CanMove标记,-1为无效）	1	0	无敌否（Unbreakable标记,-1为无效）	1	0	移动速度修正%（0为无效）	0	0	隐身级别修正（0为无效）	0	0	反隐级别修正（0为无效）	0	0	变身ID(-1为无效)	-1	0	骑乘ID(-1为无效)	-1	0	允许还是禁止, 1: 允许； 0: 禁止； -1: 无效值；	-1	0	技能集合ID	-1	0	效果集合ID	-1	0			0			0			0			0	
78	帮会宣战保护BUFF	14	STD_IMPACT_014	1	245	-1	334	160	1	0	0	1	0	0	0	1	0	0	0	15000	0	0	0	0	0	0	可否使用任何技能（CanAction1标记，-1为无效）	1	0	可否使用任何技能（CanAction2标记,-1为无效）	1	0	可否移动（CanMove标记,-1为无效）	1	0	无敌否（Unbreakable标记,-1为无效）	1	0	移动速度修正%（0为无效）	0	0	隐身级别修正（0为无效）	0	0	反隐级别修正（0为无效）	0	0	变身ID(-1为无效)	-1	0	骑乘ID(-1为无效)	-1	0	允许还是禁止, 1: 允许； 0: 禁止； -1: 无效值；	-1	0	技能集合ID	-1	0	效果集合ID	-1	0			0			0			0			0	
79	青龙特效	15	StdImpact000	1	831	-1	56	10	0	0	0	0	0	0	0	0	0	0	0	1000	0	0	0	0	0	0	STR修正(0为无效)	0	0	Con修正(0为无效)	0	0	SPR修正(0为无效)	0	0	INT修正(0为无效)	0	0	DEX修正(0为无效)	0	0			0			0			0			0			0			0			0			0			0			0			0	
80	白虎特效	15	StdImpact000	1	832	-1	56	10	0	0	0	0	0	0	0	0	0	0	0	1000	0	0	0	0	0	0	STR修正(0为无效)	0	0	Con修正(0为无效)	0	0	SPR修正(0为无效)	0	0	INT修正(0为无效)	0	0	DEX修正(0为无效)	0	0			0			0			0			0			0			0			0			0			0			0			0	
81	朱雀特效	15	StdImpact000	1	833	-1	56	10	0	0	0	0	0	0	0	0	0	0	0	1000	0	0	0	0	0	0	STR修正(0为无效)	0	0	Con修正(0为无效)	0	0	SPR修正(0为无效)	0	0	INT修正(0为无效)	0	0	DEX修正(0为无效)	0	0			0			0			0			0			0			0			0			0			0			0			0	
82	玄武特效	15	StdImpact000	1	834	-1	56	10	0	0	0	0	0	0	0	0	0	0	0	1000	0	0	0	0	0	0	STR修正(0为无效)	0	0	Con修正(0为无效)	0	0	SPR修正(0为无效)	0	0	INT修正(0为无效)	0	0	DEX修正(0为无效)	0	0			0			0			0			0			0			0			0			0			0			0			0	
83	校场(解状态)	18	STD_IMPACT_018	0	-1	-1	-1	300	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	驱散级别	300	0	驱散个数	35	0	驱散集合1	60	0	驱散集合2	52	0	驱散集合3	53	0	驱散集合4	45	0		5	0		6	0		-1	0		-1	0			0			0			0			0			0			0	
84	校场(解变身)	18	STD_IMPACT_018	0	-1	-1	-1	300	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	驱散级别	300	0	驱散个数	35	0	驱散集合1	99	0	驱散集合2	-1	0	驱散集合3	-1	0	驱散集合4	-1	0		-1	0		-1	0		-1	0		-1	0			0			0			0			0			0			0	
85	永恒钻戒	15	StdImpact015	1	1056	-1	8	10	1	1	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	STR修正(0为无效)	300	0	Con修正(0为无效)	300	0	SPR修正(0为无效)	300	0	INT修正(0为无效)	300	0	DEX修正(0为无效)	300	0			0			0			0			0			0			0			0			0			0			0			0	
88	人物5倍	38	StdImpact038	1	4470	-1	349	160	0	1	1	0	0	0	0	0	0	0	0	3600000	0	0	0	0	0	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0	
94	隧道股份	0	StdImpact000	0	-1	-1	-1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0	加10外攻
95	宋辽休息室保护	14	STD_IMPACT_014	1	1342	-1	1342	160	1	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	可否使用任何技能（CanAction1标记，-1为无效）	可否使用任何技能（CanAction1标记，-2为无效）	0	可否使用任何技能（CanAction2标记,-1为无效）	0	0	可否移动（CanMove标记,-1为无效）	1	0	无敌否（Unbreakable标记,-1为无效）	1	0	移动速度修正%（0为无效）	0	0	隐身级别修正（0为无效）	0	0	反隐级别修正（0为无效）	0	0	变身ID(-1为无效)	-1	0	骑乘ID(-1为无效)	-1	0	允许还是禁止, 1: 允许； 0: 禁止； -1: 无效值；	-1	0	技能集合ID	-1	0	效果集合ID	-1	0			0			0			0			0	直接减血10
97	伤害推进	1	STD_IMPACT_001	0	6	-1	-1	0	-1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	伤害数值+	100	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0	直接减血10
98	玄灵丹	38	StdImpact038	1	1685	-1	1685	100	1	1	0	0	0	0	0	0	0	0	0	7200000	0	0	0	0	0	0																																																	
99	人物5倍经验	38	StdImpact038	1	-1	-1	-1	160	0	1	1	0	0	0	0	0	0	0	0	36000000	0	0	0	0	0	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0	
100	捉宠特效	0	StdImpact000	0	-1	-1	-1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0	隐身5秒
101	初级外防	11	STD_IMPACT_011	1	41	-1	41	5	1	0	0	1	0	0	0	0	0	1	0	300000	0	0	0	0	0	0	物理攻击+	0	0	物理防御+	190	0	魔法攻击+	0	0	魔法防御+	0	0	冰系攻击修正	0	0	冰系抗性修正	0	0	火系攻击修正	0	0	火系抗性修正	0	0	电系攻击修正	0	0	电系抗性修正	0	0	毒系攻击修正	0	0	毒系抗性修正	0	0	MAX_HP修正	0	0	MAX_MP修正	0	0	MAX_RAGE修正	0	0	MAX_STRIKE_POINT修正	0	0	加10物防
102	初级外攻	3	STD_IMPACT_003	0	0	-1	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理攻击+	571	0	魔法攻击+	0	0	冰系攻击	0	0	火系攻击	0	0	电系攻击	0	0	毒系攻击	0	0	伤害数值		0			0			0			0			0			0			0			0			0			0	加10外攻
