INT	INT	STRING	INT	INT	INT
10102355	1225	棒棒糖（绿）（5级）	-1	-1	0
10102361	731	棒棒糖（蓝）（1级）	-1	-1	0
10102362	1218	棒棒糖（蓝）（2级）	-1	-1	0
10102363	1219	棒棒糖（蓝）（3级）	-1	-1	0
10102364	1220	棒棒糖（蓝）（4级）	-1	-1	0
10102365	1221	棒棒糖（蓝）（5级）	-1	-1	0
10102371	1310	冷玉寒芳（1级）	42	310	0
10102372	1311	冷玉寒芳（2级）	42	310	0
10102373	1312	冷玉寒芳（3级）	42	310	0
10102374	1313	冷玉寒芳（4级）	42	310	0
10102375	1314	冷玉寒芳（5级）	42	310	0
10102381	1319	芙蓉香（1级）	-1	-1	0
10102382	1320	芙蓉香（2级）	-1	-1	0
10102383	1321	芙蓉香（3级）	-1	-1	0
10102384	1322	芙蓉香（4级）	-1	-1	0
10102385	1323	芙蓉香（5级）	-1	-1	0
10102391	1324	幽梦（1级）	43	311	0
10102392	1325	幽梦（2级）	43	311	0
10102393	1326	幽梦（3级）	43	311	0
10102394	1327	幽梦（4级）	43	311	0
10102395	1328	幽梦（5级）	43	311	0
10102401	1329	柔情（1级）	44	311	0
10102402	1330	柔情（2级）	44	311	0
10102403	1331	柔情（3级）	44	311	0
10102404	1332	柔情（4级）	44	311	0
10102405	1333	柔情（5级）	44	311	0
10102411	1335	玉隐桃芳（1级）	38	312	0
10102412	1336	玉隐桃芳（2级）	38	312	0
10102413	1337	玉隐桃芳（3级）	38	312	0
10102414	1338	玉隐桃芳（4级）	38	312	0
10102415	1339	玉隐桃芳（5级）	38	312	0
10102421	1350	绿绮（1级）	36	313	0
10102422	1351	绿绮（2级）	36	313	0
10102423	1352	绿绮（3级）	36	313	0
10102424	1353	绿绮（4级）	36	313	0
10102425	1354	绿绮（5级）	36	313	0
10102431	1360	莲幽（1级）	37	314	0
10102432	1361	莲幽（2级）	37	314	0
10102433	1362	莲幽（3级）	37	314	0
10102434	1363	莲幽（4级）	37	314	0
10102435	1364	莲幽（5级）	37	314	0
10102441	1370	暖香粉蕊（1级）	41	310	0
10102442	1371	暖香粉蕊（2级）	41	310	0
10102443	1372	暖香粉蕊（3级）	41	310	0
10102444	1373	暖香粉蕊（4级）	41	310	0
10102445	1374	暖香粉蕊（5级）	41	310	0
10102451	1380	玉隐梨香（1级）	35	312	0
10102452	1381	玉隐梨香（2级）	35	312	0
10102453	1382	玉隐梨香（3级）	35	312	0
10102454	1383	玉隐梨香（4级）	35	312	0
10102455	1384	玉隐梨香（5级）	35	312	0
10102461	1436	诗露蔷薇（1级）	39	312	0
10102462	1437	诗露蔷薇（2级）	39	312	0
10102463	1438	诗露蔷薇（3级）	39	312	0
10102464	1439	诗露蔷薇（4级）	39	312	0
10102465	1440	诗露蔷薇（5级）	39	312	0
10102471	1451	诗袖罗兰（1级）	40	312	0
10102472	1452	诗袖罗兰（2级）	40	312	0
10102473	1453	诗袖罗兰（3级）	40	312	0
10102474	1454	诗袖罗兰（4级）	40	312	0
10102475	1455	诗袖罗兰（5级）	40	312	0
10102481	1466	舞春花鼓（1级）	-1	-1	0
10102482	1467	舞春花鼓（2级）	-1	-1	0
10102483	1468	舞春花鼓（3级）	-1	-1	0
10102484	1469	舞春花鼓（4级）	-1	-1	0
10102485	1470	舞春花鼓（5级）	-1	-1	0
10102491	1481	绝世好串（1级）	-1	-1	0
10102492	1482	绝世好串（2级）	-1	-1	0
10102493	1483	绝世好串（3级）	-1	-1	0
10102494	1484	绝世好串（4级）	-1	-1	0
10102495	1485	绝世好串（5级）	-1	-1	0
10102501	1471	影流韶（1级）	-1	-1	0
10102502	1472	影流韶（2级）	-1	-1	0
10102503	1473	影流韶（3级）	-1	-1	0
10102504	1474	影流韶（4级）	-1	-1	0
10102505	1475	影流韶（5级）	-1	-1	0
10102511	1476	梦迷离（1级）	-1	-1	0
10102512	1477	梦迷离（2级）	-1	-1	0
10102513	1478	梦迷离（3级）	-1	-1	0
10102514	1479	梦迷离（4级）	-1	-1	0
10102515	1480	梦迷离（5级）	-1	-1	0
10102521	1486	龙卧灯（1级）	-1	-1	0
10102522	1487	龙卧灯（2级）	-1	-1	0
10102523	1488	龙卧灯（3级）	-1	-1	0
10102524	1489	龙卧灯（4级）	-1	-1	0
10102525	1490	龙卧灯（5级）	-1	-1	0
10102531	1491	凤衔烛（1级）	-1	-1	0
10102532	1492	凤衔烛（2级）	-1	-1	0
10102533	1493	凤衔烛（3级）	-1	-1	0
10102534	1494	凤衔烛（4级）	-1	-1	0
10102535	1495	凤衔烛（5级）	-1	-1	0
10102541	1561	忆王孙（1级）	45	312	0
10102542	1562	忆王孙（2级）	45	312	0
10102543	1563	忆王孙（3级）	45	312	0
10102544	1564	忆王孙（4级）	45	312	0
10102545	1565	忆王孙（5级）	45	312	0
10102551	1546	云庭里（1级）	46	312	0
10102552	1547	云庭里（2级）	46	312	0
10102553	1548	云庭里（3级）	46	312	0
10102554	1549	云庭里（4级）	46	312	0
10102555	1550	云庭里（5级）	46	312	0
10102561	1541	浮雪三千（1级）	-1	-1	0
10102562	1542	浮雪三千（2级）	-1	-1	0
10102563	1543	浮雪三千（3级）	-1	-1	0
10102564	1544	浮雪三千（4级）	-1	-1	0
10102565	1545	浮雪三千（5级）	-1	-1	0
10102571	1305	仿·太虚归星杖（1级）	-1	-1	0
10102572	1306	仿·太虚归星杖（2级）	-1	-1	0
10102573	1307	仿·太虚归星杖（3级）	-1	-1	0
10102574	1308	仿·太虚归星杖（4级）	-1	-1	0
10102575	1309	仿·太虚归星杖（5级）	-1	-1	0
10102581	1431	霜玉流光（1级）	-1	-1	0
10102582	1432	霜玉流光（2级）	-1	-1	0
10102583	1433	霜玉流光（3级）	-1	-1	0
10102584	1434	霜玉流光（4级）	-1	-1	0
10102585	1435	霜玉流光（5级）	-1	-1	0
10102591	1576	庭燎有辉（1级）	-1	-1	0
10102592	1577	庭燎有辉（2级）	-1	-1	0
10102593	1578	庭燎有辉（3级）	-1	-1	0
10102594	1579	庭燎有辉（4级）	-1	-1	0
10102595	1580	庭燎有辉（5级）	-1	-1	0
10102601	1582	合欢扇（1级）	-1	-1	0
10102602	1583	合欢扇（2级）	-1	-1	0
10102603	1584	合欢扇（3级）	-1	-1	0
10102604	1585	合欢扇（4级）	-1	-1	0
10102605	1586	合欢扇（5级）	-1	-1	0
10102611	1591	天河定海（1级）	47	316	0
10102612	1592	天河定海（2级）	47	316	0
10102613	1593	天河定海（3级）	47	316	0
10102614	1594	天河定海（4级）	47	316	0
10102615	1595	天河定海（5级）	47	316	0
-1	1428	天谕	34	315	1
-1	1429	天谕	34	315	1
-1	1430	天谕	34	315	1
-1	1425	归墟	33	315	1
-1	1426	归墟	33	315	1
-1	1427	归墟	33	315	1
-1	1422	帝阙	32	315	1
-1	1423	帝阙	32	315	1
-1	1424	帝阙	32	315	1
-1	1419	浮生	31	315	1
-1	1420	浮生	31	315	1
-1	1421	浮生	31	315	1
-1	1416	神隐	30	315	1
-1	1417	神隐	30	315	1
-1	1418	神隐	30	315	1
-1	1413	入灭	29	315	1
-1	1414	入灭	29	315	1
-1	1415	入灭	29	315	1
-1	1410	幽冥	28	315	1
-1	1411	幽冥	28	315	1
-1	1412	幽冥	28	315	1
-1	1407	造化	27	315	1
-1	1408	造化	27	315	1
-1	1409	造化	27	315	1
-1	1404	道冲	26	315	1
-1	1405	道冲	26	315	1
-1	1406	道冲	26	315	1
-1	1401	伏龙	25	315	1
-1	1402	伏龙	25	315	1
-1	1403	伏龙	25	315	1
-1	1398	明尊	24	315	1
-1	1399	明尊	24	315	1
-1	1400	明尊	24	315	1
-1	1395	释迦	23	315	1
-1	1396	释迦	23	315	1
-1	1397	释迦	23	315	1
-1	1778	沧海	0	315	1
-1	1622	沧海	0	315	1
-1	1775	沧海	0	315	1
