INT	STRING	INT	INT	INT	INT	INT	INT	INT
10103005	龙凤剑	34	0	3525	0	0	0	0
10103006	宣花双斧	23	0	3572	0	0	0	0
10103007	蝶恋花	11	0	3619	0	0	0	0
10104002	绢宫扇	57	0	3666	0	0	0	0
10104003	象牙扇	57	0	3713	0	0	0	0
10104004	白玉扇	46	0	3760	0	0	0	0
10104005	火云扇	34	0	3807	0	0	0	0
10104006	伏魔扇	23	0	3854	0	0	0	0
10104007	无形扇	11	0	3901	0	0	0	0
10105002	紫玉环	57	0	3948	0	0	0	0
10105003	冷霜环	57	0	3995	0	0	0	0
10105004	拂香环	46	0	4042	0	0	0	0
10105005	明月环	34	0	4089	0	0	0	0
10105006	多情环	23	0	4136	0	0	0	0
10105007	逍遥圈	11	0	4183	0	0	0	0
10110005	绢丝帽	57	0	4230	0	0	0	0
10110008	绫罗帽	57	0	4277	0	0	0	0
10110011	狼皮帽	46	0	4324	0	0	0	0
10110014	虎皮帽	34	0	4371	0	0	0	0
10110017	苍蟒帽	23	0	4418	0	0	0	0
10110020	天璇帽	11	0	4465	0	0	0	0
10111005	绢丝鞋	57	0	4512	0	0	0	0
10111008	绫罗鞋	57	0	4559	0	0	0	0
10111011	狼皮鞋	46	0	4606	0	0	0	0
10111014	虎皮鞋	34	0	4653	0	0	0	0
10111017	苍蟒鞋	23	0	4700	0	0	0	0
10111020	天璇鞋	11	0	4747	0	0	0	0
10112005	绢丝护腕	57	0	4794	0	0	0	0
10112008	绫罗护腕	57	0	4841	0	0	0	0
10112011	狼皮护腕	46	0	4888	0	0	0	0
10112014	虎皮护腕	34	0	4935	0	0	0	0
10112017	苍蟒护腕	23	0	4982	0	0	0	0
10112020	天璇护腕	11	0	5029	0	0	0	0
10113005	绢丝衣	57	0	5076	0	0	0	0
10113008	绫罗衣	57	0	5123	0	0	0	0
10113011	狼皮衣	46	0	5170	0	0	0	0
10113014	虎皮衣	34	0	5217	0	0	0	0
10113017	苍蟒衣	23	0	5264	0	0	0	0
10113020	天璇衣	11	0	5311	0	0	0	0
10120002	蓝宝项链	57	0	5358	0	0	0	0
10120003	太极护符	57	0	5405	0	0	0	0
10120004	云海链	46	0	5452	0	0	0	0
10120005	琥珀护符	34	0	5499	0	0	0	0
10120006	七情束	23	0	5546	0	0	0	0
10120007	情人泪	11	0	5593	0	0	0	0
10121002	如意腰带	57	0	5640	0	0	0	0
10121003	明蛟腰带	57	0	5687	0	0	0	0
10121004	北斗箍环	46	0	5734	0	0	0	0
10121005	天火环带	34	0	5781	0	0	0	0
10121006	混天环带	23	0	5828	0	0	0	0
10121007	神霄带	11	0	5875	0	0	0	0
10122002	银竹戒指	57	0	5922	0	0	0	0
10122003	百裂戒指	57	0	5969	0	0	0	0
10122004	如意戒指	46	0	6016	0	0	0	0
10122005	流影	34	0	6063	0	0	0	0
10122006	灵韵	23	0	6110	0	0	0	0
10122007	九宫	11	0	6157	0	0	0	0
20308002	刀斧打造图2级	28	0	6204	0	0	0	0
20308003	刀斧打造图3级	28	0	6251	0	0	0	0
20308004	刀斧打造图4级	23	0	6298	0	0	0	0
20308005	刀斧打造图5级	17	1	6345	0	0	0	0
20308006	刀斧打造图6级	11	1	6392	0	0	0	0
20308007	刀斧打造图7级	5	1	6439	0	0	0	0
20308012	枪棒打造图2级	28	0	6486	0	0	0	0
20308013	枪棒打造图3级	28	0	6533	0	0	0	0
20308014	枪棒打造图4级	23	0	6580	0	0	0	0
20308015	枪棒打造图5级	17	1	6627	0	0	0	0
20308016	枪棒打造图6级	11	1	6674	0	0	0	0
20308017	枪棒打造图7级	5	1	6721	0	0	0	0
20308022	单短打造图2级	28	0	6768	0	0	0	0
20308023	单短打造图3级	28	0	6815	0	0	0	0
20308024	单短打造图4级	23	0	6862	0	0	0	0
20308025	单短打造图5级	17	1	6909	0	0	0	0
20308026	单短打造图6级	11	1	6956	0	0	0	0
20308027	单短打造图7级	5	1	7003	0	0	0	0
20308032	双短打造图2级	28	0	7050	0	0	0	0
20308033	双短打造图3级	28	0	7097	0	0	0	0
20308034	双短打造图4级	23	0	7144	0	0	0	0
20308035	双短打造图5级	17	1	7191	0	0	0	0
20308036	双短打造图6级	11	1	7238	0	0	0	0
20308037	双短打造图7级	5	1	7285	0	0	0	0
20308042	扇打造图2级	28	0	7332	0	0	0	0
20308043	扇打造图3级	28	0	7379	0	0	0	0
20308044	扇打造图4级	23	0	7426	0	0	0	0
20308045	扇打造图5级	17	1	7473	0	0	0	0
20308046	扇打造图6级	11	1	7520	0	0	0	0
20308047	扇打造图7级	5	1	7567	0	0	0	0
20308052	环打造图2级	28	0	7614	0	0	0	0
20308053	环打造图3级	28	0	7661	0	0	0	0
20308054	环打造图4级	23	0	7708	0	0	0	0
20308055	环打造图5级	17	1	7755	0	0	0	0
20308056	环打造图6级	11	1	7802	0	0	0	0
20308057	环打造图7级	5	1	7849	0	0	0	0
20308062	帽子打造图2级	28	0	7896	0	0	0	0
20308063	帽子打造图3级	28	0	7943	0	0	0	0
20308064	帽子打造图4级	23	0	7990	0	0	0	0
20308065	帽子打造图5级	17	1	8037	0	0	0	0
20308066	帽子打造图6级	11	1	8084	0	0	0	0
20308067	帽子打造图7级	5	1	8131	0	0	0	0
20308072	衣服打造图2级	28	0	8178	0	0	0	0
20308073	衣服打造图3级	28	0	8225	0	0	0	0
20308074	衣服打造图4级	23	0	8272	0	0	0	0
20308075	衣服打造图5级	17	1	8319	0	0	0	0
20308076	衣服打造图6级	11	1	8366	0	0	0	0
20308077	衣服打造图7级	5	1	8413	0	0	0	0
20308082	护腕打造图2级	28	0	8460	0	0	0	0
20308083	护腕打造图3级	28	0	8507	0	0	0	0
20308084	护腕打造图4级	23	0	8554	0	0	0	0
20308085	护腕打造图5级	17	1	8601	0	0	0	0
20308086	护腕打造图6级	11	1	8648	0	0	0	0
20308087	护腕打造图7级	5	1	8695	0	0	0	0
20308092	鞋子打造图2级	28	0	8742	0	0	0	0
20308093	鞋子打造图3级	28	0	8789	0	0	0	0
20308094	鞋子打造图4级	23	0	8836	0	0	0	0
20308095	鞋子打造图5级	17	1	8883	0	0	0	0
20308096	鞋子打造图6级	11	1	8930	0	0	0	0
20308097	鞋子打造图7级	5	1	8977	0	0	0	0
20308102	项链打造图2级	28	0	9024	0	0	0	0
20308103	项链打造图3级	28	0	9071	0	0	0	0
20308104	项链打造图4级	23	0	9118	0	0	0	0
20308105	项链打造图5级	17	1	9165	0	0	0	0
20308106	项链打造图6级	11	1	9212	0	0	0	0
20308107	项链打造图7级	5	1	9259	0	0	0	0
20308112	戒指打造图2级	28	0	9306	0	0	0	0
20308113	戒指打造图3级	28	0	9353	0	0	0	0
20308114	戒指打造图4级	23	0	9400	0	0	0	0
20308115	戒指打造图5级	17	1	9447	0	0	0	0
20308116	戒指打造图6级	11	1	9494	0	0	0	0
20308117	戒指打造图7级	5	1	9541	0	0	0	0
20308122	腰饰打造图2级	28	0	9588	0	0	0	0
20308123	腰饰打造图3级	28	0	9635	0	0	0	0
20308124	腰饰打造图4级	23	0	9682	0	0	0	0
20308125	腰饰打造图5级	17	1	9729	0	0	0	0
20308126	腰饰打造图6级	11	1	9776	0	0	0	0
20308127	腰饰打造图7级	5	1	9823	0	0	0	0
20109002	竹箭	625	0	9870	0	0	0	0
20109003	牦牛角	625	0	9917	0	0	0	0
20109004	紫竹箭	500	0	9964	0	0	0	0
20109005	玉犀角	375	1	10011	0	0	0	0
20109006	湘妃箭	250	1	10058	0	0	0	0
20109007	浚云之角	125	1	10105	0	0	0	0
50101001	猫眼石（1级）	75	0	10152	0	0	0	0
50101002	虎眼石（1级）	75	0	10199	0	0	0	0
50102001	黄晶石（1级）	75	0	10246	0	0	0	0
50102002	蓝晶石（1级）	75	0	10293	0	0	0	0
50102003	红晶石（1级）	75	0	10340	0	0	0	0
50102004	绿晶石（1级）	75	0	10387	0	0	0	0
50103001	紫玉（1级）	75	0	10434	0	0	0	0
50104002	变石（1级）	75	1	10481	0	0	0	0
50111001	石榴石（1级）	75	0	10528	0	0	0	0
50111002	尖晶石（1级）	75	0	10575	0	0	0	0
50112001	黄玉（1级）	75	0	10622	0	0	0	0
50112002	皓石（1级）	75	0	10669	0	0	0	0
50112003	月光石（1级）	75	0	10716	0	0	0	0
50112004	碧玺（1级）	75	0	10763	0	0	0	0
50113001	黄宝石（1级）	75	0	10810	0	0	0	0
50113002	蓝宝石（1级）	75	0	10857	0	0	0	0
50113003	绿宝石（1级）	75	0	10904	0	0	0	0
50113004	红宝石（1级）	75	0	10951	0	0	0	0
50113005	黑宝石（1级）	75	0	10998	0	0	0	0
50114001	祖母绿（1级）	75	0	11045	0	0	0	0
30304045	相思红豆粥食谱	5	1	11092	0	0	0	0
30304046	水鸭润肺汤食谱	5	1	11139	0	0	0	0
30304047	核桃鸡丁食谱	5	1	11186	0	0	0	0
30304048	鱼香碎白肉食谱	5	1	11233	0	0	0	0
30304049	山椒醉鸡翅食谱	5	1	11280	0	0	0	0
30304050	黄油鲅鱼 食谱	5	1	11327	0	0	0	0
30304051	海带牛肉汤食谱	5	1	11374	0	0	0	0
30304052	干炸鲫鱼食谱	5	1	11421	0	0	0	0
30304053	木耳猪肉片食谱	5	1	11468	0	0	0	0
30304054	烤肉盖饭食谱	2	1	11515	0	0	0	0
30304055	煨烤鲑鱼食谱	2	1	11562	0	0	0	0
30304056	川肉丝食谱	2	1	11609	0	0	0	0
30304057	碗仔翅食谱	2	1	11656	0	0	0	0
30304058	盐煎肉食谱	2	1	11703	0	0	0	0
30304059	麻辣鸭胗食谱	2	1	11750	0	0	0	0
30304060	香菇滑鸡食谱	2	1	11797	0	0	0	0
30304061	翡翠双冬蹄膀食谱	2	1	11844	0	0	0	0
30304062	山椒蒸鲩鱼食谱	2	1	11891	0	0	0	0
30303055	冰龙丹药方	5	1	11938	0	0	0	0
30303056	龟甲散药方	5	1	11985	0	0	0	0
30303057	金雷丸药方	5	1	12032	0	0	0	0
30303058	五毒散药方	5	1	12079	0	0	0	0
30303059	仙丹冰澜药方	2	1	12126	0	0	0	0
30303060	仙丹避邪药方	2	1	12173	0	0	0	0
30303061	仙丹玄炎药方	2	1	12220	0	0	0	0
30303062	仙丹凤珠药方	2	1	12267	0	0	0	0
20700001	重楼之泪	2	1	12314	0	0	0	0
20700002	重楼之芒	2	1	12361	0	0	0	0
20700003	重楼之灵	2	1	12408	0	0	0	0
20700005	重楼之魄	2	1	12455	0	0	0	0
