INT	INT	INT	INT	INT	INT	INT
1502	496.848581	20109002	1	-1	-1	-1
1503	577.990012	20109002	1	-1	-1	-1
1504	1000000	20109101	1	3000000	20310111	1
1601	415.707151	20109002	1	-1	-1	-1
1602	496.848581	20109002	1	-1	-1	-1
1603	577.990012	20109002	1	-1	-1	-1
1604	1000000	20109101	1	3000000	20310111	1
1701	415.707151	20109002	1	-1	-1	-1
1702	496.848581	20109002	1	-1	-1	-1
1703	577.990012	20109002	1	-1	-1	-1
1704	1000000	20109101	1	3000000	20310111	1
1801	415.707151	20109002	1	-1	-1	-1
1802	496.848581	20109002	1	-1	-1	-1
1803	577.990012	20109002	1	-1	-1	-1
1804	1000000	20109101	1	3000000	20310111	1
1901	415.707151	20109002	1	-1	-1	-1
1902	496.848581	20109002	1	-1	-1	-1
1903	577.990012	20109002	1	-1	-1	-1
1904	1000000	20109101	1	3000000	20310111	1
2001	415.707151	20109002	1	-1	-1	-1
2002	496.848581	20109002	1	-1	-1	-1
2003	577.990012	20109002	1	-1	-1	-1
2004	1000000	20109101	1	3000000	20310111	1
2101	415.707151	20109003	1	-1	-1	-1
2102	496.848581	20109003	1	-1	-1	-1
2103	577.990012	20109003	1	-1	-1	-1
2104	1000000	20109101	1	3000000	20310111	1
2201	415.707151	20109003	1	-1	-1	-1
2202	496.848581	20109003	1	-1	-1	-1
2203	577.990012	20109003	1	-1	-1	-1
2204	1000000	20109101	1	3000000	20310111	1
2301	415.707151	20109003	1	-1	-1	-1
2302	496.848581	20109003	1	-1	-1	-1
2303	577.990012	20109003	1	-1	-1	-1
2304	1000000	20109101	1	3000000	20310111	1
2401	415.707151	20109003	1	-1	-1	-1
2402	496.848581	20109003	1	-1	-1	-1
2403	577.990012	20109003	1	-1	-1	-1
2404	1000000	20109101	1	3000000	20310111	1
2501	415.707151	20109003	1	-1	-1	-1
2502	496.848581	20109003	1	-1	-1	-1
2503	577.990012	20109003	1	-1	-1	-1
2504	1000000	20109101	1	3000000	20310111	1
2601	415.707151	20109003	1	-1	-1	-1
2602	496.848581	20109003	1	-1	-1	-1
2603	577.990012	20109003	1	-1	-1	-1
2604	1000000	20109101	1	3000000	20310111	1
2701	415.707151	20109003	1	-1	-1	-1
2702	496.848581	20109003	1	-1	-1	-1
2703	577.990012	20109003	1	-1	-1	-1
2704	1000000	20109101	1	3000000	20310111	1
2801	415.707151	20109003	1	-1	-1	-1
2802	496.848581	20109003	1	-1	-1	-1
2803	577.990012	20109003	1	-1	-1	-1
2804	1000000	20109101	1	3000000	20310111	1
2901	415.707151	20109003	1	-1	-1	-1
2902	496.848581	20109003	1	-1	-1	-1
2903	577.990012	20109003	1	-1	-1	-1
2904	1000000	20109101	1	3000000	20310111	1
3001	415.707151	20109003	1	-1	-1	-1
3002	496.848581	20109003	1	-1	-1	-1
3003	577.990012	20109003	1	-1	-1	-1
3004	1000000	20109101	1	3000000	20310111	1
3101	415.707151	20109004	1	-1	-1	-1
3102	496.848581	20109004	1	-1	-1	-1
3103	577.990012	20109004	1	-1	-1	-1
3104	1000000	20109101	1	3000000	20310111	1
3201	415.707151	20109004	1	-1	-1	-1
3202	496.848581	20109004	1	-1	-1	-1
3203	577.990012	20109004	1	-1	-1	-1
3204	1000000	20109101	1	3000000	20310111	1
3301	415.707151	20109004	1	-1	-1	-1
3302	496.848581	20109004	1	-1	-1	-1
3303	577.990012	20109004	1	-1	-1	-1
3304	1000000	20109101	1	3000000	20310111	1
3401	415.707151	20109004	1	-1	-1	-1
3402	496.848581	20109004	1	-1	-1	-1
3403	577.990012	20109004	1	-1	-1	-1
3404	1000000	20109101	1	3000000	20310111	1
3501	415.707151	20109004	1	-1	-1	-1
3502	496.848581	20109004	1	-1	-1	-1
3503	577.990012	20109004	1	-1	-1	-1
3504	1000000	20109101	1	3000000	20310111	1
3601	415.707151	20109004	1	-1	-1	-1
3602	496.848581	20109004	1	-1	-1	-1
3603	577.990012	20109004	1	-1	-1	-1
3604	1000000	20109101	1	3000000	20310111	1
3701	415.707151	20109004	1	-1	-1	-1
3702	496.848581	20109004	1	-1	-1	-1
3703	577.990012	20109004	1	-1	-1	-1
3704	1000000	20109101	1	3000000	20310111	1
3801	415.707151	20109004	1	-1	-1	-1
3802	496.848581	20109004	1	-1	-1	-1
3803	577.990012	20109004	1	-1	-1	-1
3804	1000000	20109101	1	3000000	20310111	1
3901	415.707151	20109004	1	-1	-1	-1
3902	496.848581	20109004	1	-1	-1	-1
3903	577.990012	20109004	1	-1	-1	-1
3904	1000000	20109101	1	3000000	20310111	1
4001	415.707151	20109004	1	-1	-1	-1
4002	496.848581	20109004	1	-1	-1	-1
4003	577.990012	20109004	1	-1	-1	-1
4004	1000000	20109101	1	3000000	20310111	1
4101	415.707151	20109005	1	-1	-1	-1
4102	496.848581	20109005	1	-1	-1	-1
4103	577.990012	20109005	1	-1	-1	-1
4104	1000000	20109101	1	3000000	20310111	1
4201	415.707151	20109005	1	-1	-1	-1
4202	496.848581	20109005	1	-1	-1	-1
4203	577.990012	20109005	1	-1	-1	-1
4204	1000000	20109101	1	3000000	20310111	1
4301	415.707151	20109005	1	-1	-1	-1
4302	496.848581	20109005	1	-1	-1	-1
4303	577.990012	20109005	1	-1	-1	-1
4304	1000000	20109101	1	3000000	20310111	1
4401	415.707151	20109005	1	-1	-1	-1
4402	496.848581	20109005	1	-1	-1	-1
4403	577.990012	20109005	1	-1	-1	-1
4404	1000000	20109101	1	3000000	20310111	1
4501	415.707151	20109005	1	-1	-1	-1
4502	496.848581	20109005	1	-1	-1	-1
4503	577.990012	20109005	1	-1	-1	-1
4504	1000000	20109101	1	3000000	20310111	1
4601	415.707151	20109005	1	-1	-1	-1
4602	496.848581	20109005	1	-1	-1	-1
4603	577.990012	20109005	1	-1	-1	-1
4604	1000000	20109101	1	3000000	20310111	1
4701	415.707151	20109005	1	-1	-1	-1
4702	496.848581	20109005	1	-1	-1	-1
4703	577.990012	20109005	1	-1	-1	-1
4704	1000000	20109101	1	3000000	20310111	1
4801	415.707151	20109005	1	-1	-1	-1
4802	496.848581	20109005	1	-1	-1	-1
4803	577.990012	20109005	1	-1	-1	-1
4804	1000000	20109101	1	3000000	20310111	1
4901	415.707151	20109005	1	-1	-1	-1
4902	496.848581	20109005	1	-1	-1	-1
4903	577.990012	20109005	1	-1	-1	-1
4904	1000000	20109101	1	3000000	20310111	1
5001	415.707151	20109005	1	-1	-1	-1
5002	496.848581	20109005	1	-1	-1	-1
5003	577.990012	20109005	1	-1	-1	-1
5004	1000000	20109101	1	3000000	20310111	1
5101	415.707151	20109006	1	-1	-1	-1
5102	496.848581	20109006	1	-1	-1	-1
5103	577.990012	20109006	1	-1	-1	-1
5104	1000000	20109101	1	3000000	20310111	1
5201	415.707151	20109006	1	-1	-1	-1
5202	496.848581	20109006	1	-1	-1	-1
5203	577.990012	20109006	1	-1	-1	-1
5204	1000000	20109101	1	3000000	20310111	1
5301	415.707151	20109006	1	-1	-1	-1
5302	496.848581	20109006	1	-1	-1	-1
5303	577.990012	20109006	1	-1	-1	-1
5304	1000000	20109101	1	3000000	20310111	1
5401	415.707151	20109006	1	-1	-1	-1
5402	496.848581	20109006	1	-1	-1	-1
5403	577.990012	20109006	1	-1	-1	-1
5404	1000000	20109101	1	3000000	20310111	1
5501	415.707151	20109006	1	-1	-1	-1
5502	496.848581	20109006	1	-1	-1	-1
5503	577.990012	20109006	1	-1	-1	-1
5504	1000000	20109101	1	3000000	20310111	1
5601	415.707151	20109006	1	-1	-1	-1
5602	496.848581	20109006	1	-1	-1	-1
5603	577.990012	20109006	1	-1	-1	-1
5604	1000000	20109101	1	3000000	20310111	1
5701	415.707151	20109006	1	-1	-1	-1
5702	496.848581	20109006	1	-1	-1	-1
5703	577.990012	20109006	1	-1	-1	-1
5704	1000000	20109101	1	3000000	20310111	1
5801	415.707151	20109006	1	-1	-1	-1
5802	496.848581	20109006	1	-1	-1	-1
5803	577.990012	20109006	1	-1	-1	-1
5804	1000000	20109101	1	3000000	20310111	1
5901	415.707151	20109006	1	-1	-1	-1
5902	496.848581	20109006	1	-1	-1	-1
5903	577.990012	20109006	1	-1	-1	-1
5904	1000000	20109101	1	3000000	20310111	1
6001	415.707151	20109006	1	-1	-1	-1
6002	496.848581	20109006	1	-1	-1	-1
6003	577.990012	20109006	1	-1	-1	-1
6004	1000000	20109101	1	3000000	20310111	1
6101	415.707151	20109007	1	-1	-1	-1
6102	496.848581	20109007	1	-1	-1	-1
6103	577.990012	20109007	1	-1	-1	-1
6104	1000000	20109101	1	3000000	20310111	1
6201	415.707151	20109007	1	-1	-1	-1
6202	496.848581	20109007	1	-1	-1	-1
6203	577.990012	20109007	1	-1	-1	-1
6204	1000000	20109101	1	3000000	20310111	1
6301	415.707151	20109007	1	-1	-1	-1
6302	496.848581	20109007	1	-1	-1	-1
6303	577.990012	20109007	1	-1	-1	-1
6304	1000000	20109101	1	3000000	20310111	1
6401	415.707151	20109007	1	-1	-1	-1
6402	496.848581	20109007	1	-1	-1	-1
6403	577.990012	20109007	1	-1	-1	-1
6404	1000000	20109101	1	3000000	20310111	1
6501	415.707151	20109007	1	-1	-1	-1
6502	496.848581	20109007	1	-1	-1	-1
6503	577.990012	20109007	1	-1	-1	-1
6504	1000000	20109101	1	3000000	20310111	1
6601	415.707151	20109007	1	-1	-1	-1
6602	496.848581	20109007	1	-1	-1	-1
6603	577.990012	20109007	1	-1	-1	-1
6604	1000000	20109101	1	3000000	20310111	1
6701	415.707151	20109007	1	-1	-1	-1
6702	496.848581	20109007	1	-1	-1	-1
6703	577.990012	20109007	1	-1	-1	-1
6704	1000000	20109101	1	3000000	20310111	1
6801	415.707151	20109007	1	-1	-1	-1
6802	496.848581	20109007	1	-1	-1	-1
6803	577.990012	20109007	1	-1	-1	-1
6804	1000000	20109101	1	3000000	20310111	1
6901	43190.50948	20109007	1	-1	-1	-1
6902	51828.61137	20109007	1	-1	-1	-1
6903	60466.71327	20109007	1	-1	-1	-1
6904	1000000	20109101	1	3000000	20310111	1
7001	415.707151	20109007	1	-1	-1	-1
7002	496.848581	20109007	1	-1	-1	-1
7003	577.990012	20109007	1	-1	-1	-1
7004	1000000	20109101	1	3000000	20310111	1
7101	415.707151	20109008	1	-1	-1	-1
7102	496.848581	20109008	1	-1	-1	-1
7103	577.990012	20109008	1	-1	-1	-1
7104	1000000	20109101	1	3000000	20310111	1
7201	415.707151	20109008	1	-1	-1	-1
7202	496.848581	20109008	1	-1	-1	-1
7203	577.990012	20109008	1	-1	-1	-1
7204	1000000	20109101	1	3000000	20310111	1
7301	415.707151	20109008	1	-1	-1	-1
7302	496.848581	20109008	1	-1	-1	-1
7303	577.990012	20109008	1	-1	-1	-1
7304	1000000	20109101	1	3000000	20310111	1
7401	415.707151	20109008	1	-1	-1	-1
7402	496.848581	20109008	1	-1	-1	-1
7403	577.990012	20109008	1	-1	-1	-1
7404	1000000	20109101	1	3000000	20310111	1
7501	415.707151	20109008	1	-1	-1	-1
7502	496.848581	20109008	1	-1	-1	-1
7503	577.990012	20109008	1	-1	-1	-1
7504	1000000	20109101	1	3000000	20310111	1
7601	415.707151	20109008	1	-1	-1	-1
7602	496.848581	20109008	1	-1	-1	-1
7603	577.990012	20109008	1	-1	-1	-1
7604	1000000	20109101	1	3000000	20310111	1
7701	415.707151	20109008	1	-1	-1	-1
7702	496.848581	20109008	1	-1	-1	-1
7703	577.990012	20109008	1	-1	-1	-1
7704	1000000	20109101	1	3000000	20310111	1
7801	415.707151	20109008	1	-1	-1	-1
7802	496.848581	20109008	1	-1	-1	-1
7803	577.990012	20109008	1	-1	-1	-1
7804	1000000	20109101	1	3000000	20310111	1
7901	415.707151	20109008	1	-1	-1	-1
7902	496.848581	20109008	1	-1	-1	-1
7903	577.990012	20109008	1	-1	-1	-1
7904	1000000	20109101	1	3000000	20310111	1
8001	415.707151	20109008	1	-1	-1	-1
8002	496.848581	20109008	1	-1	-1	-1
8003	577.990012	20109008	1	-1	-1	-1
8004	1000000	20109101	1	3000000	20310111	1
8101	415.707151	20109009	1	-1	-1	-1
8102	496.848581	20109009	1	-1	-1	-1
8103	577.990012	20109009	1	-1	-1	-1
8104	1000000	20109101	1	3000000	20310111	1
8201	415.707151	20109009	1	-1	-1	-1
8202	496.848581	20109009	1	-1	-1	-1
8203	577.990012	20109009	1	-1	-1	-1
8204	1000000	20109101	1	3000000	20310111	1
8301	415.707151	20109009	1	-1	-1	-1
8302	496.848581	20109009	1	-1	-1	-1
8303	577.990012	20109009	1	-1	-1	-1
8304	1000000	20109101	1	3000000	20310111	1
8401	415.707151	20109009	1	-1	-1	-1
8402	496.848581	20109009	1	-1	-1	-1
8403	577.990012	20109009	1	-1	-1	-1
8404	1000000	20109101	1	3000000	20310111	1
8501	415.707151	20109009	1	-1	-1	-1
8502	496.848581	20109009	1	-1	-1	-1
8503	577.990012	20109009	1	-1	-1	-1
8504	1000000	20109101	1	3000000	20310111	1
8601	415.707151	20109009	1	-1	-1	-1
8602	496.848581	20109009	1	-1	-1	-1
8603	577.990012	20109009	1	-1	-1	-1
8604	1000000	20109101	1	3000000	20310111	1
8701	415.707151	20109009	1	-1	-1	-1
8702	496.848581	20109009	1	-1	-1	-1
8703	577.990012	20109009	1	-1	-1	-1
8704	1000000	20109101	1	3000000	20310111	1
8801	415.707151	20109009	1	-1	-1	-1
8802	496.848581	20109009	1	-1	-1	-1
8803	577.990012	20109009	1	-1	-1	-1
8804	1000000	20109101	1	3000000	20310111	1
8901	415.707151	20109009	1	-1	-1	-1
8902	496.848581	20109009	1	-1	-1	-1
8903	577.990012	20109009	1	-1	-1	-1
8904	1000000	20109101	1	3000000	20310111	1
9001	415.707151	20109009	1	-1	-1	-1
9002	496.848581	20109009	1	-1	-1	-1
9003	577.990012	20109009	1	-1	-1	-1
9004	1000000	20109101	1	3000000	20310111	1
9101	415.707151	20109010	1	-1	-1	-1
9102	496.848581	20109010	1	-1	-1	-1
9103	577.990012	20109010	1	-1	-1	-1
9104	1000000	20109101	1	3000000	20310111	1
9201	415.707151	20109010	1	-1	-1	-1
9202	496.848581	20109010	1	-1	-1	-1
9203	577.990012	20109010	1	-1	-1	-1
9204	1000000	20109101	1	3000000	20310111	1
9301	415.707151	20109010	1	-1	-1	-1
9302	496.848581	20109010	1	-1	-1	-1
9303	577.990012	20109010	1	-1	-1	-1
9304	1000000	20109101	1	3000000	20310111	1
9401	415.707151	20109010	1	-1	-1	-1
9402	496.848581	20109010	1	-1	-1	-1
9403	577.990012	20109010	1	-1	-1	-1
9404	1000000	20109101	1	3000000	20310111	1
9501	415.707151	20109010	1	-1	-1	-1
9502	496.848581	20109010	1	-1	-1	-1
9503	577.990012	20109010	1	-1	-1	-1
9504	1000000	20109101	1	3000000	20310111	1
9601	415.707151	20109010	1	-1	-1	-1
9602	496.848581	20109010	1	-1	-1	-1
9603	577.990012	20109010	1	-1	-1	-1
9604	1000000	20109101	1	3000000	20310111	1
9701	415.707151	20109010	1	-1	-1	-1
9702	496.848581	20109010	1	-1	-1	-1
9703	577.990012	20109010	1	-1	-1	-1
9704	1000000	20109101	1	3000000	20310111	1
9801	415.707151	20109010	1	-1	-1	-1
9802	496.848581	20109010	1	-1	-1	-1
9803	577.990012	20109010	1	-1	-1	-1
9804	1000000	20109101	1	3000000	20310111	1
9901	415.707151	20109010	1	-1	-1	-1
9902	496.848581	20109010	1	-1	-1	-1
9903	577.990012	20109010	1	-1	-1	-1
9904	1000000	20109101	1	3000000	20310111	1
10001	415.707151	20109010	1	-1	-1	-1
10002	496.848581	20109010	1	-1	-1	-1
10003	577.990012	20109010	1	-1	-1	-1
10004	1000000	20109101	1	3000000	20310111	1
10101	415.707151	20109011	1	-1	-1	-1
10102	496.848581	20109011	1	-1	-1	-1
10103	577.990012	20109011	1	-1	-1	-1
10104	1000000	20109101	1	3000000	20310111	1
10201	415.707151	20109011	1	-1	-1	-1
10202	496.848581	20109011	1	-1	-1	-1
10203	577.990012	20109011	1	-1	-1	-1
10204	1000000	20109101	1	3000000	20310111	1
10301	415.707151	20109011	1	-1	-1	-1
10302	496.848581	20109011	1	-1	-1	-1
10303	577.990012	20109011	1	-1	-1	-1
10304	1000000	20109101	1	3000000	20310111	1
10401	170433.5941	20109011	1	-1	-1	-1
10402	204520.3129	20109011	1	-1	-1	-1
10403	238607.0317	20109011	1	-1	-1	-1
10404	1000000	20109101	1	3000000	20310111	1
10501	177250.9379	20109011	1	-1	-1	-1
10502	212701.1254	20109011	1	-1	-1	-1
10503	248151.313	20109011	1	-1	-1	-1
10504	1000000	20109101	1	3000000	20310111	1
10601	184340.9754	20109011	1	-1	-1	-1
10602	221209.1705	20109011	1	-1	-1	-1
10603	258077.3655	20109011	1	-1	-1	-1
10604	1000000	20109101	1	3000000	20310111	1
10701	191714.6144	20109011	1	-1	-1	-1
10702	230057.5373	20109011	1	-1	-1	-1
10703	268400.4602	20109011	1	-1	-1	-1
10704	1000000	20109101	1	3000000	20310111	1
10801	199383.199	20109011	1	-1	-1	-1
10802	239259.8388	20109011	1	-1	-1	-1
10803	279136.4786	20109011	1	-1	-1	-1
10804	1000000	20109101	1	3000000	20310111	1
10901	207358.5269	20109011	1	-1	-1	-1
10902	248830.2323	20109011	1	-1	-1	-1
10903	290301.9377	20109011	1	-1	-1	-1
10904	1000000	20109101	1	3000000	20310111	1
11001	215652.868	20109011	1	-1	-1	-1
11002	258783.4416	20109011	1	-1	-1	-1
11003	301914.0152	20109011	1	-1	-1	-1
11004	1000000	20109101	1	3000000	20310111	1
11101	224278.9827	20109012	1	-1	-1	-1
11102	269134.7793	20109012	1	-1	-1	-1
11103	313990.5758	20109012	1	-1	-1	-1
11104	1000000	20109101	1	3000000	20310111	1
11201	233250.142	20109012	1	-1	-1	-1
11202	279900.1704	20109012	1	-1	-1	-1
11203	326550.1989	20109012	1	-1	-1	-1
11204	1000000	20109101	1	3000000	20310111	1
11301	242580.1477	20109012	1	-1	-1	-1
11302	291096.1773	20109012	1	-1	-1	-1
11303	339612.2068	20109012	1	-1	-1	-1
11304	1000000	20109101	1	3000000	20310111	1
11401	252283.3536	20109012	1	-1	-1	-1
11402	302740.0244	20109012	1	-1	-1	-1
11403	353196.6951	20109012	1	-1	-1	-1
11404	1000000	20109101	1	3000000	20310111	1
11501	262374.6878	20109012	1	-1	-1	-1
11502	314849.6253	20109012	1	-1	-1	-1
11503	367324.5629	20109012	1	-1	-1	-1
11504	1000000	20109101	1	3000000	20310111	1
11601	272869.6753	20109012	1	-1	-1	-1
11602	327443.6103	20109012	1	-1	-1	-1
11603	382017.5454	20109012	1	-1	-1	-1
11604	1000000	20109101	1	3000000	20310111	1
11701	283784.4623	20109012	1	-1	-1	-1
11702	340541.3548	20109012	1	-1	-1	-1
11703	397298.2472	20109012	1	-1	-1	-1
11704	1000000	20109101	1	3000000	20310111	1
11801	295135.8408	20109012	1	-1	-1	-1
11802	354163.0089	20109012	1	-1	-1	-1
11803	413190.1771	20109012	1	-1	-1	-1
11804	1000000	20109101	1	3000000	20310111	1
11901	306941.2744	20109012	1	-1	-1	-1
11902	368329.5293	20109012	1	-1	-1	-1
11903	429717.7842	20109012	1	-1	-1	-1
11904	1000000	20109101	1	3000000	20310111	1
12001	319218.9254	20109012	1	-1	-1	-1
12002	383062.7105	20109012	1	-1	-1	-1
12003	446906.4956	20109012	1	-1	-1	-1
12004	1000000	20109101	1	3000000	20310111	1
