INT	INT	INT	INT
3451	-1	-1	100000
3459	-1	-1	100000
3461	-1	-1	100000
3469	-1	-1	100000
3471	-1	-1	800000
3472	-1	-1	800000
3473	-1	-1	800000
3474	-1	-1	800000
3475	-1	-1	800000
3476	-1	-1	800000
3479	-1	-1	800000
3481	-1	-1	100000
3489	-1	-1	100000
3491	-1	-1	100000
3492	-1	-1	100000
3499	-1	-1	100000
4216	-1	-1	400000
6001	-1	-1	700000
6002	-1	-1	700000
6003	-1	-1	700000
6004	-1	-1	700000
6005	-1	-1	700000
6009	-1	-1	700000
6011	-1	-1	100000
6012	-1	-1	100000
6019	-1	-1	100000
6021	-1	-1	500000
6022	-1	-1	500000
6023	-1	-1	500000
6029	-1	-1	500000
6031	-1	-1	600000
6032	-1	-1	600000
6033	-1	-1	600000
6034	-1	-1	600000
6039	-1	-1	600000
6041	-1	-1	700000
6042	-1	-1	700000
6043	-1	-1	700000
6044	-1	-1	700000
6045	-1	-1	700000
6049	-1	-1	700000
6051	-1	-1	800000
6052	-1	-1	800000
6053	-1	-1	800000
6054	-1	-1	800000
6055	-1	-1	800000
6056	-1	-1	800000
6059	-1	-1	800000
6061	-1	-1	100000
6062	-1	-1	100000
6069	-1	-1	100000
6071	-1	-1	500000
6072	-1	-1	500000
6073	-1	-1	500000
6079	-1	-1	500000
6081	-1	-1	600000
6082	-1	-1	600000
6083	-1	-1	600000
6084	-1	-1	600000
6089	-1	-1	600000
6091	-1	-1	700000
6092	-1	-1	700000
6093	-1	-1	700000
6094	-1	-1	700000
6095	-1	-1	700000
6099	-1	-1	700000
6101	-1	-1	800000
6102	-1	-1	800000
6103	-1	-1	800000
6104	-1	-1	800000
6105	-1	-1	800000
6106	-1	-1	800000
6109	-1	-1	800000
6111	-1	-1	100000
6112	-1	-1	100000
6119	-1	-1	100000
6121	-1	-1	500000
6122	-1	-1	500000
6123	-1	-1	500000
6129	-1	-1	500000
6131	-1	-1	600000
6132	-1	-1	600000
6133	-1	-1	600000
6134	-1	-1	600000
6139	-1	-1	600000
6141	-1	-1	700000
6142	-1	-1	700000
6143	-1	-1	700000
6144	-1	-1	700000
6145	-1	-1	700000
6149	-1	-1	700000
6151	-1	-1	800000
6152	-1	-1	800000
6153	-1	-1	800000
6154	-1	-1	800000
6155	-1	-1	800000
6156	-1	-1	800000
6159	-1	-1	800000
6161	-1	-1	100000
6162	-1	-1	100000
6169	-1	-1	100000
6171	-1	-1	500000
6172	-1	-1	500000
6173	-1	-1	500000
6179	-1	-1	500000
6181	-1	-1	600000
6182	-1	-1	600000
6183	-1	-1	600000
6184	-1	-1	600000
6189	-1	-1	600000
6191	-1	-1	700000
6192	-1	-1	700000
6193	-1	-1	700000
6194	-1	-1	700000
6195	-1	-1	700000
6199	-1	-1	700000
6201	-1	-1	800000
6202	-1	-1	800000
6203	-1	-1	800000
6204	-1	-1	800000
6205	-1	-1	800000
6206	-1	-1	800000
6209	-1	-1	800000
6211	-1	-1	100000
6212	-1	-1	100000
6219	-1	-1	100000
6221	-1	-1	500000
6222	-1	-1	500000
6223	-1	-1	500000
6229	-1	-1	500000
6231	-1	-1	600000
6232	-1	-1	600000
6233	-1	-1	600000
6234	-1	-1	600000
6239	-1	-1	600000
6241	-1	-1	700000
6242	-1	-1	700000
6243	-1	-1	700000
6244	-1	-1	700000
6245	-1	-1	700000
6249	-1	-1	700000
6251	-1	-1	800000
6252	-1	-1	800000
6253	-1	-1	800000
6254	-1	-1	800000
6255	-1	-1	800000
6256	-1	-1	800000
6259	-1	-1	800000
6261	-1	-1	100000
6262	-1	-1	100000
6269	-1	-1	100000
6271	-1	-1	500000
6272	-1	-1	500000
6273	-1	-1	500000
6279	-1	-1	500000
6281	-1	-1	600000
6282	-1	-1	600000
6283	-1	-1	600000
6284	-1	-1	600000
6289	-1	-1	600000
6291	-1	-1	700000
6292	-1	-1	700000
6293	-1	-1	700000
6294	-1	-1	700000
6295	-1	-1	700000
6299	-1	-1	700000
6301	-1	-1	800000
6302	-1	-1	800000
6303	-1	-1	800000
6304	-1	-1	800000
6305	-1	-1	800000
6306	-1	-1	800000
6309	-1	-1	800000
6311	-1	-1	100000
6312	-1	-1	100000
6319	-1	-1	100000
6321	-1	-1	500000
6322	-1	-1	500000
6323	-1	-1	500000
6329	-1	-1	500000
6331	-1	-1	600000
6332	-1	-1	600000
6333	-1	-1	600000
6334	-1	-1	600000
6339	-1	-1	600000
6341	-1	-1	700000
6342	-1	-1	700000
6343	-1	-1	700000
6344	-1	-1	700000
6345	-1	-1	700000
6349	-1	-1	700000
6351	-1	-1	800000
6352	-1	-1	800000
6353	-1	-1	800000
6354	-1	-1	800000
6355	-1	-1	800000
6356	-1	-1	800000
6359	-1	-1	800000
6361	-1	-1	100000
6362	-1	-1	100000
6369	-1	-1	100000
6371	-1	-1	500000
6372	-1	-1	500000
6373	-1	-1	500000
6379	-1	-1	500000
6381	-1	-1	600000
6382	-1	-1	600000
6383	-1	-1	600000
6384	-1	-1	600000
6389	-1	-1	600000
6391	-1	-1	700000
6392	-1	-1	700000
6393	-1	-1	700000
6394	-1	-1	700000
6395	-1	-1	700000
6399	-1	-1	700000
6401	-1	-1	800000
6402	-1	-1	800000
6403	-1	-1	800000
6404	-1	-1	800000
6405	-1	-1	800000
6406	-1	-1	800000
6409	-1	-1	800000
6411	-1	-1	100000
6412	-1	-1	100000
6419	-1	-1	100000
6421	-1	-1	500000
6422	-1	-1	500000
6423	-1	-1	500000
6429	-1	-1	500000
6431	-1	-1	600000
6432	-1	-1	600000
6433	-1	-1	600000
6434	-1	-1	600000
6439	-1	-1	600000
6441	-1	-1	700000
6442	-1	-1	700000
6443	-1	-1	700000
6444	-1	-1	700000
6445	-1	-1	700000
6449	-1	-1	700000
6451	-1	-1	800000
6452	-1	-1	800000
6453	-1	-1	800000
6454	-1	-1	800000
6455	-1	-1	800000
6456	-1	-1	800000
6459	-1	-1	800000
6461	-1	-1	100000
6462	-1	-1	100000
6469	-1	-1	100000
6471	-1	-1	500000
6472	-1	-1	500000
6473	-1	-1	500000
6479	-1	-1	500000
6481	-1	-1	600000
6482	-1	-1	600000
6483	-1	-1	600000
6484	-1	-1	600000
6489	-1	-1	600000
6491	-1	-1	700000
6492	-1	-1	700000
6493	-1	-1	700000
6494	-1	-1	700000
6495	-1	-1	700000
6499	-1	-1	700000
6501	-1	-1	800000
6502	-1	-1	800000
6503	-1	-1	800000
6504	-1	-1	800000
6505	-1	-1	800000
6506	-1	-1	800000
6509	-1	-1	800000
6511	-1	-1	100000
6512	-1	-1	100000
6519	-1	-1	100000
6521	-1	-1	500000
6522	-1	-1	500000
6523	-1	-1	500000
6529	-1	-1	500000
6531	-1	-1	600000
6532	-1	-1	600000
6533	-1	-1	600000
6534	-1	-1	600000
6539	-1	-1	600000
6541	-1	-1	700000
6542	-1	-1	700000
6543	-1	-1	700000
6544	-1	-1	700000
6545	-1	-1	700000
6549	-1	-1	700000
6551	-1	-1	800000
6552	-1	-1	800000
6553	-1	-1	800000
6554	-1	-1	800000
6555	-1	-1	800000
6556	-1	-1	800000
6559	-1	-1	800000
6561	-1	-1	700000
6562	-1	-1	700000
6563	-1	-1	700000
6564	-1	-1	700000
6565	-1	-1	700000
6569	-1	-1	700000
6571	-1	-1	500000
6572	-1	-1	500000
6573	-1	-1	500000
6579	-1	-1	500000
6581	-1	-1	600000
6582	-1	-1	600000
6583	-1	-1	600000
6584	-1	-1	600000
6589	-1	-1	600000
6591	-1	-1	700000
6592	-1	-1	700000
6593	-1	-1	700000
6594	-1	-1	700000
6595	-1	-1	700000
6599	-1	-1	700000
6601	-1	-1	600000
6602	-1	-1	600000
6603	-1	-1	600000
6604	-1	-1	600000
6609	-1	-1	600000
6611	-1	-1	800000
6612	-1	-1	800000
6613	-1	-1	800000
6614	-1	-1	800000
6615	-1	-1	800000
6616	-1	-1	800000
6619	-1	-1	800000
6621	-1	-1	700000
6622	-1	-1	700000
6623	-1	-1	700000
6624	-1	-1	700000
6625	-1	-1	700000
6629	-1	-1	700000
6631	-1	-1	800000
6632	-1	-1	800000
6633	-1	-1	800000
6634	-1	-1	800000
6635	-1	-1	800000
6636	-1	-1	800000
6639	-1	-1	800000
6641	-1	-1	100000
6642	-1	-1	100000
6649	-1	-1	100000
6651	-1	-1	500000
6652	-1	-1	500000
6653	-1	-1	500000
6659	-1	-1	500000
6661	-1	-1	600000
6662	-1	-1	600000
6663	-1	-1	600000
6664	-1	-1	600000
6669	-1	-1	600000
6671	-1	-1	700000
6672	-1	-1	700000
6673	-1	-1	700000
6674	-1	-1	700000
6675	-1	-1	700000
6679	-1	-1	700000
6681	-1	-1	500000
6682	-1	-1	500000
6683	-1	-1	500000
6689	-1	-1	500000
6691	-1	-1	600000
6692	-1	-1	600000
6693	-1	-1	600000
6694	-1	-1	600000
6699	-1	-1	600000
6701	-1	-1	700000
6702	-1	-1	700000
6703	-1	-1	700000
6704	-1	-1	700000
6705	-1	-1	700000
6709	-1	-1	700000
6711	-1	-1	800000
6712	-1	-1	800000
6713	-1	-1	800000
6714	-1	-1	800000
6715	-1	-1	800000
6716	-1	-1	800000
6719	-1	-1	800000
7501	-1	-1	100000
7502	-1	-1	100000
7509	-1	-1	100000
7511	-1	-1	500000
7512	-1	-1	500000
7513	-1	-1	500000
7519	-1	-1	500000
7521	-1	-1	600000
7522	-1	-1	600000
7523	-1	-1	600000
7524	-1	-1	600000
7529	-1	-1	600000
7531	-1	-1	700000
7532	-1	-1	700000
7533	-1	-1	700000
7534	-1	-1	700000
7535	-1	-1	700000
7539	-1	-1	700000
7541	-1	-1	800000
7542	-1	-1	800000
7543	-1	-1	800000
7544	-1	-1	800000
7545	-1	-1	800000
7546	-1	-1	800000
7549	-1	-1	800000
7551	25041	25042	990000
7552	25041	25042	990000
7553	25041	25042	990000
7554	25041	25042	990000
7555	25041	25042	990000
7556	25041	25042	990000
7557	25041	25042	990000
7559	25041	25042	990000
7561	25371	25372	990000
7562	25371	25372	990000
7563	25371	25372	990000
7564	25371	25372	990000
7565	25371	25372	990000
7566	25371	25372	990000
7567	25371	25372	990000
7568	25371	25372	990000
7569	25371	25372	990000
7571	-1	-1	100000
7572	-1	-1	100000
7579	-1	-1	100000
7581	-1	-1	500000
7582	-1	-1	500000
7583	-1	-1	500000
7589	-1	-1	500000
7591	-1	-1	600000
7592	-1	-1	600000
7593	-1	-1	600000
7594	-1	-1	600000
7599	-1	-1	600000
7601	-1	-1	700000
7602	-1	-1	700000
7603	-1	-1	700000
7604	-1	-1	700000
7605	-1	-1	700000
7609	-1	-1	700000
7611	-1	-1	800000
7612	-1	-1	800000
7613	-1	-1	800000
7614	-1	-1	800000
7615	-1	-1	800000
7616	-1	-1	800000
7619	-1	-1	800000
7621	25051	25052	990000
7622	25051	25052	990000
7623	25051	25052	990000
7624	25051	25052	990000
7625	25051	25052	990000
7626	25051	25052	990000
7627	25051	25052	990000
7629	25051	25052	990000
7631	25381	25382	990000
7632	25381	25382	990000
7633	25381	25382	990000
7634	25381	25382	990000
7635	25381	25382	990000
7636	25381	25382	990000
7637	25381	25382	990000
7638	25381	25382	990000
7639	25381	25382	990000
7641	-1	-1	100000
7642	-1	-1	100000
7649	-1	-1	100000
7651	-1	-1	500000
7652	-1	-1	500000
7653	-1	-1	500000
7659	-1	-1	500000
7661	-1	-1	600000
7662	-1	-1	600000
7663	-1	-1	600000
7664	-1	-1	600000
7669	-1	-1	600000
7671	-1	-1	700000
7672	-1	-1	700000
7673	-1	-1	700000
7674	-1	-1	700000
7675	-1	-1	700000
7679	-1	-1	700000
7681	-1	-1	800000
7682	-1	-1	800000
7683	-1	-1	800000
7684	-1	-1	800000
7685	-1	-1	800000
7686	-1	-1	800000
7689	-1	-1	800000
7691	25061	25062	990000
7692	25061	25062	990000
7693	25061	25062	990000
7694	25061	25062	990000
7695	25061	25062	990000
7696	25061	25062	990000
7697	25061	25062	990000
7699	25061	25062	990000
7701	25391	25392	990000
7702	25391	25392	990000
7703	25391	25392	990000
7704	25391	25392	990000
7705	25391	25392	990000
7706	25391	25392	990000
7707	25391	25392	990000
7708	25391	25392	990000
7709	25391	25392	990000
7711	-1	-1	100000
7712	-1	-1	100000
7719	-1	-1	100000
7721	-1	-1	500000
7722	-1	-1	500000
7723	-1	-1	500000
7729	-1	-1	500000
7731	-1	-1	600000
7732	-1	-1	600000
7733	-1	-1	600000
7734	-1	-1	600000
7739	-1	-1	600000
7741	-1	-1	700000
7742	-1	-1	700000
7743	-1	-1	700000
7744	-1	-1	700000
7745	-1	-1	700000
7749	-1	-1	700000
7751	-1	-1	800000
7752	-1	-1	800000
7753	-1	-1	800000
7754	-1	-1	800000
7755	-1	-1	800000
7756	-1	-1	800000
7759	-1	-1	800000
7761	25071	25072	990000
7762	25071	25072	990000
7763	25071	25072	990000
7764	25071	25072	990000
7765	25071	25072	990000
7766	25071	25072	990000
7767	25071	25072	990000
7769	25071	25072	990000
7771	25401	25402	990000
7772	25401	25402	990000
7773	25401	25402	990000
7774	25401	25402	990000
7775	25401	25402	990000
7776	25401	25402	990000
7777	25401	25402	990000
7778	25401	25402	990000
7779	25401	25402	990000
7781	-1	-1	100000
7782	-1	-1	100000
7789	-1	-1	100000
7791	-1	-1	500000
7792	-1	-1	500000
7793	-1	-1	500000
7799	-1	-1	500000
7801	-1	-1	600000
7802	-1	-1	600000
7803	-1	-1	600000
7804	-1	-1	600000
7809	-1	-1	600000
7811	-1	-1	700000
7812	-1	-1	700000
7813	-1	-1	700000
7814	-1	-1	700000
7815	-1	-1	700000
7819	-1	-1	700000
7821	-1	-1	800000
7822	-1	-1	800000
7823	-1	-1	800000
7824	-1	-1	800000
7825	-1	-1	800000
7826	-1	-1	800000
7829	-1	-1	800000
7831	25081	25082	990000
7832	25081	25082	990000
7833	25081	25082	990000
7834	25081	25082	990000
7835	25081	25082	990000
7836	25081	25082	990000
7837	25081	25082	990000
7839	25081	25082	990000
7841	25411	25412	990000
7842	25411	25412	990000
7843	25411	25412	990000
7844	25411	25412	990000
7845	25411	25412	990000
7846	25411	25412	990000
7847	25411	25412	990000
7848	25411	25412	990000
7849	25411	25412	990000
7851	-1	-1	100000
7852	-1	-1	100000
7859	-1	-1	100000
7861	-1	-1	500000
7862	-1	-1	500000
7863	-1	-1	500000
7869	-1	-1	500000
7871	-1	-1	600000
7872	-1	-1	600000
7873	-1	-1	600000
7874	-1	-1	600000
7879	-1	-1	600000
7881	-1	-1	700000
7882	-1	-1	700000
7883	-1	-1	700000
7884	-1	-1	700000
7885	-1	-1	700000
7889	-1	-1	700000
7891	-1	-1	800000
7892	-1	-1	800000
7893	-1	-1	800000
7894	-1	-1	800000
7895	-1	-1	800000
7896	-1	-1	800000
7899	-1	-1	800000
7901	25091	25092	990000
7902	25091	25092	990000
7903	25091	25092	990000
7904	25091	25092	990000
7905	25091	25092	990000
7906	25091	25092	990000
7907	25091	25092	990000
7909	25091	25092	990000
7911	25421	25422	990000
7912	25421	25422	990000
7913	25421	25422	990000
7914	25421	25422	990000
7915	25421	25422	990000
7916	25421	25422	990000
7917	25421	25422	990000
7918	25421	25422	990000
7919	25421	25422	990000
7921	-1	-1	100000
7922	-1	-1	100000
7929	-1	-1	100000
7931	-1	-1	500000
7932	-1	-1	500000
7933	-1	-1	500000
7939	-1	-1	500000
7941	-1	-1	600000
7942	-1	-1	600000
7943	-1	-1	600000
7944	-1	-1	600000
7949	-1	-1	600000
7951	-1	-1	700000
7952	-1	-1	700000
7953	-1	-1	700000
7954	-1	-1	700000
7955	-1	-1	700000
7959	-1	-1	700000
7961	-1	-1	800000
7962	-1	-1	800000
7963	-1	-1	800000
7964	-1	-1	800000
7965	-1	-1	800000
7966	-1	-1	800000
7969	-1	-1	800000
7971	25101	25102	990000
7972	25101	25102	990000
7973	25101	25102	990000
7974	25101	25102	990000
7975	25101	25102	990000
7976	25101	25102	990000
7977	25101	25102	990000
7979	25101	25102	990000
7981	25431	25432	990000
7982	25431	25432	990000
7983	25431	25432	990000
7984	25431	25432	990000
7985	25431	25432	990000
7986	25431	25432	990000
7987	25431	25432	990000
7988	25431	25432	990000
7989	25431	25432	990000
7991	-1	-1	100000
7992	-1	-1	100000
7999	-1	-1	100000
8001	-1	-1	500000
8002	-1	-1	500000
8003	-1	-1	500000
8009	-1	-1	500000
8011	-1	-1	600000
8012	-1	-1	600000
8013	-1	-1	600000
8014	-1	-1	600000
8019	-1	-1	600000
8021	-1	-1	700000
8022	-1	-1	700000
8023	-1	-1	700000
8024	-1	-1	700000
8025	-1	-1	700000
8029	-1	-1	700000
8031	-1	-1	800000
8032	-1	-1	800000
8033	-1	-1	800000
8034	-1	-1	800000
8035	-1	-1	800000
8036	-1	-1	800000
8039	-1	-1	800000
8041	25111	25112	990000
8042	25111	25112	990000
8043	25111	25112	990000
8044	25111	25112	990000
8045	25111	25112	990000
8046	25111	25112	990000
8047	25111	25112	990000
8049	25111	25112	990000
8051	25441	25442	990000
8052	25441	25442	990000
8053	25441	25442	990000
8054	25441	25442	990000
8055	25441	25442	990000
8056	25441	25442	990000
8057	25441	25442	990000
8058	25441	25442	990000
8059	25441	25442	990000
8061	-1	-1	100000
8062	-1	-1	100000
8069	-1	-1	100000
8071	-1	-1	500000
8072	-1	-1	500000
8073	-1	-1	500000
8079	-1	-1	500000
8081	-1	-1	600000
8082	-1	-1	600000
8083	-1	-1	600000
8084	-1	-1	600000
8089	-1	-1	600000
8091	-1	-1	700000
8092	-1	-1	700000
8093	-1	-1	700000
8094	-1	-1	700000
8095	-1	-1	700000
8099	-1	-1	700000
8101	-1	-1	800000
8102	-1	-1	800000
8103	-1	-1	800000
8104	-1	-1	800000
8105	-1	-1	800000
8106	-1	-1	800000
8109	-1	-1	800000
8111	25121	25122	990000
8112	25121	25122	990000
8113	25121	25122	990000
8114	25121	25122	990000
8115	25121	25122	990000
8116	25121	25122	990000
8117	25121	25122	990000
8119	25121	25122	990000
8121	25451	25452	990000
8122	25451	25452	990000
8123	25451	25452	990000
8124	25451	25452	990000
8125	25451	25452	990000
8126	25451	25452	990000
8127	25451	25452	990000
8128	25451	25452	990000
8129	25451	25452	990000
8131	-1	-1	100000
8132	-1	-1	100000
8139	-1	-1	100000
8141	-1	-1	500000
8142	-1	-1	500000
8143	-1	-1	500000
8149	-1	-1	500000
8151	-1	-1	600000
8152	-1	-1	600000
8153	-1	-1	600000
8154	-1	-1	600000
8159	-1	-1	600000
8161	-1	-1	700000
8162	-1	-1	700000
8163	-1	-1	700000
8164	-1	-1	700000
8165	-1	-1	700000
8169	-1	-1	700000
8171	-1	-1	800000
8172	-1	-1	800000
8173	-1	-1	800000
8174	-1	-1	800000
8175	-1	-1	800000
8176	-1	-1	800000
8179	-1	-1	800000
8181	25131	25132	990000
8182	25131	25132	990000
8183	25131	25132	990000
8184	25131	25132	990000
8185	25131	25132	990000
8186	25131	25132	990000
8187	25131	25132	990000
8189	25131	25132	990000
8191	25461	25462	990000
8192	25461	25462	990000
8193	25461	25462	990000
8194	25461	25462	990000
8195	25461	25462	990000
8196	25461	25462	990000
8197	25461	25462	990000
8198	25461	25462	990000
8199	25461	25462	990000
8201	-1	-1	100000
8202	-1	-1	100000
8209	-1	-1	100000
8211	-1	-1	500000
8212	-1	-1	500000
8213	-1	-1	500000
8219	-1	-1	500000
8221	-1	-1	600000
8222	-1	-1	600000
8223	-1	-1	600000
8224	-1	-1	600000
8229	-1	-1	600000
8231	-1	-1	700000
8232	-1	-1	700000
8233	-1	-1	700000
8234	-1	-1	700000
8235	-1	-1	700000
8239	-1	-1	700000
8241	-1	-1	800000
8242	-1	-1	800000
8243	-1	-1	800000
8244	-1	-1	800000
8245	-1	-1	800000
8246	-1	-1	800000
8249	-1	-1	800000
8251	25141	25142	990000
8252	25141	25142	990000
8253	25141	25142	990000
8254	25141	25142	990000
8255	25141	25142	990000
8256	25141	25142	990000
8257	25141	25142	990000
8259	25141	25142	990000
8261	25471	25472	990000
8262	25471	25472	990000
8263	25471	25472	990000
8264	25471	25472	990000
8265	25471	25472	990000
8266	25471	25472	990000
8267	25471	25472	990000
8268	25471	25472	990000
8269	25471	25472	990000
8271	-1	-1	100000
8272	-1	-1	100000
8279	-1	-1	100000
8281	-1	-1	500000
8282	-1	-1	500000
8283	-1	-1	500000
8289	-1	-1	500000
8291	-1	-1	600000
8292	-1	-1	600000
8293	-1	-1	600000
8294	-1	-1	600000
8299	-1	-1	600000
8301	-1	-1	700000
8302	-1	-1	700000
8303	-1	-1	700000
8304	-1	-1	700000
8305	-1	-1	700000
8309	-1	-1	700000
8311	-1	-1	800000
8312	-1	-1	800000
8313	-1	-1	800000
8314	-1	-1	800000
8315	-1	-1	800000
8316	-1	-1	800000
8319	-1	-1	800000
8321	25151	25152	990000
8322	25151	25152	990000
8323	25151	25152	990000
8324	25151	25152	990000
8325	25151	25152	990000
8326	25151	25152	990000
8327	25151	25152	990000
8329	25151	25152	990000
8331	25481	25482	990000
8332	25481	25482	990000
8333	25481	25482	990000
8334	25481	25482	990000
8335	25481	25482	990000
8336	25481	25482	990000
8337	25481	25482	990000
8338	25481	25482	990000
8339	25481	25482	990000
8341	-1	-1	100000
8342	-1	-1	100000
8349	-1	-1	100000
8351	-1	-1	500000
8352	-1	-1	500000
8353	-1	-1	500000
8359	-1	-1	500000
8361	-1	-1	600000
8362	-1	-1	600000
8363	-1	-1	600000
8364	-1	-1	600000
8369	-1	-1	600000
8371	-1	-1	700000
8372	-1	-1	700000
8373	-1	-1	700000
8374	-1	-1	700000
8375	-1	-1	700000
8379	-1	-1	700000
8381	-1	-1	800000
8382	-1	-1	800000
8383	-1	-1	800000
8384	-1	-1	800000
8385	-1	-1	800000
8386	-1	-1	800000
8389	-1	-1	800000
8391	25161	25162	990000
8392	25161	25162	990000
8393	25161	25162	990000
8394	25161	25162	990000
8395	25161	25162	990000
8396	25161	25162	990000
8397	25161	25162	990000
8399	25161	25162	990000
8401	25491	25492	990000
8402	25491	25492	990000
8403	25491	25492	990000
8404	25491	25492	990000
8405	25491	25492	990000
8406	25491	25492	990000
8407	25491	25492	990000
8408	25491	25492	990000
8409	25491	25492	990000
8411	-1	-1	100000
8412	-1	-1	100000
8419	-1	-1	100000
8421	-1	-1	500000
8422	-1	-1	500000
8423	-1	-1	500000
8429	-1	-1	500000
8431	-1	-1	600000
8432	-1	-1	600000
8433	-1	-1	600000
8434	-1	-1	600000
8439	-1	-1	600000
8441	-1	-1	700000
8442	-1	-1	700000
8443	-1	-1	700000
8444	-1	-1	700000
8445	-1	-1	700000
8449	-1	-1	700000
8451	-1	-1	800000
8452	-1	-1	800000
8453	-1	-1	800000
8454	-1	-1	800000
8455	-1	-1	800000
8456	-1	-1	800000
8459	-1	-1	800000
8461	25171	25172	990000
8462	25171	25172	990000
