INT	INT	INT	STRING	INT	INT	INT
10310022	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“精妙”		2	0
10310023	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“精妙”		2	0
10310024	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“精妙”		2	0
10310025	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“精妙”		2	0
10310026	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“精妙”		2	0
10310027	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“精妙”		2	0
10310031	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“绝妙”		2	0
10310032	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“绝妙”		2	0
10310033	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“绝妙”		2	0
10310034	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“绝妙”		2	0
10310035	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“绝妙”		2	0
10310036	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“绝妙”		2	0
10310037	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“绝妙”		2	0
10310041	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“蓄力”		2	0
10310042	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“蓄力”		2	0
10310043	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“蓄力”		2	0
10310044	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“蓄力”		2	0
10310045	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“蓄力”		2	0
10310046	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“蓄力”		2	0
10310047	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“蓄力”		2	0
10310051	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“蓄力”		2	0
10310052	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“蓄力”		2	0
10310053	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“蓄力”		2	0
10310054	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“蓄力”		2	0
10310055	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“蓄力”		2	0
10310056	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“蓄力”		2	0
10310057	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“蓄力”		2	0
10310061	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“奋力”		2	0
10310062	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“奋力”		2	0
10310063	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“奋力”		2	0
10310064	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“奋力”		2	0
10310065	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“奋力”		2	0
10310066	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“奋力”		2	0
10310067	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“奋力”		2	0
10311001	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“吸血”		2	0
10311002	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“减速”		2	0
10311003	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“破绽”		2	0
10311004	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“吸血”		2	0
10311005	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“减速”		2	0
10311006	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“虚弱”		2	0
10311007	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“吸血”		2	0
10311008	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“减速”		2	0
10311009	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“虚弱”		2	0
10311010	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“吸血”		2	0
10311011	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“吸气”		2	0
10311012	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“破绽”		2	0
10311013	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“吸血”		2	0
10311014	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“虚弱”		2	0
10311015	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“破绽”		2	0
10311016	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“吸血”		2	0
10311017	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“虚弱”		2	0
10311018	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“破绽”		2	0
10311019	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“吸血”		2	0
10311020	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“打怒”		2	0
10311021	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“虚弱”		2	0
10311022	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“吸血”		2	0
10311023	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“吸气”		2	0
10311024	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“虚弱”		2	0
10311025	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“吸血”		2	0
10311026	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“吸气”		2	0
10311027	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“虚弱”		2	0
10311028	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“减速”		2	0
10311029	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“吸血”		2	0
10311030	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“虚弱”		2	0
10311031	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“破绽”		2	0
10311032	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“减速”		2	0
10311033	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“吸血”		2	0
10311034	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“破绽”		2	0
10311035	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“减速”		2	0
10311036	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“吸血”		2	0
10311037	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“破绽”		2	0
10311038	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“减速”		2	0
10311039	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“吸血”		2	0
10312001	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“吸血”		2	0
10312002	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“减速”		2	0
10312003	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“破绽”		2	0
10312004	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“吸血”		2	0
10312005	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“减速”		2	0
10312006	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“虚弱”		2	0
10312007	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“吸血”		2	0
10312008	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“减速”		2	0
10312009	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“虚弱”		2	0
10312010	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“吸血”		2	0
10312011	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“吸气”		2	0
10312012	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“破绽”		2	0
10312013	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“吸血”		2	0
10312014	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“虚弱”		2	0
10312015	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“破绽”		2	0
10312016	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“吸血”		2	0
10312017	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“虚弱”		2	0
10312018	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“破绽”		2	0
10312019	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“吸血”		2	0
10312020	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“打怒”		2	0
10312021	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“虚弱”		2	0
10312022	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“吸血”		2	0
10312023	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“吸气”		2	0
10312024	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“虚弱”		2	0
10312025	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“吸血”		2	0
10312026	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“吸气”		2	0
10312027	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“虚弱”		2	0
10312028	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“减速”		2	0
10312029	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“吸血”		2	0
10312030	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“虚弱”		2	0
10312031	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“破绽”		2	0
10312032	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“减速”		2	0
10312033	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“吸血”		2	0
10312034	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“破绽”		2	0
10312035	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“减速”		2	0
10312036	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“吸血”		2	0
10312037	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“破绽”		2	0
10312038	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“减速”		2	0
10312039	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“吸血”		2	0
10313001	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“吸血”		2	0
10313002	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“减速”		2	0
10313003	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“破绽”		2	0
10313004	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“吸血”		2	0
10313005	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“减速”		2	0
10313006	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“虚弱”		2	0
10313007	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“吸血”		2	0
10313008	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“减速”		2	0
10313009	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“虚弱”		2	0
10313010	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“吸血”		2	0
10313011	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“吸气”		2	0
10313012	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“破绽”		2	0
10313013	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“吸血”		2	0
10313014	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“虚弱”		2	0
10313015	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“破绽”		2	0
10313016	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“吸血”		2	0
10313017	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“虚弱”		2	0
10313018	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“破绽”		2	0
10313019	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“吸血”		2	0
10313020	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“打怒”		2	0
10313021	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“虚弱”		2	0
10313022	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“吸血”		2	0
10313023	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“吸气”		2	0
10313024	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“虚弱”		2	0
10313025	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“吸血”		2	0
10313026	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“吸气”		2	0
10313027	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“虚弱”		2	0
10313028	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“减速”		2	0
10313029	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“吸血”		2	0
10313030	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“虚弱”		2	0
10313031	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“破绽”		2	0
10313032	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“减速”		2	0
10313033	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“吸血”		2	0
10313034	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“破绽”		2	0
10313035	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“减速”		2	0
10313036	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“吸血”		2	0
10313037	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“破绽”		2	0
10313038	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“减速”		2	0
10313039	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“吸血”		2	0
10410082	24	-1	-1		2	0
10410083	24	-1	-1		2	0
10410084	24	-1	-1		2	0
10410085	24	-1	-1		2	0
10410086	24	-1	-1		2	0
10410087	24	-1	-1		2	0
10410088	24	-1	-1		2	0
10410089	24	-1	-1		2	0
10410098	168	-1	-1	1	2	0
10410099	168	-1	-1	1	2	0
10410100	168	-1	-1	1	2	0
10410101	168	-1	-1	1	2	0
10410102	168	-1	-1	1	2	0
10410103	168	-1	-1	1	2	0
10410104	168	-1	-1	1	2	0
10410105	168	-1	-1	1	2	0
10410106	168	-1	-1	1	2	0
10410107	168	-1	-1	1	2	0
10410108	-1	-1	-1	1	2	0
10410109	-1	-1	-1	1	2	0
10410110	-1	-1	-1	1	2	0
10410111	-1	-1	-1	1	2	0
10410112	-1	-1	-1	1	2	0
10410113	-1	-1	-1	1	2	0
10410114	-1	-1	-1	1	2	0
10410115	-1	-1	-1	1	2	0
10410116	-1	-1	-1	1	2	0
10410117	-1	-1	-1	1	2	0
10410118	168	-1	-1	1	2	0
10410119	168	-1	-1	1	2	0
10410120	168	-1	-1	1	2	0
10410121	168	-1	-1	1	2	0
10410122	168	-1	-1	1	2	0
10410123	168	-1	-1	1	2	0
10410124	168	-1	-1	1	2	0
10410125	168	-1	-1	1	2	0
10410126	168	-1	-1	1	2	0
10410127	168	-1	-1	1	2	0
10422016	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“封穴”		2	0
10423024	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“麻痹”		2	0
10423025	-1	-1	#c00ff00装备：击中敌人后有更大机率触发“麻痹”		2	0
10423026	-1	-1	#c00ff00装备：击中敌人後有一定机率触发“麻痹”		2	0
10555200	-1	2005	#c00ff00装备：击中敌人後有一定机率触发“失明”		2	0
10555201	-1	2005	#c00ff00装备：反弹伤害10%		2	0
10555202	-1	2005	#c00ff00装备：伤害减免10%		2	0
10555203	-1	2005	#c00ff00装备：血上限提升10%		2	0
10555204	-1	2005	#c00ff00装备：暴击率提升10%		2	0
10555205	-1	2005	#c00ff00装备：击中敌人後有一定机率触发“封穴”		2	0
10555206	-1	2005	#c00ff00装备：击中敌人後有一定机率触发“麻痹”		2	0
10555300	168	2005	#c00ff00装备：击中敌人後有一定机率触发“五行封印”		2	0
10555301	168	2005	#c00ff00装备：击中敌人後有一定机率触发“五行封印”		2	0
10555302	168	2005	#c00ff00装备：击中敌人後有一定机率触发“五行封印”		2	0
10555303	168	2005	#c00ff00装备：击中敌人後有一定机率触发“五行封印”		2	0
10555400	-1	2005	#P灵性值：158#r#c009933天神护体（１级）#r#I受到攻击时，一定几率给主人一个生命值２万｜吸收率５０％的“护体盾”持续８秒#r#c009933雷霆之怒（１级）#r#I受到攻击时，一定几率施放法宝技能减少敌人２％生命值		2	0
10555401	-1	2005	#P灵性值：256#r#c009933天神护体（２级）#r#I受到攻击时，一定几率给主人一个生命值３万｜吸收率５０％的“护体盾”持续８秒#r#c009933雷霆之怒（２级）#r#I受到攻击时，一定几率施放法宝技能减少敌人３％生命值		2	0
10555402	-1	2005	#P灵性值：354#r#c009933天神护体（３级）#r#I受到攻击时，一定几率给主人一个生命值４万｜吸收率５０％的“护体盾”持续１０秒#r#c009933雷霆之怒（３级）#r#I受到攻击时，一定几率施放法宝技能减少敌人４％生命值		2	0
10555403	-1	2005	#P灵性值：452#r#c009933天神护体（４级）#r#I受到攻击时，一定几率给主人一个生命值５万｜吸收率５０％的“护体盾”持续１０秒#r#c009933雷霆之怒（４级）#r#I受到攻击时，一定几率施放法宝技能减少敌人５％生命值		2	0
10555404	-1	2005	#P灵性值：550#r#c009933天神护体（５级）#r#I受到攻击时，一定几率给主人一个生命值６万｜吸收率５０％的“护体盾”持续１２秒#r#c009933雷霆之怒（５级）#r#I受到攻击时，一定几率施放法宝技能减少敌人６％生命值		2	0
10555405	-1	2005	#P灵性值：648#r#c009933天神护体（６级）#r#I受到攻击时，一定几率给主人一个生命值７万｜吸收率５０％的“护体盾”持续１２秒#r#c009933雷霆之怒（６级）#r#I受到攻击时，一定几率施放法宝技能减少敌人７％生命值		2	0
10555406	-1	2005	#P灵性值：789#r#c009933天神护体（７级）#r#I受到攻击时，一定几率给主人一个生命值８万｜吸收率５０％的“护体盾”持续１５秒#r#c009933雷霆之怒（７级）#r#I受到攻击时，一定几率施放法宝技能减少敌人８％生命值		2	0
10555500	168	2005	-1	1	2	0
10555501	168	2005	-1	1	2	0
10555502	168	2005	-1	1	2	0
10555503	168	2005	-1	1	2	0
10555504	-1	-1	-1		2	0
10555505	-1	-1	-1		2	0
						

20101001	-1	-1	-1		2	0
20101002	-1	-1	-1		2	0
20101003	-1	-1	-1		2	0
20101004	-1	-1	-1		2	0
20101005	-1	-1	-1		2	0
20101006	-1	-1	-1		2	0
20101007	-1	-1	-1		2	0
20101008	-1	-1	-1		2	0
20101009	-1	-1	-1		2	0
20101010	-1	-1	-1		2	0
20101011	-1	-1	-1		2	0
20101012	-1	-1	-1		2	0
20101013	-1	-1	-1		2	0
20101014	-1	-1	-1		2	0
20101015	-1	-1	-1		2	0
20101016	-1	-1	-1		2	0
20101017	-1	-1	-1		2	0
20101018	-1	-1	-1		2	0
20101019	-1	-1	-1		2	0
20101020	-1	-1	-1		2	0
20101021	-1	-1	-1		2	0
20101022	-1	-1	-1		2	0
20101023	-1	-1	-1		2	0
20101024	-1	-1	-1		2	0
20101025	-1	-1	-1		2	0
20101026	-1	-1	-1		2	0
20101027	-1	-1	-1		2	0
20101028	-1	-1	-1		2	0
20101029	-1	-1	-1		2	0
20101030	-1	-1	-1		2	0
20103001	-1	-1	-1		2	0
20103002	-1	-1	-1		2	0
20103003	-1	-1	-1		2	0
20103004	-1	-1	-1		2	0
20103005	-1	-1	-1		2	0
20103006	-1	-1	-1		2	0
20103007	-1	-1	-1		2	0
20103008	-1	-1	-1		2	0
20103009	-1	-1	-1		2	0
20103010	-1	-1	-1		2	0
20103011	-1	-1	-1		2	0
20103012	-1	-1	-1		2	0
20103013	-1	-1	-1		2	0
20103014	-1	-1	-1		2	0
20103015	-1	-1	-1		2	0
20103016	-1	-1	-1		2	0
20103017	-1	-1	-1		2	0
20103018	-1	-1	-1		2	0
20103019	-1	-1	-1		2	0
20103020	-1	-1	-1		2	0
20103021	-1	-1	-1		2	0
20103022	-1	-1	-1		2	0
20103023	-1	-1	-1		2	0
20103024	-1	-1	-1		2	0
20103025	-1	-1	-1		2	0
20103026	-1	-1	-1		2	0
20103027	-1	-1	-1		2	0
20103028	-1	-1	-1		2	0
20103029	-1	-1	-1		2	0
20103030	-1	-1	-1		2	0
20103031	-1	-1	-1		2	0
20103032	-1	-1	-1		2	0
20103033	-1	-1	-1		2	0
20103034	-1	-1	-1		2	0
20103035	-1	-1	-1		2	0
20103036	-1	-1	-1		2	0
20103037	-1	-1	-1		2	0
20103038	-1	-1	-1		2	0
20103039	-1	-1	-1		2	0
20103040	-1	-1	-1		2	0
20103041	-1	-1	-1		2	0
20103042	-1	-1	-1		2	0
20103043	-1	-1	-1		2	0
20103044	-1	-1	-1		2	0
20103045	-1	-1	-1		2	0
20103046	-1	-1	-1		2	0
20103047	-1	-1	-1		2	0
20103048	-1	-1	-1		2	0
20103049	-1	-1	-1		2	0
20103050	-1	-1	-1		2	0
20103051	-1	-1	-1		2	0
20103052	-1	-1	-1		2	0
20103053	-1	-1	-1		2	0
20103054	-1	-1	-1		2	0
20103055	-1	-1	-1		2	0
20103056	-1	-1	-1		2	0
20103057	-1	-1	-1		2	0
20103058	-1	-1	-1		2	0
20103059	-1	-1	-1		2	0
20103060	-1	-1	-1		2	0
20103118	-1	-1	-1		2	0
20103119	-1	-1	-1		2	0
20103120	-1	-1	-1		2	0
20103121	-1	-1	-1		2	0
20103122	-1	-1	-1		2	0
20103123	-1	-1	-1		2	0
20103124	-1	-1	-1		2	0
20103125	-1	-1	-1		2	0
20103126	-1	-1	-1		2	0
20103127	-1	-1	-1		2	0
20103128	-1	-1	-1		2	0
20103129	-1	-1	-1		2	0
20103130	-1	-1	-1		2	0
20103131	-1	-1	-1		2	0
20103132	-1	-1	-1		2	0
20103133	-1	-1	-1		2	0
20103134	-1	-1	-1		2	0
20103135	-1	-1	-1		2	0
20103136	-1	-1	-1		2	0
20103137	-1	-1	-1		2	0
20304005	-1	-1	-1		2	0
20304006	-1	-1	-1		2	0
20304007	-1	-1	-1		2	0
20304008	-1	-1	-1		2	0
20304009	-1	-1	-1		2	0
20304010	-1	-1	-1		2	0
20304011	-1	-1	-1		2	0
20304012	-1	-1	-1		2	0
20304013	-1	-1	-1		2	0
20304014	-1	-1	-1		2	0
20304015	-1	-1	-1		2	0
20304016	-1	-1	-1		2	0
20310112	-1	-1	-1		2	0
20500004	-1	-1	-1		2	0
20500005	-1	-1	-1		2	0
20500006	-1	-1	-1		2	0
20500007	-1	-1	-1		2	0
20500008	-1	-1	-1		2	0
20501004	-1	-1	-1		2	0
20501005	-1	-1	-1		2	0
20501006	-1	-1	-1		2	0
20501007	-1	-1	-1		2	0
20501008	-1	-1	-1		2	0
20502004	-1	-1	-1		2	0
20502005	-1	-1	-1		2	0
20502006	-1	-1	-1		2	0
20502007	-1	-1	-1		2	0
20502008	-1	-1	-1		2	0
20700001	-1	-1	-1		2	0
20700002	-1	-1	-1		2	0
20700003	-1	-1	-1		2	0
20700004	-1	-1	-1		2	0
20700005	-1	-1	-1		2	0
20700006	-1	-1	-1		2	0
20700007	-1	-1	-1		2	0
30001001	-1	-1	-1		2	1
30001002	-1	-1	-1		2	1
30001003	-1	-1	-1		2	1
30001004	-1	-1	-1		2	1
30001016	-1	-1	-1		2	1
30001017	-1	-1	-1		2	1
30001018	-1	-1	-1		2	1
30002001	-1	-1	-1		2	1
