INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT
39990162	20301009	3	-1	-1	10000	39990031	0	_136	2
39991000	20301009	3	-1	-1	10000	39991001	0	_137	2
39991001	20301009	5	-1	-1	20000	39991002	1	_138	3
39991002	20301009	7	-1	-1	30000	39991003	1	_139	4
39991003	20301009	11	-1	-1	40000	39991004	1	_140	5
39991004	20301009	16	20301010	1	50000	39991135	1	_141	6
39991005	20301009	3	-1	-1	10000	39991006	0	_142	2
39991006	20301009	5	-1	-1	20000	39991007	1	_143	3
39991007	20301009	7	-1	-1	30000	39991008	1	_144	4
39991008	20301009	11	-1	-1	40000	39991009	1	_145	5
39991009	20301009	16	20301010	1	50000	39991136	1	_146	6
39991010	20301009	3	-1	-1	10000	39991011	0	_147	2
39991011	20301009	5	-1	-1	20000	39991012	1	_148	3
39991012	20301009	7	-1	-1	30000	39991013	1	_149	4
39991013	20301009	11	-1	-1	40000	39991014	1	_150	5
39991014	20301009	16	20301010	1	50000	39991137	1	_151	6
39991015	20301009	3	-1	-1	10000	39991016	0	_152	2
39991016	20301009	5	-1	-1	20000	39991017	1	_153	3
39991017	20301009	7	-1	-1	30000	39991018	1	_154	4
39991018	20301009	11	-1	-1	40000	39991019	1	_155	5
39991019	20301009	16	20301010	1	50000	39991138	1	_156	6
39991020	20301009	3	-1	-1	10000	39991021	0	_157	2
39991021	20301009	5	-1	-1	20000	39991022	1	_158	3
39991022	20301009	7	-1	-1	30000	39991023	1	_159	4
39991023	20301009	11	-1	-1	40000	39991024	1	_160	5
39991024	20301009	16	20301010	1	50000	39991139	1	_161	6
39991025	20301009	3	-1	-1	10000	39991026	0	_162	2
39991026	20301009	5	-1	-1	20000	39991027	1	_163	3
39991027	20301009	7	-1	-1	30000	39991028	1	_164	4
39991028	20301009	11	-1	-1	40000	39991029	1	_165	5
39991029	20301009	16	20301010	1	50000	39991140	1	_166	6
39991030	20301009	3	-1	-1	10000	39991031	0	_167	2
39991031	20301009	5	-1	-1	20000	39991032	1	_168	3
39991032	20301009	7	-1	-1	30000	39991033	1	_169	4
39991033	20301009	11	-1	-1	40000	39991034	1	_170	5
39991034	20301009	16	20301010	1	50000	39991141	1	_171	6
39991035	20301009	3	-1	-1	10000	39991036	0	_172	2
39991036	20301009	5	-1	-1	20000	39991037	1	_173	3
39991037	20301009	7	-1	-1	30000	39991038	1	_174	4
39991038	20301009	11	-1	-1	40000	39991039	1	_175	5
39991039	20301009	16	20301010	1	50000	39991142	1	_176	6
39991040	20301009	3	-1	-1	10000	39991041	0	_177	2
39991041	20301009	5	-1	-1	20000	39991042	1	_178	3
39991042	20301009	7	-1	-1	30000	39991043	1	_179	4
39991043	20301009	11	-1	-1	40000	39991044	1	_180	5
39991044	20301009	16	20301010	1	50000	39991143	1	_181	6
39991045	20301009	16	-1	-1	10000	39991046	0	_182	2
39991046	20301009	18	-1	-1	20000	39991047	1	_183	3
39991047	20301009	20	-1	-1	30000	39991048	1	_184	4
39991048	20301009	24	-1	-1	40000	39991049	1	_185	5
39991049	20301009	28	20301010	1	50000	39991144	1	_186	6
39991050	20301009	16	-1	-1	10000	39991051	0	_187	2
39991051	20301009	18	-1	-1	20000	39991052	1	_188	3
39991052	20301009	20	-1	-1	30000	39991053	1	_189	4
39991053	20301009	24	-1	-1	40000	39991054	1	_190	5
39991054	20301009	28	20301010	1	50000	39991145	1	_191	6
39991055	20301009	16	-1	-1	10000	39991056	0	_192	2
39991056	20301009	18	-1	-1	20000	39991057	1	_193	3
39991057	20301009	20	-1	-1	30000	39991058	1	_194	4
39991058	20301009	24	-1	-1	40000	39991059	1	_195	5
39991059	20301009	28	20301010	1	50000	39991146	1	_196	6
39991060	20301009	16	-1	-1	10000	39991061	0	_197	2
39991061	20301009	18	-1	-1	20000	39991062	1	_198	3
39991062	20301009	20	-1	-1	30000	39991063	1	_199	4
39991063	20301009	24	-1	-1	40000	39991064	1	_200	5
39991064	20301009	28	20301010	1	50000	39991147	1	_201	6
39991065	20301009	16	-1	-1	10000	39991066	0	_202	2
39991066	20301009	18	-1	-1	20000	39991067	1	_203	3
39991067	20301009	20	-1	-1	30000	39991068	1	_204	4
39991068	20301009	24	-1	-1	40000	39991069	1	_205	5
39991069	20301009	28	20301010	1	50000	39991148	1	_206	6
39991070	20301009	16	-1	-1	10000	39991071	0	_207	2
39991071	20301009	18	-1	-1	20000	39991072	1	_208	3
39991072	20301009	20	-1	-1	30000	39991073	1	_209	4
39991073	20301009	24	-1	-1	40000	39991074	1	_210	5
39991074	20301009	28	20301010	1	50000	39991149	1	_211	6
39991075	20301009	16	-1	-1	10000	39991076	0	_212	2
39991076	20301009	18	-1	-1	20000	39991077	1	_213	3
39991077	20301009	20	-1	-1	30000	39991078	1	_214	4
39991078	20301009	24	-1	-1	40000	39991079	1	_215	5
39991079	20301009	28	20301010	1	50000	39991150	1	_216	6
39991080	20301009	16	-1	-1	10000	39991081	0	_217	2
39991081	20301009	18	-1	-1	20000	39991082	1	_218	3
39991082	20301009	20	-1	-1	30000	39991083	1	_219	4
39991083	20301009	24	-1	-1	40000	39991084	1	_220	5
39991084	20301009	28	20301010	1	50000	39991151	1	_221	6
39991085	20301009	16	-1	-1	10000	39991086	0	_222	2
39991086	20301009	18	-1	-1	20000	39991087	1	_223	3
39991087	20301009	20	-1	-1	30000	39991088	1	_224	4
39991088	20301009	24	-1	-1	40000	39991089	1	_225	5
39991089	20301009	28	20301010	1	50000	39991152	1	_226	6
39991090	20301009	36	-1	-1	10000	39991091	0	_227	2
39991091	20301009	43	-1	-1	20000	39991092	1	_228	3
39991092	20301009	50	-1	-1	30000	39991093	1	_229	4
39991093	20301009	56	-1	-1	40000	39991094	1	_230	5
39991094	20301009	63	20301010	1	50000	39991153	1	_231	6
39991095	20301009	36	-1	-1	10000	39991096	0	_232	2
39991096	20301009	43	-1	-1	20000	39991097	1	_233	3
39991097	20301009	50	-1	-1	30000	39991098	1	_234	4
39991098	20301009	56	-1	-1	40000	39991099	1	_235	5
39991099	20301009	63	20301010	1	50000	39991154	1	_236	6
39991100	20301009	36	-1	-1	10000	39991101	0	_237	2
39991101	20301009	43	-1	-1	20000	39991102	1	_238	3
39991102	20301009	50	-1	-1	30000	39991103	1	_239	4
39991103	20301009	56	-1	-1	40000	39991104	1	_240	5
39991104	20301009	63	20301010	1	50000	39991155	1	_241	6
39991105	20301009	36	-1	-1	10000	39991106	0	_242	2
39991106	20301009	43	-1	-1	20000	39991107	1	_243	3
39991107	20301009	50	-1	-1	30000	39991108	1	_244	4
39991108	20301009	56	-1	-1	40000	39991109	1	_245	5
39991109	20301009	63	20301010	1	50000	39991156	1	_246	6
39991110	20301009	36	-1	-1	10000	39991111	0	_247	2
39991111	20301009	43	-1	-1	20000	39991112	1	_248	3
39991112	20301009	50	-1	-1	30000	39991113	1	_249	4
39991113	20301009	56	-1	-1	40000	39991114	1	_250	5
39991114	20301009	63	20301010	1	50000	39991157	1	_251	6
39991115	20301009	36	-1	-1	10000	39991116	0	_252	2
39991116	20301009	43	-1	-1	20000	39991117	1	_253	3
39991117	20301009	50	-1	-1	30000	39991118	1	_254	4
39991118	20301009	56	-1	-1	40000	39991119	1	_255	5
39991119	20301009	63	20301010	1	50000	39991158	1	_256	6
39991120	20301009	36	-1	-1	10000	39991121	0	_257	2
39991121	20301009	43	-1	-1	20000	39991122	1	_258	3
39991122	20301009	50	-1	-1	30000	39991123	1	_259	4
39991123	20301009	56	-1	-1	40000	39991124	1	_260	5
39991124	20301009	63	20301010	1	50000	39991159	1	_261	6
39991125	20301009	36	-1	-1	10000	39991126	0	_262	2
39991126	20301009	43	-1	-1	20000	39991127	1	_263	3
39991127	20301009	50	-1	-1	30000	39991128	1	_264	4
39991128	20301009	56	-1	-1	40000	39991129	1	_265	5
39991129	20301009	63	20301010	1	50000	39991160	1	_266	6
39991130	20301009	36	-1	-1	10000	39991131	0	_267	2
39991131	20301009	43	-1	-1	20000	39991132	1	_268	3
39991132	20301009	50	-1	-1	30000	39991133	1	_269	4
39991133	20301009	56	-1	-1	40000	39991134	1	_270	5
39991134	20301009	63	20301010	1	50000	39991161	1	_271	6
39991162	20301009	3	-1	-1	10000	39991031	0	_272	2
39992000	20301009	3	-1	-1	10000	39992001	0	_273	2
39992001	20301009	5	-1	-1	20000	39992002	1	_274	3
39992002	20301009	7	-1	-1	30000	39992003	1	_275	4
39992003	20301009	11	-1	-1	40000	39992004	1	_276	5
39992004	20301009	16	20301010	1	50000	39992135	1	_277	6
39992005	20301009	3	-1	-1	10000	39992006	0	_278	2
39992006	20301009	5	-1	-1	20000	39992007	1	_279	3
39992007	20301009	7	-1	-1	30000	39992008	1	_280	4
39992008	20301009	11	-1	-1	40000	39992009	1	_281	5
39992009	20301009	16	20301010	1	50000	39992136	1	_282	6
39992010	20301009	3	-1	-1	10000	39992011	0	_283	2
39992011	20301009	5	-1	-1	20000	39992012	1	_284	3
39992012	20301009	7	-1	-1	30000	39992013	1	_285	4
39992013	20301009	11	-1	-1	40000	39992014	1	_286	5
39992014	20301009	16	20301010	1	50000	39992137	1	_287	6
39992015	20301009	3	-1	-1	10000	39992016	0	_288	2
39992016	20301009	5	-1	-1	20000	39992017	1	_289	3
39992017	20301009	7	-1	-1	30000	39992018	1	_290	4
39992018	20301009	11	-1	-1	40000	39992019	1	_291	5
39992019	20301009	16	20301010	1	50000	39992138	1	_292	6
39992020	20301009	3	-1	-1	10000	39992021	0	_293	2
39992021	20301009	5	-1	-1	20000	39992022	1	_294	3
39992022	20301009	7	-1	-1	30000	39992023	1	_295	4
39992023	20301009	11	-1	-1	40000	39992024	1	_296	5
39992024	20301009	16	20301010	1	50000	39992139	1	_297	6
39992025	20301009	3	-1	-1	10000	39992026	0	_298	2
39992026	20301009	5	-1	-1	20000	39992027	1	_299	3
39992027	20301009	7	-1	-1	30000	39992028	1	_300	4
39992028	20301009	11	-1	-1	40000	39992029	1	_301	5
39992029	20301009	16	20301010	1	50000	39992140	1	_302	6
39992030	20301009	3	-1	-1	10000	39992031	0	_303	2
39992031	20301009	5	-1	-1	20000	39992032	1	_304	3
39992032	20301009	7	-1	-1	30000	39992033	1	_305	4
39992033	20301009	11	-1	-1	40000	39992034	1	_306	5
39992034	20301009	16	20301010	1	50000	39992141	1	_307	6
39992035	20301009	3	-1	-1	10000	39992036	0	_308	2
39992036	20301009	5	-1	-1	20000	39992037	1	_309	3
39992037	20301009	7	-1	-1	30000	39992038	1	_310	4
39992038	20301009	11	-1	-1	40000	39992039	1	_311	5
39992039	20301009	16	20301010	1	50000	39992142	1	_312	6
39992040	20301009	3	-1	-1	10000	39992041	0	_313	2
39992041	20301009	5	-1	-1	20000	39992042	1	_314	3
39992042	20301009	7	-1	-1	30000	39992043	1	_315	4
39992043	20301009	11	-1	-1	40000	39992044	1	_316	5
39992044	20301009	16	20301010	1	50000	39992143	1	_317	6
39992045	20301009	16	-1	-1	10000	39992046	0	_318	2
39992046	20301009	18	-1	-1	20000	39992047	1	_319	3
39992047	20301009	20	-1	-1	30000	39992048	1	_320	4
39992048	20301009	24	-1	-1	40000	39992049	1	_321	5
39992049	20301009	28	20301010	1	50000	39992144	1	_322	6
39992050	20301009	16	-1	-1	10000	39992051	0	_323	2
39992051	20301009	18	-1	-1	20000	39992052	1	_324	3
39992052	20301009	20	-1	-1	30000	39992053	1	_325	4
39992053	20301009	24	-1	-1	40000	39992054	1	_326	5
39992054	20301009	28	20301010	1	50000	39992145	1	_327	6
39992055	20301009	16	-1	-1	10000	39992056	0	_328	2
39992056	20301009	18	-1	-1	20000	39992057	1	_329	3
39992057	20301009	20	-1	-1	30000	39992058	1	_330	4
39992058	20301009	24	-1	-1	40000	39992059	1	_331	5
39992059	20301009	28	20301010	1	50000	39992146	1	_332	6
39992060	20301009	16	-1	-1	10000	39992061	0	_333	2
39992061	20301009	18	-1	-1	20000	39992062	1	_334	3
39992062	20301009	20	-1	-1	30000	39992063	1	_335	4
39992063	20301009	24	-1	-1	40000	39992064	1	_336	5
39992064	20301009	28	20301010	1	50000	39992147	1	_337	6
39992065	20301009	16	-1	-1	10000	39992066	0	_338	2
39992066	20301009	18	-1	-1	20000	39992067	1	_339	3
39992067	20301009	20	-1	-1	30000	39992068	1	_340	4
39992068	20301009	24	-1	-1	40000	39992069	1	_341	5
39992069	20301009	28	20301010	1	50000	39992148	1	_342	6
39992070	20301009	16	-1	-1	10000	39992071	0	_343	2
39992071	20301009	18	-1	-1	20000	39992072	1	_344	3
39992072	20301009	20	-1	-1	30000	39992073	1	_345	4
39992073	20301009	24	-1	-1	40000	39992074	1	_346	5
39992074	20301009	28	20301010	1	50000	39992149	1	_347	6
39992075	20301009	16	-1	-1	10000	39992076	0	_348	2
39992076	20301009	18	-1	-1	20000	39992077	1	_349	3
39992077	20301009	20	-1	-1	30000	39992078	1	_350	4
39992078	20301009	24	-1	-1	40000	39992079	1	_351	5
39992079	20301009	28	20301010	1	50000	39992150	1	_352	6
39992080	20301009	16	-1	-1	10000	39992081	0	_353	2
39992081	20301009	18	-1	-1	20000	39992082	1	_354	3
39992082	20301009	20	-1	-1	30000	39992083	1	_355	4
39992083	20301009	24	-1	-1	40000	39992084	1	_356	5
39992084	20301009	28	20301010	1	50000	39992151	1	_357	6
39992085	20301009	16	-1	-1	10000	39992086	0	_358	2
39992086	20301009	18	-1	-1	20000	39992087	1	_359	3
39992087	20301009	20	-1	-1	30000	39992088	1	_360	4
39992088	20301009	24	-1	-1	40000	39992089	1	_361	5
39992089	20301009	28	20301010	1	50000	39992152	1	_362	6
39992090	20301009	36	-1	-1	10000	39992091	0	_363	2
39992091	20301009	43	-1	-1	20000	39992092	1	_364	3
39992092	20301009	50	-1	-1	30000	39992093	1	_365	4
39992093	20301009	56	-1	-1	40000	39992094	1	_366	5
39992094	20301009	63	20301010	1	50000	39992153	1	_367	6
39992095	20301009	36	-1	-1	10000	39992096	0	_368	2
39992096	20301009	43	-1	-1	20000	39992097	1	_369	3
39992097	20301009	50	-1	-1	30000	39992098	1	_370	4
39992098	20301009	56	-1	-1	40000	39992099	1	_371	5
39992099	20301009	63	20301010	1	50000	39992154	1	_372	6
39992100	20301009	36	-1	-1	10000	39992101	0	_373	2
39992101	20301009	43	-1	-1	20000	39992102	1	_374	3
39992102	20301009	50	-1	-1	30000	39992103	1	_375	4
39992103	20301009	56	-1	-1	40000	39992104	1	_376	5
39992104	20301009	63	20301010	1	50000	39992155	1	_377	6
39992105	20301009	36	-1	-1	10000	39992106	0	_378	2
39992106	20301009	43	-1	-1	20000	39992107	1	_379	3
39992107	20301009	50	-1	-1	30000	39992108	1	_380	4
39992108	20301009	56	-1	-1	40000	39992109	1	_381	5
39992109	20301009	63	20301010	1	50000	39992156	1	_382	6
39992110	20301009	36	-1	-1	10000	39992111	0	_383	2
39992111	20301009	43	-1	-1	20000	39992112	1	_384	3
39992112	20301009	50	-1	-1	30000	39992113	1	_385	4
39992113	20301009	56	-1	-1	40000	39992114	1	_386	5
39992114	20301009	63	20301010	1	50000	39992157	1	_387	6
39992115	20301009	36	-1	-1	10000	39992116	0	_388	2
39992116	20301009	43	-1	-1	20000	39992117	1	_389	3
39992117	20301009	50	-1	-1	30000	39992118	1	_390	4
39992118	20301009	56	-1	-1	40000	39992119	1	_391	5
39992119	20301009	63	20301010	1	50000	39992158	1	_392	6
39992120	20301009	36	-1	-1	10000	39992121	0	_393	2
39992121	20301009	43	-1	-1	20000	39992122	1	_394	3
39992122	20301009	50	-1	-1	30000	39992123	1	_395	4
39992123	20301009	56	-1	-1	40000	39992124	1	_396	5
39992124	20301009	63	20301010	1	50000	39992159	1	_397	6
39992125	20301009	36	-1	-1	10000	39992126	0	_398	2
39992126	20301009	43	-1	-1	20000	39992127	1	_399	3
39992127	20301009	50	-1	-1	30000	39992128	1	_400	4
39992128	20301009	56	-1	-1	40000	39992129	1	_401	5
39992129	20301009	63	20301010	1	50000	39992160	1	_402	6
39992130	20301009	36	-1	-1	10000	39992131	0	_403	2
39992131	20301009	43	-1	-1	20000	39992132	1	_404	3
39992132	20301009	50	-1	-1	30000	39992133	1	_405	4
39992133	20301009	56	-1	-1	40000	39992134	1	_406	5
39992134	20301009	63	20301010	1	50000	39992161	1	_407	6
39992162	20301009	3	-1	-1	10000	39992031	0	_408	2
39993000	20301009	3	-1	-1	10000	39993001	0	_409	2
39993001	20301009	5	-1	-1	20000	39993002	1	_410	3
39993002	20301009	7	-1	-1	30000	39993003	1	_411	4
39993003	20301009	11	-1	-1	40000	39993004	1	_412	5
39993004	20301009	16	20301010	1	50000	39993135	1	_413	6
39993005	20301009	3	-1	-1	10000	39993006	0	_414	2
39993006	20301009	5	-1	-1	20000	39993007	1	_415	3
39993007	20301009	7	-1	-1	30000	39993008	1	_416	4
39993008	20301009	11	-1	-1	40000	39993009	1	_417	5
39993009	20301009	16	20301010	1	50000	39993136	1	_418	6
39993010	20301009	3	-1	-1	10000	39993011	0	_419	2
39993011	20301009	5	-1	-1	20000	39993012	1	_420	3
39993012	20301009	7	-1	-1	30000	39993013	1	_421	4
39993013	20301009	11	-1	-1	40000	39993014	1	_422	5
39993014	20301009	16	20301010	1	50000	39993137	1	_423	6
39993015	20301009	3	-1	-1	10000	39993016	0	_424	2
39993016	20301009	5	-1	-1	20000	39993017	1	_425	3
39993017	20301009	7	-1	-1	30000	39993018	1	_426	4
39993018	20301009	11	-1	-1	40000	39993019	1	_427	5
39993019	20301009	16	20301010	1	50000	39993138	1	_428	6
39993020	20301009	3	-1	-1	10000	39993021	0	_429	2
39993021	20301009	5	-1	-1	20000	39993022	1	_430	3
39993022	20301009	7	-1	-1	30000	39993023	1	_431	4
39993023	20301009	11	-1	-1	40000	39993024	1	_432	5
39993024	20301009	16	20301010	1	50000	39993139	1	_433	6
39993025	20301009	3	-1	-1	10000	39993026	0	_434	2
39993026	20301009	5	-1	-1	20000	39993027	1	_435	3
39993027	20301009	7	-1	-1	30000	39993028	1	_436	4
39993028	20301009	11	-1	-1	40000	39993029	1	_437	5
39993029	20301009	16	20301010	1	50000	39993140	1	_438	6
39993030	20301009	3	-1	-1	10000	39993031	0	_439	2
39993031	20301009	5	-1	-1	20000	39993032	1	_440	3
39993032	20301009	7	-1	-1	30000	39993033	1	_441	4
39993033	20301009	11	-1	-1	40000	39993034	1	_442	5
39993034	20301009	16	20301010	1	50000	39993141	1	_443	6
39993035	20301009	3	-1	-1	10000	39993036	0	_444	2
39993036	20301009	5	-1	-1	20000	39993037	1	_445	3
39993037	20301009	7	-1	-1	30000	39993038	1	_446	4
39993038	20301009	11	-1	-1	40000	39993039	1	_447	5
39993039	20301009	16	20301010	1	50000	39993142	1	_448	6
39993040	20301009	3	-1	-1	10000	39993041	0	_449	2
39993041	20301009	5	-1	-1	20000	39993042	1	_450	3
39993042	20301009	7	-1	-1	30000	39993043	1	_451	4
39993043	20301009	11	-1	-1	40000	39993044	1	_452	5
39993044	20301009	16	20301010	1	50000	39993143	1	_453	6
39993045	20301009	16	-1	-1	10000	39993046	0	_454	2
39993046	20301009	18	-1	-1	20000	39993047	1	_455	3
39993047	20301009	20	-1	-1	30000	39993048	1	_456	4
39993048	20301009	24	-1	-1	40000	39993049	1	_457	5
39993049	20301009	28	20301010	1	50000	39993144	1	_458	6
39993050	20301009	16	-1	-1	10000	39993051	0	_459	2
39993051	20301009	18	-1	-1	20000	39993052	1	_460	3
39993052	20301009	20	-1	-1	30000	39993053	1	_461	4
39993053	20301009	24	-1	-1	40000	39993054	1	_462	5
