INT	INT	INT	STRING	STRING	FLOAT	STRING	STRING	STRING	INT	INT	INT	INT	STRING	INT
24	0	0	g01_zd_xianrenzhilu		15	g01_zdo_xianrenzhilu		身体受击点	0	0	-1	-1	仙人指路	1
25	0	0	g01_zd_xiaokouchangkai		15	g01_zdo_xiaokouchangkai		身体受击点	0	0	-1	-1	笑口常开	1
26	0	0	g01_zd_yanaimangmang		15	g01_zdo_shuangfengguaner		身体受击点	0	0	-1	-1	烟霭茫茫	1
27	0	0			0				0	0	-1	-1	野马分鬃	1
28	2	0			15	g01_zdo_fushidu		脚下光圈点	0	0	-1	-1	腐尸毒	1
29	2	0			15	g01_zdo_eguangmanying		身体受击点	0	0	-1	-1	恶贯满盈	1
30	2	0			15	g01_zdo_lianzhufushidu		脚下光圈点	0	0	-1	-1	连珠腐尸毒	1
35	0	0	g01_zd_lvshuangbingzhi		15	npc_all_danbing_zdo	Skills\Common\ice_explode_1.wav	身体受击点	0	0	-1	-1	寒冰咒	1
36	0	0	g01_zd_gaotanma		15	npc_all_danhuo_zdo	Skills\Common\fire_explode_1.wav	身体受击点	0	0	-1	-1	烈火咒	1
37	0	0	npc_all_dandu_zd		15	g01_zdo_jiuyinbaiguzhua	Skills\Common\poison_3.wav	身体受击点	0	0	-1	-1	血毒咒	1
38	0	0	npc_all_danxuan_zd		15	npc_all_danxuan_zdo	Skills\Common\lighting_1.wav	身体受击点	0	0	-1	-1	霹雷咒	1
39	2	0			15	cw_zd_jibingningsha		身体受击点	0	0	-1	-1	极冰凝杀	1
40	2	0			15	cw_zd_jiehuofensha		身体受击点	0	0	-1	-1	劫火焚杀	1
41	2	0			15	cw_zd_jiuleijisha		身体受击点	0	0	-1	-1	九雷击杀	1
42	2	0			15	cw_zd_fudushisha		身体受击点	0	0	-1	-1	腐毒蚀杀	1
43	0	0	npc_yuancheng		15	all_bj06		身体受击点	0	0	-1	-1	NPC远程	1
80	0	0	g01_ts_zd_shengsifu		15	g01_ts_zdo_shengsifu		身体受击点	0	0	-1	-1	生死符	1
81	0	0	g01_wd_zd_pikongzhang		15	all_bj00030		身体受击点	0	0	-1	-1	劈空掌	1
82	0	0	g01_wd_zd_tianmafeipu		15	g01_wd_zdo_tianmafeipu	Skills\Wd\Wd_天马飞瀑_击中.wav	身体受击点	0	0	-1	-1	天马飞瀑	1
83	0	0	g01_wd_zd_xianrenzhilu		15	g01_wd_zdo_xianrenzhilu		身体受击点	0	0	-1	-1	仙人指路	1
84	0	0	g01_wd_zd_rufengsibi		15	g01_wd_zdo_rufengsibi		身体受击点	0	0	-1	-1	玉女穿梭	1
85	0	0	g01_zd_jiuyinbaiguzhua		15	g01_em_zdo_jiuyinbaiguzhua		身体受击点	0	0	-1	-1	西子捧心	1
86	0	0	g01_em_zd_jindingmianzhang		15	g01_em_zdo_jindingmianzhang		身体受击点	0	0	-1	-1	障眼法	1
87	0	0			15	g01_em_zd_jiuyingshehun		身体受击点	0	0	-1	-1	九影摄魂	1
88	0	0	g01_xx_zd_bingcanzhang		15	g01_xx_zdo_bingcanzhang		身体受击点	0	0	-1	-1	冰蚕掌	1
89	0	0			15	g01_dl_zdo_yuqinguzong		身体受击点	0	0	-1	-1	金玉拳	1
90	0	0	g01_zd_kuaihuosan		15	g01_dl_zdo_kuxinzhi		身体受击点	0	0	-1	-1	雪拥蓝关	1
91	0	0	g01_xy_zd_lingyanshibagong	Skills\Common\bullet_fly_by1.wav	15	g01_xy_zdo_lingyanshibagong	Skills\Common\bullet_explode1.wav	身体受击点	0	0	-1	-1	溪山行旅	1
92	0	0	a_y_wudang_zd		10	a_y_wudang_zdo	Skills\Wd\Wd_八卦掌_击中.wav	身体受击点	0	0	-1	-1	八卦掌	1
93	0	0	a_y_emei_zd		10	a_y_emei_zdo	Skills\Em\Em_貂蝉拜月_击中.wav	身体受击点	0	0	-1	-1	貂蝉拜月	1
94	0	0	a_y_xingxiu_zd		10	a_y_xingxiu_zdo	Skills\Xx\Xx_蓝砂手_击中.wav	身体受击点	0	0	-1	-1	蓝砂手	1
95	0	0	a_y_dali_zd		10	a_y_dali_zdo	Skills\Common\bullet_explode1.wav	身体受击点	0	0	-1	-1	正阳手	1
96	0	0	a_y_xiaoyao_zd		10	a_y_xiaoyao_zdo	Skills\Weapon\sword_hit_light_4.wav	身体受击点	0	0	-1	-1	落英剑	1
97	0	0	g01_xy_zd_beimingshenquan	Skills\Common\bullet_fly_by4.wav	15	g01_xy_zdo_beimingshenquan	Skills\Xy\Xy_惊涛骇浪.wav	身体受击点	0	0	-1	-1	北冥神拳	1
98	0	0	g01_wd_zd_sanweizhenhuo		15	g01_wd_zdo_sanweizhenhuo		身体受击点	0	0	-1	-1	三味真火	1
99	0	0	g01_zd_yemafenzong		15	g01_dl_zdo_wanyuechaozong		身体受击点	0	0	-1	-1	万岳朝宗	1
100	0	0	g01_xy_sf_zd_高山留水		15	g01_xy_sf_zdo_高山留水		头顶状态点	0	0	-1	-1	高山流水	1
101	0	0	g01_xy_sf_zd_花开縻荼		15	g01_xy_sf_zdo_花开縻荼		身体受击点	0	0	-1	-1	花开縻荼	1
102	0	0	g01_xx_jq_zd_玄冥神掌		15	g01_xx_jq_zdo_玄冥神掌		身体受击点	0	0	-1	-1	玄冥神掌	1
103	0	0	g01_xx_sf_zd_化骨绵掌		15	g01_xx_sf_zdo_化骨绵掌		身体受击点	0	0	-1	-1	化骨绵掌	1
104	0	0	g01_wd_zd_yinyangjue	Skills\Common\item_flyby_1.wav	15	g01_wd_zdo_yinyangjue		身体受击点	0	0	-1	-1	揽雀尾	1
105	0	0	g01_xx_sf_zd_青蛇掌		15	g01_xx_zdo_qingshezhang		身体受击点	0	0	-1	-1	青蛇毒掌	1
106	0	0	g01_xx_jq_zt_蛤蟆功		15	g01_xx_zdo_蛤蟆功		身体受击点	0	0	-1	-1	蛤蟆功	1
107	0	0	g01_xy_sf_zd_高山留水		15	g01_xy_sf_zdo_高山留水		身体受击点	0	0	-1	-1	潇湘夜雨	1
108	0	0	秘籍_ts_zd		15	秘籍_ts_zdo		身体受击点	0	0	-1	-1	同生共死	1
109	0	0	秘籍_wd_zd		15	秘籍_wd_zdo		身体受击点	0	0	-1	-1	天外飞仙	1
110	0	0	秘籍_em_zd		15	秘籍_em_mj_zdo		身体受击点	0	0	-1	-1	九阴白骨爪	1
111	0	0	秘籍_xx_zd		15	秘籍_xx_zdo		身体受击点	0	0	-1	-1	化骨绵掌	1
112	0	0	cw_danbing_zd		15	cw_danbing_zdo		身体受击点	0	0	-1	-1	宠冰	1
113	0	0	cw_danhuo_zd		15	cw_danhuo_zdo		身体受击点	0	0	-1	-1	宠火	1
114	0	0	cw_danxuan_zd		15	cw_danxuan_zdo		身体受击点	0	0	-1	-1	宠玄	1
115	0	0	cw_dandu_zd		15	cw_dandu_zdo		身体受击点	0	0	-1	-1	宠毒	1
116	0	0	特效雪球		12	特效雪球_zdo	Skills\interface\sound_jiaru.wav	身体受击点	0	0	-1	-1	雪球	1
117	0	0	落马技能_zd		15	落马技能_zdo		身体受击点	0	0	-1	-1	落马技	1
118	0	0	go1_爱神之箭_zd_01		10	go1_爱神之箭_zdo_01		身体受击点	0	0	-1	-1	爱神之箭	1
119	0	0	g01_zd_斩妖剑01		10	g01_zdo_斩妖剑01	Skills\Common\Zyj_爆炸雷电.wav	身体受击点	0	0	-1	-1	斩妖剑	1
120	0	0	g01_暗器投掷01		15	g01_zdo_暗器投掷01		身体受击点	0	0	-1	-1	暗器投掷	1
121	0	0	g01_暗器打穴01		15	g01_zdo_暗器打穴01		身体受击点	0	0	-1	-1	暗器打穴	1
122	0	0	g01_慈航普度_子弹01		15	g01_慈航普度_被击01		身体受击点	0	0	-1	-1	慈航普度	1
123	0	0	g01_dl_天龙80级技能01		15	g01_dl_天龙80级技能_被击01	Skills\Dl\天龙中冲_受击.wav	身体受击点	0	0	-1	-1	中冲剑	1
124	0	0	g01_xx_尸爆_子弹		15	g01_wd_zdo_tianmafeipu	Skills\Wd\Wd_天马飞瀑_击中.wav	身体受击点	0	0	-1	-1		1
125	2	0			15	m01_wd_七星聚首_伤害	Skills\Wd\Wd_三环套月.wav	身体受击点	0	0	-1	-1		1
126	0	0	buff_武魂_子弹紫色		15	buff_武魂_子弹紫色_zdo		身体受击点	0	0	-1	-1	武魂单紫	1
127	0	0	buff_武魂_子弹银白		15	buff_武魂_子弹银白_zdo		身体受击点	0	0	-1	-1	武魂单银白	1
128	0	0	buff_武魂_子弹红色		15	buff_武魂_子弹红色_zdo		身体受击点	0	0	-1	-1	武魂单红	1
129	0	0	buff_武魂_子弹黄色		15	buff_武魂_子弹黄色_zdo		身体受击点	0	0	-1	-1	武魂单黄	1
130	0	0	buff_武魂_子弹绿色		15	buff_武魂_子弹绿色_zdo		身体受击点	0	0	-1	-1	武魂单绿	1
131	0	0	buff_武魂_子弹黑色		15	buff_武魂_子弹黑色_zdo		身体受击点	0	0	-1	-1	武魂单黑	1
132	0	0	buff_武魂_子弹紫色		15	buff_武魂_子弹紫色_zdo放大		身体受击点	0	0	-1	-1	武魂群紫	1
133	0	0	buff_武魂_子弹银白		15	buff_武魂_子弹银白_zdo放大		身体受击点	0	0	-1	-1	武魂群银白	1
134	0	0	buff_武魂_子弹红色		15	buff_武魂_子弹红色_zdo放大		身体受击点	0	0	-1	-1	武魂群红	1
135	0	0	buff_武魂_子弹黄色		15	buff_武魂_子弹黄色_zdo放大		身体受击点	0	0	-1	-1	武魂群黄	1
136	0	0	buff_武魂_子弹绿色		15	buff_武魂_子弹绿色_zdo放大		身体受击点	0	0	-1	-1	武魂群绿	1
137	0	0	buff_武魂_子弹黑色		15	buff_武魂_子弹黑色_zdo放大		身体受击点	0	0	-1	-1	武魂群黑	1
138	0	0	buff_福香包_子弹		15	buff_福香包_被击		身体受击点	0	0	-1	-1	武魂群黑	1
139	0	0	g01_闪耀圣诞星_子弹		15	g01_闪耀圣诞星_被击		身体受击点	0	0	-1	-1	闪耀圣诞星	1
140	0	0	m01_捆仙索_子弹sl		15			身体受击点	0	0	-1	-1	捆仙绳（少林）	1
141	0	0	m01_石破天惊_子弹_sl		15	m01_石破天惊_被击_sl		身体受击点	0	0	-1	-1	石破天惊（少林）	1
142	0	0	m01_捆仙索_子弹mj		15			身体受击点	0	0	-1	-1	捆仙索（明教）	1
143	0	0	m01_石破天惊_子弹_mj		15	m01_石破天惊_被击_mj		身体受击点	0	0	-1	-1	石破天惊（明教）	1
144	0	0	m01_捆仙索_子弹gb		15			身体受击点	0	0	-1	-1	捆仙索（丐帮）	1
145	0	0	m01_石破天惊_子弹_gb		15	m01_石破天惊_被击_gb		身体受击点	0	0	-1	-1	石破天惊（丐帮）	1
146	0	0	m01_捆仙索_子弹wd		15			身体受击点	0	0	-1	-1	捆仙索（武当）	1
147	0	0	m01_石破天惊_子弹_wd		15	m01_石破天惊_被击_wd		身体受击点	0	0	-1	-1	石破天惊（武当）	1
148	0	0	m01_捆仙索_子弹em		15			身体受击点	0	0	-1	-1	捆仙索（峨嵋）	1
149	0	0	m01_石破天惊_子弹_em		15	m01_石破天惊_被击_em		身体受击点	0	0	-1	-1	石破天惊（峨嵋）	1
150	0	0	m01_捆仙索_子弹xx		15			身体受击点	0	0	-1	-1	捆仙索（星宿）	1
151	0	0	m01_石破天惊_子弹_xx		15	m01_石破天惊_被击_xx		身体受击点	0	0	-1	-1	石破天惊（星宿）	1
152	0	0	m01_捆仙索_子弹dl		15			身体受击点	0	0	-1	-1	捆仙索（天龙）	1
153	0	0	m01_石破天惊_子弹_dl		15	m01_石破天惊_被击_dl		身体受击点	0	0	-1	-1	石破天惊（天龙）	1
154	0	0	m01_捆仙索_子弹ts		15			身体受击点	0	0	-1	-1	捆仙索（天山）	1
155	0	0	m01_石破天惊_子弹_ts		15	m01_石破天惊_被击_ts		身体受击点	0	0	-1	-1	石破天惊（天山）	1
156	0	0	m01_捆仙索_子弹xy		15			身体受击点	0	0	-1	-1	捆仙索（逍遥）	1
157	0	0	m01_石破天惊_子弹_xy		15	m01_石破天惊_被击_xy		身体受击点	0	0	-1	-1	石破天惊（逍遥）	1
158	0	0	m01_捆仙索_子弹gs		15			身体受击点	0	0	-1	-1	捆仙索（慕容）	1
159	0	0	m01_石破天惊_子弹_gs		15	m01_石破天惊_被击_gs		身体受击点	0	0	-1	-1	石破天惊（慕容）	1
160	0	0	m01_gs_彼行我释_子弹		15	m01_gs_彼行我释_被击		身体受击点	0	0	-1	-1	彼行我释	1
161	0	0	m01_gs_彼行我释_子弹		15	m01_gs_借力返施_被击		身体受击点	0	0	-1	-1	借力返施	1
162	0	0	npc青龙_子弹		15	npc青龙_被击		身体受击点	0	0	-1	-1	青龙塔攻击	1
163	0	0	npc白虎_子弹		15	npc白虎_被击		身体受击点	0	0	-1	-1	白虎塔攻击	1
164	0	0	npc朱雀_子弹		15	npc朱雀_被击		身体受击点	0	0	-1	-1	朱雀塔攻击	1
165	0	0	npc玄武_子弹01		15	npc玄武_被击		身体受击点	0	0	-1	-1	玄武塔攻击	1
166	0	0	npc怪宋军炮车_子弹		15	npc怪宋军炮车_子弹爆炸		脚下光圈点	0	0	-1	-1	宋军炮车	1
167	2	0	boss_庄聚贤_冰蚕毒掌_子弹		15	boss_庄聚贤_冰蚕毒掌_子弹爆炸		身体受击点	0	0	-1	-1	庄聚贤冰蚕毒掌	1
168	0	0	g01_zd_gaotanma		15	m01_gs_星火闪_被击	Skills\Common\fire_explode_1.wav	身体受击点	0	0	-1	-1	80剧情挑战鸠摩智普通远程攻击子弹	1
169	3	0	吸魂_子弹		15	吸魂_被击		身体受击点	0	2000	-1	-1	天龙图鉴吸魂特效	1
170	0	0	g01_胡萝卜子弹_子弹		15	g01_胡萝卜子弹_被击		身体受击点	0	0	-1	-1	中秋活动萝卜子弹	1
171	0	0	m01_男天龙进阶_子弹		15	m01_男天龙进阶_被击	Skills\Common\bullet_explode1.wav	身体受击点	0	0	-1	-1	男天龙进阶	1
172	0	0	m01_男星宿进阶_子弹		15	m01_男星宿进阶_被击	Skills\Xx\Xx_蓝砂手_击中.wav	身体受击点	0	0	-1	-1	男星宿进阶	1
173	0	0	m01_男武当进阶_子弹		15	m01_男武当进阶_被击	Skills\Wd\Wd_八卦掌_击中.wav	身体受击点	0	0	-1	-1	男武当进阶	1
174	0	0	m01_男峨眉进阶_子弹		15	g01_峨眉_被击	Skills\Em\Em_貂蝉拜月_击中.wav	身体受击点	0	0	-1	-1	男峨嵋进阶	1
175	0	0	g01_女逍遥进阶_子弹		15	g01_女逍遥进阶_被击_01	Skills\Em\Em_貂蝉拜月_击中.wav	身体受击点	0	0	-1	-1	男逍遥进阶	1
176	0	0	m01_xx_天地同寿进阶_子弹		15			身体受击点	0	0	-1	-1	天地同寿进阶	1
177	0	0	m01_xx_一日丧命散进阶_子弹		15			身体受击点	0	0	-1	-1	一日丧命散进阶	1
178	0	0	boss_兵圣奇阵山_山岳猛击_子弹_01		15			身体受击点	0	0	-1	-1	山岳猛击	1
179	0	0	m01_dl_中冲剑进阶_子弹		15			身体受击点	0	0	-1	-1	中冲剑进阶	1
180	0	0	m01_dl_雪拥蓝关进阶_子弹		15			身体受击点	0	0	-1	-1	雪拥蓝关进阶	1
181	0	0	m01_dl_八门金锁进阶_子弹		15			身体受击点	0	0	-1	-1	八门金锁进阶	1
182	0	0	特效雪球		12	g01_胡萝卜子弹_被击		身体受击点	0	0	-1	-1	万圣节糖果子弹	1
183	2	0			15	npc_深水战车_千里冰封_陷阱_爆发		身体受击点	0	0	-1	-1	千里冰封子弹	1
184	0	0	npc_深水战车_霜天梅雪_子弹		15			身体受击点	0	0	-1	-1	霜天梅雪子弹	1
185	2	0			15	npc_玄音战车_玄七雷_陷阱_爆发		身体受击点	0	0	-1	-1	玄七雷子弹	1
186	0	0	npc_玄音战车_玄音破_子弹		15			身体受击点	0	0	-1	-1	玄音破子弹	1
187	0	0	npc_幽毒战车_雾影摄魂_子弹		15			身体受击点	0	0	-1	-1	雾影摄魂子弹	1
188	0	0	npc_幽毒战车_幽毒索命_子弹		15			身体受击点	0	0	-1	-1	幽毒索命子弹	1
189	0	0	npc真火战车_三味火_子弹		15			身体受击点	0	0	-1	-1	三味火子弹	1
190	0	0	g01_zd_lvshuangbingzhi		15	npc_all_danbing_zdo	Skills\Common\ice_explode_1.wav	身体受击点	0	0	-1	-1	极寒冰咒	1
191	0	0	g01_zd_gaotanma		15	npc_all_danhuo_zdo	Skills\Common\fire_explode_1.wav	身体受击点	0	0	-1	-1	爆烈火咒	1
192	0	0	npc_all_dandu_zd		15	g01_zdo_jiuyinbaiguzhua	Skills\Common\poison_3.wav	身体受击点	0	0	-1	-1	赤血毒咒	1
193	0	0	npc_all_danxuan_zd		15	npc_all_danxuan_zdo	Skills\Common\lighting_1.wav	身体受击点	0	0	-1	-1	天玄雷咒	1
194	0	0	m01_六合剑_气宗_子弹_01		15	g01_ts_zdo_zanghuahun	Skills\Ts\Ts_葬花魂.wav	身体受击点	0	0	-1	-1	绿·冰·六合剑·气宗	1
195	0	0			15	m01_六合剑_气宗_受击_01	Skills\Common\ice_explode_1.wav	脚下光圈点	0	0	-1	-1	绿·冰·灵风剑·气宗	1
196	0	0	m01_飞虹见日_儒宗_子弹_01		15	m01_飞虹见日_儒宗_受击_01	Skills\Mj\Mj_火烧赤壁.wav	身体受击点	0	0	-1	-1	绿·火·飞虹见日·儒宗	1
197	0	0			15	m01_彩云双飞_儒宗_受击_01	Skills\Common\fire_charge_1.wav	脚下光圈点	0	0	-1	-1	绿·火·彩云双飞·儒宗	1
198	0	0	m01_孟仙指路_剑宗_子弹_01		15	m01_孟仙指路_剑宗_受击_01	Skills\Wd\Wd_天马飞瀑_击中.wav	身体受击点	0	0	-1	-1	绿·玄·孟仙指路·剑宗	1
199	0	0			15	m01_黑白夺魄_剑宗_受击_01	Skills\Common\lighting_1.wav	脚下光圈点	0	0	-1	-1	绿·玄·黑白夺魄·剑宗	1
200	0	0	m01_碧鸳云萝_魔宗_子弹_01		15	m01_碧鸳云萝_魔宗_受击_01	Skills\Xx\Xx_化血绵掌.wav	身体受击点	0	0	-1	-1	绿·毒·碧鸳云萝·魔宗	1
201	0	0			15	m01_紫荆泽露_魔宗_受击_01	Skills\Common\poison_3.wav	脚下光圈点	0	0	-1	-1	绿·毒·紫荆泽露·魔宗	1
202	0	0	m01_佛云掌_佛宗_子弹_01		15	m01_佛云掌_佛宗_受击_01	Skills\Dl\天龙中冲_受击.wav	身体受击点	0	0	-1	-1	绿·直·佛云掌·佛宗	1
203	0	0			15	m01_罗汉伏魔_佛宗_受击_01	Skills\Common\explosion_2.wav	脚下光圈点	0	0	-1	-1	绿·直·罗汉伏魔·佛宗	1
204	0	0			15	m01_灵风剑_气宗_受击_01	Skills\Common\ice_explode_1.wav	脚下光圈点	0	0	-1	-1	蓝·冰·寒冰诀·气宗	1
205	0	0	m01_御气诀_气宗_子弹		15	m01_御气诀_气宗_受击	Skills\Ts\Ts_葬花魂.wav	身体受击点	0	0	-1	-1	蓝·冰·御气诀·气宗	1
206	0	0	m01_寒袖拂穴_气宗_子弹		15	m01_寒袖拂穴_气宗_受击	Skills\Em\Em_绝剑式.wav	身体受击点	0	0	-1	-1	蓝·冰·寒袖拂穴·气宗	1
207	0	0			15	m01_广陵散_儒宗_受击	Skills\Common\fire_charge_1.wav	脚下光圈点	0	0	-1	-1	蓝·火·广陵散·儒宗	1
208	0	0	m01_玄天黑白指_儒宗_子弹		15	m01_石上清露_儒宗_受击	Skills\Mj\Mj_火烧赤壁.wav	身体受击点	0	0	-1	-1	蓝·火·玄天黑白指·儒宗	1
209	0	0	m01_石上清露_儒宗_子弹		15	m01_石上清露_儒宗_受击	Skills\Em\Em_绝剑式.wav	身体受击点	0	0	-1	-1	蓝·火·石上清露·儒宗	1
210	0	0			15	m01_苍松拨云_剑宗_受击	Skills\Common\lighting_1.wav	脚下光圈点	0	0	-1	-1	蓝·玄·苍松拨云·剑宗	1
211	0	0	m01_随雾飘零_剑宗_子弹		15	m01_随雾飘零_剑宗_受击	Skills\Wd\Wd_天马飞瀑_击中.wav	身体受击点	0	0	-1	-1	蓝·玄·随雾飘零·剑宗	1
212	0	0	m01_行云流水_剑宗_子弹		15	m01_行云流水_剑宗_受击	Skills\Em\Em_绝剑式.wav	身体受击点	0	0	-1	-1	蓝·玄·行云流水·剑宗	1
213	0	0			15	m01_五毒失魂引_魔宗_受击	Skills\Common\poison_3.wav	脚下光圈点	0	0	-1	-1	蓝·毒·五毒失魂引·魔宗	1
214	0	0	m01_五仙残阳曲_魔宗_子弹		15	m01_五仙残阳曲_魔宗_受击	Skills\Xx\Xx_化血绵掌.wav	身体受击点	0	0	-1	-1	蓝·毒·五仙残阳曲·魔宗	1
215	0	0	m01_飞瀑流虹_魔宗_子弹		15	m01_飞瀑流虹_魔宗_受击	Skills\Em\Em_绝剑式.wav	身体受击点	0	0	-1	-1	蓝·毒·飞瀑流虹·魔宗	1
216	0	0			15	m01_如梦似醒_佛宗_受击	Skills\Common\explosion_2.wav	脚下光圈点	0	0	-1	-1	蓝·直·如梦似醒·佛宗	1
217	0	0	m01_卧打三江_佛宗_子弹		15	m01_无相伏魔_佛宗_受击	Skills\Dl\天龙中冲_受击.wav	身体受击点	0	0	-1	-1	蓝·直·卧打三江·佛宗	1
218	0	0	m01_无相伏魔_佛宗_子弹		15	m01_无相伏魔_佛宗_受击	Skills\Em\Em_绝剑式.wav	身体受击点	0	0	-1	-1	蓝·直·无相伏魔·佛宗	1
219	0	0	m01_天罡指路_剑宗_子弹		15	m01_天罡指路_剑宗_受击	Skills\Em\Em_鹤影迷途.wav	身体受击点	0	0	-1	-1	紫·减速·天罡指路·剑宗	1
220	0	0			15	m01_破箭式_剑宗_03	Skills\Dl\Dl_中冲剑.wav	脚下光圈点	0	0	-1	-1	紫·减速·剑点三星·剑宗	1
221	0	0	m01_天罡指路_剑宗_子弹		15	m01_黄龙揽尾_剑宗_受击	Skills\Gb\Gb_亢龙有悔_2.wav	身体受击点	0	0	-1	-1	紫·减速·黄龙揽尾·剑宗	1
222	0	0	m01_太极聚气_魔宗_子弹		15	m01_太极聚气_魔宗_受击	Skills\Wd\Wd_白鹤亮翅.wav	身体受击点	0	0	-1	-1	紫·昏睡·太极聚气·魔宗	1
223	0	0			15	m01_太极聚气_魔宗_受击	Skills\Gb\Gb_飞龙在天.wav	身体受击点	0	0	-1	-1	紫·昏睡·盘龙真诀·魔宗	1
224	0	0	m01_金刚之躯_魔宗_子弹		15	m01_金刚之躯_魔宗_受击	Skills\Sl\Sl_普度慈航.wav	身体受击点	0	0	-1	-1	紫·昏睡·金刚之躯·魔宗	1
225	0	0	m01_千象奔鸣_佛宗_子弹		15	m01_千象奔鸣_佛宗_受击	Skills\Xy\Xy_画地为牢.wav	脚下光圈点	0	0	-1	-1	紫·定身·千象奔鸣·佛宗	1
226	0	0	m01_千象奔鸣_佛宗_子弹		15	m01_云海迎客_佛宗_受击	Skills\Xy\Xy_千里眼.wav	身体受击点	0	0	-1	-1	紫·定身·万龙腾云·佛宗	1
227	0	0			15		Skills\Mj\Mj_怒火连斩_发招.wav	身体受击点	0	0	-1	-1	紫·定身·龙象般若·佛宗	1
228	0	0	m01_总诀式_剑宗_子弹		15	m01_总诀式_剑宗_受击	Skills\Sl\Sl_拈花指.wav	身体受击点	0	0	-1	-1	橙·散功·总诀式·剑宗	1
229	0	0			15	m01_破箭式_剑宗_受击	Skills\Weapon\高爆弹爆炸.wav	脚下光圈点	0	0	-1	-1	橙·散功·破箭式·剑宗	1
230	0	0	m01_破气式_剑宗_子弹		15	m01_总诀式_剑宗_受击	Skills\Weapon\boos_公孙胜_攻.wav	身体受击点	0	0	-1	-1	橙·散功·破气式·剑宗	1
231	0	0	m01_九阴锻骨_魔宗_子弹		15	m01_九阴锻骨_魔宗_受击	Skills\Xx\Xx_吸星噬月_昏.wav	身体受击点	0	0	-1	-1	橙·封穴·九阴锻骨·魔宗	1
232	0	0			15	m01_移魂大法_魔宗_受击	Skills\Weapon\fist_hit_heavy_2.wav	身体受击点	0	0	-1	-1	橙·封穴·移魂大法·魔宗	1
233	0	0			15	m01_大伏魔拳_魔宗	Skills\Xy\Xy_八阵图_爆炸.wav	脚下光圈点	0	0	-1	-1	橙·封穴·大伏魔拳·魔宗	1
234	0	0	m01_万法皆空_佛宗_子弹		15	m01_云海迎客_佛宗_受击	Skills\Mj\Mj_葵花点穴手.wav	身体受击点	0	0	-1	-1	橙·失明·云海迎客·佛宗	1
235	0	0			15	m01_千里归元_佛宗_01	Skills\Weapon\燃烧弹爆炸.wav	脚下光圈点	0	0	-1	-1	橙·失明·千里归无·佛宗	1
236	0	0	m01_万法皆空_佛宗_子弹		15	m01_万法皆空_佛宗_受击	Skills\Weapon\boss搬山道人剑气.wav	身体受击点	0	0	-1	-1	橙·失明·万法皆空·佛宗	1
237	0	0	g01_TM_流云矢_子弹		15	g01_TM_流云矢_受击		身体受击点	0	0	-1	-1	流云矢	1
238	0	0	g01_TM_暴雨梨花针_子弹		15	g01_TM_暴雨梨花针_被击_01		身体受击点	0	0	-1	-1	暴雨梨花针	1
239	0	0	g01_TM_铁蒺藜_子弹		15	g01_TM_铁蒺藜_受击	Skills\Tm\Skill_TangMen_LuoRiZhX_HitTarget.wav	身体受击点	0	0	-1	-1	铁蒺藜	1
