INT	INT	STRING	STRING	STRING	INT	INT	INT	STRING	INT
37	1	男主角头发18.mesh	行云发	男主角头发18	20307101	1	2	PeiFang_5	50000
38	1	男主角头发19.mesh	蝉翼发	男主角头发19	20307101	1	2	PeiFang_5	50000
39	1	男主角头发20.mesh	飞燕发	男主角头发20	20307101	1	2	PeiFang_5	50000
40	0	女主角头发21.mesh	凌云发	女主角头发21	20307101	1	2	PeiFang_5	50000
41	0	女主角头发22.mesh	夜行发	女主角头发22	20307101	1	2	PeiFang_5	50000
42	0	女主角头发23.mesh	飘雪发	女主角头发23	20307101	1	2	PeiFang_5	50000
43	0	女主角头发24.mesh	云髻发	女主角头发24	20307101	1	2	PeiFang_5	50000
44	1	男主角头发21.mesh	凌云发	男主角头发21	20307101	1	2	PeiFang_5	50000
45	1	男主角头发22.mesh	夜行发	男主角头发22	20307101	1	2	PeiFang_5	50000
46	1	男主角头发23.mesh	飘雪发	男主角头发23	20307101	1	2	PeiFang_5	50000
47	1	男主角头发24.mesh	云髻发	男主角头发24	20307101	1	2	PeiFang_5	50000
48	0	女主角头发25.mesh	明漪发	女主角头发25	20307101	1	2	PeiFang_5	50000
49	1	男主角头发25.mesh	明漪发	男主角头发25	20307101	1	2	PeiFang_5	50000
50	0	女主角头发仙侣奇缘.mesh	仙侣发	女主角头发仙侣奇缘	20307101	1	2	PeiFang_5	50000
51	1	男主角头发仙侣奇缘.mesh	仙侣发	男主角头发仙侣奇缘	20307101	1	2	PeiFang_5	50000
52	0	女主角头发清凉.mesh	雪羽发	女主角头发清凉	20307101	1	2	PeiFang_5	50000
53	1	男主角头发清凉.mesh	雪羽发	男主角头发清凉	20307101	1	2	PeiFang_5	50000
54	0	女主角头发29.mesh	漓梦发	女主角头发29	20307101	1	2	PeiFang_5	50000
55	1	男主角头发29.mesh	漓梦发	男主角头发29	20307101	1	2	PeiFang_5	50000
56	0	女主角头发30.mesh	飞瀑发	女主角头发30	20307101	1	2	PeiFang_5	50000
57	1	男主角头发30.mesh	飞瀑发	男主角头发30	20307101	1	2	PeiFang_5	50000
58	0	女主角头发31.mesh	岚云发	女主角头发31	20307101	1	2	PeiFang_5	50000
59	1	男主角头发31.mesh	岚云发	男主角头发31	20307101	1	2	PeiFang_5	50000
60	0	女主角头发32.mesh	枉纠发	女主角头发32	20307101	1	2	PeiFang_5	50000
61	1	男主角头发32.mesh	枉纠发	男主角头发32	20307101	1	2	PeiFang_5	50000
62	0	女主角头发34.mesh	狂澜发	女主角头发34	20307101	1	2	PeiFang_5	50000
63	1	男主角头发35.mesh	狂澜发	男主角头发35	20307101	1	2	PeiFang_5	50000
64	1	男主角头发36a.mesh	幽帘发	男主角头发36a	20307101	1	2	PeiFang_5	50000
65	0	女主角头发35.mesh	幽帘发	女主角头发35	20307101	1	2	PeiFang_5	50000
66	1	男主角头皮01.mesh	了尘发	男主角头皮01	20307101	1	2	PeiFang_5	50000
67	0	女主角头皮01.mesh	了尘发	女主角头皮01	20307101	1	2	PeiFang_5	50000
68	1	男主角头发37.mesh	沁盘发	男主角头发37	20307101	1	2	PeiFang_5	50000
69	0	女主角头发36.mesh	沁盘发	女主角头发36	20307101	1	2	PeiFang_5	50000
70	0	女主角头发40.mesh	逸轻发	女主角头发40	20307101	1	2	PeiFang_5	50000
71	0	女主角头发41.mesh	如月发	女主角头发41	20307101	1	2	PeiFang_5	50000
72	1	男主角头发38.mesh	逸轻发	男主角头发38	20307101	1	2	PeiFang_5	50000
73	1	男主角头发41.mesh	如月发	男主角头发41	20307101	1	2	PeiFang_5	50000
74	0	女主角头发46.mesh	幽凉发	女主角头发46	20307101	1	2	PeiFang_5	50000
75	0	女主角头发47.mesh	英武发	女主角头发47	20307101	1	2	PeiFang_5	50000
76	1	男主角头发45.mesh	英武发	男主角头发45	20307101	1	2	PeiFang_5	50000
77	1	男主角头发47.mesh	幽凉发	男主角头发47	20307101	1	2	PeiFang_5	50000
78	0	女主角头发52.mesh	云水发	女主角头发52	20307101	1	2	PeiFang_5	50000
79	1	男主角头发52.mesh	云水发	男主角头发52	20307101	1	2	PeiFang_5	50000
80	0	女主角头发58.mesh	浚逸发	女主角头发58	20307101	1	2	PeiFang_5	50000
81	1	男主角头发53.mesh	浚逸发	男主角头发53	20307101	1	2	PeiFang_5	50000
82	0	女主角头发60.mesh	连城发	女主角头发60	20307101	1	2	PeiFang_5	50000
83	1	男主角头发44.mesh	连城发	男主角头发44	20307101	1	2	PeiFang_5	50000
84	1	男主角发型58.mesh	冲云发	男主角发型58	20307101	1	2	PeiFang_5	50000
85	0	女主角头发61.mesh	冲云发	女主角头发61	20307101	1	2	PeiFang_5	50000
86	1	男主角头发60.mesh	惊云发	男主角头发60	20307101	1	2	PeiFang_5	50000
87	0	女主角头发62.mesh	惊云发	女主角头发62	20307101	1	2	PeiFang_5	50000
88	0	女主角头发53.mesh	涵玉发	女主角头发53	20307101	1	2	PeiFang_5	50000
89	1	男主角头发56.mesh	涵玉发	男主角头发56	20307101	1	2	PeiFang_5	50000
90	0	女主角头发68.mesh	风狸发	女主角头发68	20307101	1	2	PeiFang_5	50000
91	1	男主角头发64.mesh	风狸发	男主角头发64	20307101	1	2	PeiFang_5	50000
92	0	女主角头发71.mesh	灵媚发	女主角头发71	20307101	1	2	PeiFang_5	50000
93	1	男主角头发71.mesh	灵媚发	男主角头发71	20307101	1	2	PeiFang_5	50000
94	0	女主角头发72.mesh	华贵发	女主角头发72	20307101	1	2	PeiFang_5	50000
95	1	男主角头发65.mesh	华贵发	男主角头发65	20307101	1	2	PeiFang_5	50000
96	0	女主角头发75.mesh	雍容发	女主角头发75	20307101	1	2	PeiFang_5	50000
97	1	男主角头发72.mesh	雍容发	男主角头发72	20307101	1	2	PeiFang_5	50000
98	0	女主角头发76.mesh	仙姿发	女主角头发76	20307101	1	2	PeiFang_5	50000
99	1	男主角头发67.mesh	仙姿发	男主角头发67	20307101	1	2	PeiFang_5	50000
100	0	女主角头发80.mesh	绝代发	女主角头发80	20307101	1	2	PeiFang_5	50000
101	1	男主角头发80.mesh	绝代发	男主角头发80	20307101	1	2	PeiFang_5	50000
102	0	女主角头发83.mesh	唯我发	女主角头发83	20307101	1	2	PeiFang_5	50000
103	1	男主角头发83.mesh	唯我发	男主角头发83	20307101	1	2	PeiFang_5	50000
104	0	女主角头发82.mesh	轩昂发	女主角头发82	20307101	1	2	PeiFang_5	50000
105	1	男主角头发81.mesh	轩昂发	男主角头发81	20307101	1	2	PeiFang_5	50000
106	0	女主角头发85.mesh	隽逸发	女主角头发85	20307101	1	2	PeiFang_5	50000
107	1	男主角头发84.mesh	隽逸发	男主角头发84	20307101	1	2	PeiFang_5	50000
108	0	女主角头发86.mesh	英姿发	女主角头发86	20307101	1	2	PeiFang_5	50000
109	1	男主角头发86.mesh	英姿发	男主角头发86	20307101	1	2	PeiFang_5	50000
110	0	女主角头发87.mesh	卷云发	女主角头发87	20307101	1	2	PeiFang_5	50000
111	1	男主角头发87.mesh	卷云发	男主角头发87	20307101	1	2	PeiFang_5	50000
112	0	女主角头发89.mesh	涌浪发	女主角头发89	20307101	1	2	PeiFang_5	50000
113	1	男主角头发89.mesh	涌浪发	男主角头发89	20307101	1	2	PeiFang_5	50000
114	0	女主角头发91.mesh	雅儒发	女主角头发91	20307101	1	2	PeiFang_5	50000
115	1	男主角头发91.mesh	雅儒发	男主角头发91	20307101	1	2	PeiFang_5	50000
116	0	女主角头发95.mesh	优雅发	女主角头发95	20307101	1	2	PeiFang_5	50000
117	1	男主角头发95.mesh	优雅发	男主角头发95	20307101	1	2	PeiFang_5	50000
118	0	女主角头发97.mesh	华风发	女主角头发97	20307101	1	2	PeiFang_5	50000
119	1	男主角头发97.mesh	华风发	男主角头发97	20307101	1	2	PeiFang_5	50000
120	0	女主角头发98.mesh	云椎发	女主角头发98	20307101	1	2	PeiFang_5	50000
121	1	男主角头发98.mesh	云椎发	男主角头发98	20307101	1	2	PeiFang_5	50000
122	0	女主角头发101.mesh	披云发	女主角头发101	20307101	1	2	PeiFang_5	50000
123	1	男主角头发101.mesh	披云发	男主角头发101	20307101	1	2	PeiFang_5	50000
124	0	女主角头发100.mesh	毓秀发	女主角头发100	20307101	1	2	PeiFang_5	50000
125	1	男主角头发100.mesh	毓秀发	男主角头发100	20307101	1	2	PeiFang_5	50000
126	0	女主角头发103.mesh	锦莲发	女主角头发103	20307101	1	2	PeiFang_5	50000
127	1	男主角头发103.mesh	锦莲发	男主角头发103	20307101	1	2	PeiFang_5	50000
128	0	女主角头发104.mesh	忆雪发	女主角头发104	20307101	1	2	PeiFang_5	50000
129	1	男主角头发104.mesh	忆雪发	男主角头发104	20307101	1	2	PeiFang_5	50000
130	0	女主角头发108.mesh	怜芳发	女主角头发108	20307101	1	2	PeiFang_5	50000
131	1	男主角头发108.mesh	怜芳发	男主角头发108	20307101	1	2	PeiFang_5	50000
132	0	女主角头发109.mesh	朝云发	女主角头发109	20307101	1	2	PeiFang_5	50000
133	1	男主角头发110.mesh	朝云发	男主角头发110	20307101	1	2	PeiFang_5	50000
134	0	女主角头发110.mesh	华冠发	女主角头发110	20307101	1	2	PeiFang_5	50000
135	1	男主角头发109.mesh	华冠发	男主角头发109	20307101	1	2	PeiFang_5	50000
136	0	女主角头发逸侠.mesh	逸侠发	女主角头发逸侠	20307101	1	2	PeiFang_5	50000
137	1	男主角头发逸侠.mesh	逸侠发	男主角头发逸侠	20307101	1	2	PeiFang_5	50000
138	0	女主角头发112.mesh	回仙发	女主角头发112	20307101	1	2	PeiFang_5	50000
139	1	男主角头发112.mesh	回仙发	男主角头发112	20307101	1	2	PeiFang_5	50000
140	0	女主角头饰绣春刀.mesh	束春发	女主角头饰绣春刀	20307101	1	2	PeiFang_5	50000
141	1	男主角头饰绣春刀.mesh	束春发	男主角头饰绣春刀	20307101	1	2	PeiFang_5	50000
142	0	女主角头发115.mesh	挽月发	女主角头发115	20307101	1	2	PeiFang_5	50000
143	1	男主角头发115.mesh	挽月发	男主角头发115	20307101	1	2	PeiFang_5	50000
144	0	女主角头发冰雪.mesh	琼鸣发	女主角头发冰雪	20307101	1	2	PeiFang_5	50000
145	1	男主角头发冰雪.mesh	琼鸣发	男主角头发冰雪	20307101	1	2	PeiFang_5	50000
146	0	女主角头发116.mesh	玉卿发	女主角头发116	20307101	1	2	PeiFang_5	50000
147	1	男主角头发116.mesh	玉卿发	男主角头发116	20307101	1	2	PeiFang_5	50000
148	0	女主角头发七夕.mesh	锦璇发	女主角头发七夕	20307101	1	2	PeiFang_5	50000
149	1	男主角头发七夕.mesh	锦璇发	男主角头发七夕	20307101	1	2	PeiFang_5	50000
150	0	女主角头发117.mesh	洞仙发	女主角头发117	20307101	1	2	PeiFang_5	50000
151	1	男主角头发117.mesh	洞仙发	男主角头发117	20307101	1	2	PeiFang_5	50000
152	0	女主角头发龙凤.mesh	凤仪发	女主角头发龙凤	20307101	1	2	PeiFang_5	50000
153	1	男主角头发龙凤.mesh	凤仪发	男主角头发龙凤	20307101	1	2	PeiFang_5	50000
154	0	女主角头发瑞鹤B.mesh	别鹤发	女主角头发瑞鹤B	20307101	1	2	PeiFang_5	50000
155	1	男主角头发瑞鹤B.mesh	别鹤发	男主角头发瑞鹤B	20307101	1	2	PeiFang_5	50000
156	0	女主角头发瑞鹤图高级.mesh	引鹤发	女主角头发瑞鹤图高级	20307101	1	2	PeiFang_5	50000
157	1	男主角头发瑞鹤图高级.mesh	引鹤发	男主角头发瑞鹤图高级	20307101	1	2	PeiFang_5	50000
158	0	女主角头发七夕白头丛竹图.mesh	栖鹊发	女主角头发七夕白头丛竹图	20307101	1	2	PeiFang_5	50000
159	1	男主角头发七夕白头丛竹图.mesh	栖鹊发	男主角头发七夕白头丛竹图	20307101	1	2	PeiFang_5	50000
160	0	女主角头发七夕红男绿女婚服.mesh	钗冠发	女主角头发七夕红男绿女婚服	20307101	1	2	PeiFang_5	50000
161	1	男主角头发七夕红男绿女婚服.mesh	钗冠发	男主角头发七夕红男绿女婚服	20307101	1	2	PeiFang_5	50000
162	0	女主角头发191008神秘主题.mesh	寒芒发	女主角头发191008神秘主题	20307101	1	2	PeiFang_5	50000
163	1	男主角头发191008神秘主题.mesh	寒芒发	男主角头发191008神秘主题	20307101	1	2	PeiFang_5	50000
164	0	女主角头发全国赛设计.mesh	羽仪发	女主角头发全国赛设计	20307101	1	2	PeiFang_5	50000
165	1	男主角头发全国赛设计.mesh	羽仪发	男主角头发全国赛设计	20307101	1	2	PeiFang_5	50000
166	0	女主角头发瑞雪红梅.mesh	寄君发	女主角头发瑞雪红梅	20307101	1	2	PeiFang_5	50000
167	1	男主角头发瑞雪红梅.mesh	寄君发	男主角头发瑞雪红梅	20307101	1	2	PeiFang_5	50000
168	0	女主角头发李师师.mesh	花间发	女主角头发李师师	20307101	1	2	PeiFang_5	50000
169	1	男主角头发李师师.mesh	花间发	男主角头发李师师	20307101	1	2	PeiFang_5	50000
170	0	女主角头发鲤鱼套装.mesh	向晚发	女主角头发鲤鱼套装	20307101	1	2	PeiFang_5	50000
171	1	男主角头发鲤鱼套装.mesh	向晚发	男主角头发鲤鱼套装	20307101	1	2	PeiFang_5	50000
									
10001	0	女主角高模头发02.mesh	游仙发	女主角高模头发02	20307101	1	-1	PeiFang_5	50000
10005	1	男主角高模头发01.mesh	流云发	男主角高模头发01	20307101	1	-1	PeiFang_5	50000
10012	1	男主角高模头发03.mesh	鬓华发	男主角高模头发03	20307101	1	-1	PeiFang_5	50000
10014	1	男主角高模头发02.mesh	宝锦发	男主角高模头发02	20307101	1	-1	PeiFang_5	50000
10017	0	女主角高模头发08.mesh	鬓华发	女主角高模头发08	20307101	1	-1	PeiFang_5	50000
10019	0	女主角高模头发17.mesh	宝锦发	女主角高模头发17	20307101	1	-1	PeiFang_5	50000
