INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
39990078	657	657	-1	-1	-1	78	4	42	100
39990079	657	657	-1	-1	-1	79	5	57	100
39990080	657	657	-1	-1	-1	80	1	20	100
39990081	657	657	-1	-1	-1	81	2	30	100
39990082	657	657	-1	-1	-1	82	3	35	100
39990083	657	657	-1	-1	-1	83	4	42	100
39990084	657	657	-1	-1	-1	84	5	57	100
39990085	657	657	-1	-1	-1	85	1	20	100
39990086	657	657	-1	-1	-1	86	2	30	100
39990087	657	657	-1	-1	-1	87	3	35	100
39990088	657	657	-1	-1	-1	88	4	42	100
39990089	657	657	-1	-1	-1	89	5	57	100
39990090	727	727	-1	-1	-1	90	1	50	100
39990091	727	727	-1	-1	-1	91	2	68	100
39990092	727	727	-1	-1	-1	92	3	90	100
39990093	727	727	-1	-1	-1	93	4	115	100
39990094	727	727	-1	-1	-1	94	5	143	100
39990095	727	727	-1	-1	-1	95	1	50	100
39990096	727	727	-1	-1	-1	96	2	68	100
39990097	727	727	-1	-1	-1	97	3	90	100
39990098	727	727	-1	-1	-1	98	4	115	100
39990099	727	727	-1	-1	-1	99	5	143	100
39990100	727	727	-1	-1	-1	100	1	50	100
39990101	727	727	-1	-1	-1	101	2	68	100
39990102	727	727	-1	-1	-1	102	3	90	100
39990103	727	727	-1	-1	-1	103	4	115	100
39990104	727	727	-1	-1	-1	104	5	143	100
39990105	727	727	-1	-1	-1	105	1	50	100
39990106	727	727	-1	-1	-1	106	2	68	100
39990107	727	727	-1	-1	-1	107	3	90	100
39990108	727	727	-1	-1	-1	108	4	115	100
39990109	727	727	-1	-1	-1	109	5	143	100
39990110	727	727	-1	-1	-1	110	1	50	100
39990111	727	727	-1	-1	-1	111	2	68	100
39990112	727	727	-1	-1	-1	112	3	90	100
39990113	727	727	-1	-1	-1	113	4	115	100
39990114	727	727	-1	-1	-1	114	5	143	100
39990115	727	727	-1	-1	-1	115	1	50	100
39990116	727	727	-1	-1	-1	116	2	68	100
39990117	727	727	-1	-1	-1	117	3	90	100
39990118	727	727	-1	-1	-1	118	4	115	100
39990119	727	727	-1	-1	-1	119	5	143	100
39990120	727	727	-1	-1	-1	120	1	50	100
39990121	727	727	-1	-1	-1	121	2	68	100
39990122	727	727	-1	-1	-1	122	3	90	100
39990123	727	727	-1	-1	-1	123	4	115	100
39990124	727	727	-1	-1	-1	124	5	143	100
39990125	727	727	-1	-1	-1	125	1	50	100
39990126	727	727	-1	-1	-1	126	2	68	100
39990127	727	727	-1	-1	-1	127	3	90	100
39990128	727	727	-1	-1	-1	128	4	115	100
39990129	727	727	-1	-1	-1	129	5	143	100
39990130	727	727	-1	-1	-1	130	1	50	100
39990131	727	727	-1	-1	-1	131	2	68	100
39990132	727	727	-1	-1	-1	132	3	90	100
39990133	727	727	-1	-1	-1	133	4	115	100
39990134	727	727	-1	-1	-1	134	5	143	100
39990135	587	587	-1	-1	-1	135	6	32	100
39990136	587	587	-1	-1	-1	136	6	32	100
39990137	587	587	-1	-1	-1	137	6	32	100
39990138	587	587	-1	-1	-1	138	6	32	100
39990139	587	587	-1	-1	-1	139	6	32	100
39990140	587	587	-1	-1	-1	140	6	32	100
39990141	587	587	-1	-1	-1	141	6	32	100
39990142	587	587	-1	-1	-1	142	6	32	100
39990143	587	587	-1	-1	-1	143	6	32	100
39990144	657	657	-1	-1	-1	144	6	88	100
39990145	657	657	-1	-1	-1	145	6	88	100
39990146	657	657	-1	-1	-1	146	6	88	100
39990147	657	657	-1	-1	-1	147	6	88	100
39990148	657	657	-1	-1	-1	148	6	88	100
39990149	657	657	-1	-1	-1	149	6	88	100
39990150	657	657	-1	-1	-1	150	6	88	100
39990151	657	657	-1	-1	-1	151	6	88	100
39990152	657	657	-1	-1	-1	152	6	88	100
39990153	727	727	-1	-1	-1	153	6	174	100
39990154	727	727	-1	-1	-1	154	6	174	100
39990155	727	727	-1	-1	-1	155	6	174	100
39990156	727	727	-1	-1	-1	156	6	174	100
39990157	727	727	-1	-1	-1	157	6	174	100
39990158	727	727	-1	-1	-1	158	6	174	100
39990159	727	727	-1	-1	-1	159	6	174	100
39990160	727	727	-1	-1	-1	160	6	174	100
39990161	727	727	-1	-1	-1	161	6	174	100
39990162	587	587	-1	-1	-1	162	1	1	80
39991000	-1	-1	580	580	-1	0	1	1	80
39991001	-1	-1	580	580	-1	1	2	3	100
39991002	-1	-1	580	580	-1	2	3	7	100
39991003	-1	-1	580	580	-1	3	4	12	100
39991004	-1	-1	580	580	-1	4	5	20	100
39991005	-1	-1	580	580	-1	5	1	1	80
39991006	-1	-1	580	580	-1	6	2	3	100
39991007	-1	-1	580	580	-1	7	3	7	100
39991008	-1	-1	580	580	-1	8	4	12	100
39991009	-1	-1	580	580	-1	9	5	20	100
39991010	-1	-1	580	580	-1	10	1	1	80
39991011	-1	-1	580	580	-1	11	2	3	100
39991012	-1	-1	580	580	-1	12	3	7	100
39991013	-1	-1	580	580	-1	13	4	12	100
39991014	-1	-1	580	580	-1	14	5	20	100
39991015	-1	-1	580	580	-1	15	1	1	80
39991016	-1	-1	580	580	-1	16	2	3	100
39991017	-1	-1	580	580	-1	17	3	7	100
39991018	-1	-1	580	580	-1	18	4	12	100
39991019	-1	-1	580	580	-1	19	5	20	100
39991020	-1	-1	580	580	-1	20	1	1	80
39991021	-1	-1	580	580	-1	21	2	3	100
39991022	-1	-1	580	580	-1	22	3	7	100
39991023	-1	-1	580	580	-1	23	4	12	100
39991024	-1	-1	580	580	-1	24	5	20	100
39991025	-1	-1	580	580	-1	25	1	1	80
39991026	-1	-1	580	580	-1	26	2	3	100
39991027	-1	-1	580	580	-1	27	3	7	100
39991028	-1	-1	580	580	-1	28	4	12	100
39991029	-1	-1	580	580	-1	29	5	20	100
39991030	-1	-1	580	580	-1	30	1	1	80
39991031	-1	-1	580	580	-1	31	2	3	100
39991032	-1	-1	580	580	-1	32	3	7	100
39991033	-1	-1	580	580	-1	33	4	12	100
39991034	-1	-1	580	580	-1	34	5	20	100
39991035	-1	-1	580	580	-1	35	1	1	80
39991036	-1	-1	580	580	-1	36	2	3	100
39991037	-1	-1	580	580	-1	37	3	7	100
39991038	-1	-1	580	580	-1	38	4	12	100
39991039	-1	-1	580	580	-1	39	5	20	100
39991040	-1	-1	580	580	-1	40	1	1	80
39991041	-1	-1	580	580	-1	41	2	3	100
39991042	-1	-1	580	580	-1	42	3	7	100
39991043	-1	-1	580	580	-1	43	4	12	100
39991044	-1	-1	580	580	-1	44	5	20	100
39991045	-1	-1	649	649	-1	45	1	20	100
39991046	-1	-1	649	649	-1	46	2	30	100
39991047	-1	-1	649	649	-1	47	3	35	100
39991048	-1	-1	649	649	-1	48	4	42	100
39991049	-1	-1	649	649	-1	49	5	57	100
39991050	-1	-1	649	649	-1	50	1	20	100
39991051	-1	-1	649	649	-1	51	2	30	100
39991052	-1	-1	649	649	-1	52	3	35	100
39991053	-1	-1	649	649	-1	53	4	42	100
39991054	-1	-1	649	649	-1	54	5	57	100
39991055	-1	-1	649	649	-1	55	1	20	100
39991056	-1	-1	649	649	-1	56	2	30	100
39991057	-1	-1	649	649	-1	57	3	35	100
39991058	-1	-1	649	649	-1	58	4	42	100
39991059	-1	-1	649	649	-1	59	5	57	100
39991060	-1	-1	649	649	-1	60	1	20	100
39991061	-1	-1	649	649	-1	61	2	30	100
39991062	-1	-1	649	649	-1	62	3	35	100
39991063	-1	-1	649	649	-1	63	4	42	100
39991064	-1	-1	649	649	-1	64	5	57	100
39991065	-1	-1	649	649	-1	65	1	20	100
39991066	-1	-1	649	649	-1	66	2	30	100
39991067	-1	-1	649	649	-1	67	3	35	100
39991068	-1	-1	649	649	-1	68	4	42	100
39991069	-1	-1	649	649	-1	69	5	57	100
39991070	-1	-1	649	649	-1	70	1	20	100
39991071	-1	-1	649	649	-1	71	2	30	100
39991072	-1	-1	649	649	-1	72	3	35	100
39991073	-1	-1	649	649	-1	73	4	42	100
39991074	-1	-1	649	649	-1	74	5	57	100
39991075	-1	-1	649	649	-1	75	1	20	100
39991076	-1	-1	649	649	-1	76	2	30	100
39991077	-1	-1	649	649	-1	77	3	35	100
39991078	-1	-1	649	649	-1	78	4	42	100
39991079	-1	-1	649	649	-1	79	5	57	100
39991080	-1	-1	649	649	-1	80	1	20	100
39991081	-1	-1	649	649	-1	81	2	30	100
39991082	-1	-1	649	649	-1	82	3	35	100
39991083	-1	-1	649	649	-1	83	4	42	100
39991084	-1	-1	649	649	-1	84	5	57	100
39991085	-1	-1	649	649	-1	85	1	20	100
39991086	-1	-1	649	649	-1	86	2	30	100
39991087	-1	-1	649	649	-1	87	3	35	100
39991088	-1	-1	649	649	-1	88	4	42	100
39991089	-1	-1	649	649	-1	89	5	57	100
39991090	-1	-1	718	718	-1	90	1	50	100
39991091	-1	-1	718	718	-1	91	2	68	100
39991092	-1	-1	718	718	-1	92	3	90	100
39991093	-1	-1	718	718	-1	93	4	115	100
39991094	-1	-1	718	718	-1	94	5	143	100
39991095	-1	-1	718	718	-1	95	1	50	100
39991096	-1	-1	718	718	-1	96	2	68	100
39991097	-1	-1	718	718	-1	97	3	90	100
39991098	-1	-1	718	718	-1	98	4	115	100
39991099	-1	-1	718	718	-1	99	5	143	100
39991100	-1	-1	718	718	-1	100	1	50	100
39991101	-1	-1	718	718	-1	101	2	68	100
39991102	-1	-1	718	718	-1	102	3	90	100
39991103	-1	-1	718	718	-1	103	4	115	100
39991104	-1	-1	718	718	-1	104	5	143	100
39991105	-1	-1	718	718	-1	105	1	50	100
39991106	-1	-1	718	718	-1	106	2	68	100
39991107	-1	-1	718	718	-1	107	3	90	100
39991108	-1	-1	718	718	-1	108	4	115	100
39991109	-1	-1	718	718	-1	109	5	143	100
39991110	-1	-1	718	718	-1	110	1	50	100
39991111	-1	-1	718	718	-1	111	2	68	100
39991112	-1	-1	718	718	-1	112	3	90	100
39991113	-1	-1	718	718	-1	113	4	115	100
39991114	-1	-1	718	718	-1	114	5	143	100
39991115	-1	-1	718	718	-1	115	1	50	100
39991116	-1	-1	718	718	-1	116	2	68	100
39991117	-1	-1	718	718	-1	117	3	90	100
39991118	-1	-1	718	718	-1	118	4	115	100
39991119	-1	-1	718	718	-1	119	5	143	100
39991120	-1	-1	718	718	-1	120	1	50	100
39991121	-1	-1	718	718	-1	121	2	68	100
39991122	-1	-1	718	718	-1	122	3	90	100
39991123	-1	-1	718	718	-1	123	4	115	100
39991124	-1	-1	718	718	-1	124	5	143	100
39991125	-1	-1	718	718	-1	125	1	50	100
39991126	-1	-1	718	718	-1	126	2	68	100
39991127	-1	-1	718	718	-1	127	3	90	100
39991128	-1	-1	718	718	-1	128	4	115	100
39991129	-1	-1	718	718	-1	129	5	143	100
39991130	-1	-1	718	718	-1	130	1	50	100
39991131	-1	-1	718	718	-1	131	2	68	100
39991132	-1	-1	718	718	-1	132	3	90	100
39991133	-1	-1	718	718	-1	133	4	115	100
39991134	-1	-1	718	718	-1	134	5	143	100
39991135	-1	-1	580	580	-1	135	6	32	100
39991136	-1	-1	580	580	-1	136	6	32	100
39991137	-1	-1	580	580	-1	137	6	32	100
39991138	-1	-1	580	580	-1	138	6	32	100
39991139	-1	-1	580	580	-1	139	6	32	100
39991140	-1	-1	580	580	-1	140	6	32	100
39991141	-1	-1	580	580	-1	141	6	32	100
39991142	-1	-1	580	580	-1	142	6	32	100
39991143	-1	-1	580	580	-1	143	6	32	100
39991144	-1	-1	649	649	-1	144	6	88	100
39991145	-1	-1	649	649	-1	145	6	88	100
39991146	-1	-1	649	649	-1	146	6	88	100
39991147	-1	-1	649	649	-1	147	6	88	100
39991148	-1	-1	649	649	-1	148	6	88	100
39991149	-1	-1	649	649	-1	149	6	88	100
39991150	-1	-1	649	649	-1	150	6	88	100
39991151	-1	-1	649	649	-1	151	6	88	100
39991152	-1	-1	649	649	-1	152	6	88	100
39991153	-1	-1	718	718	-1	153	6	174	100
39991154	-1	-1	718	718	-1	154	6	174	100
39991155	-1	-1	718	718	-1	155	6	174	100
39991156	-1	-1	718	718	-1	156	6	174	100
39991157	-1	-1	718	718	-1	157	6	174	100
39991158	-1	-1	718	718	-1	158	6	174	100
39991159	-1	-1	718	718	-1	159	6	174	100
39991160	-1	-1	718	718	-1	160	6	174	100
39991161	-1	-1	718	718	-1	161	6	174	100
39991162	-1	-1	580	580	-1	162	1	1	80
39992000	-1	-1	580	580	-1	0	1	1	80
39992001	-1	-1	580	580	-1	1	2	3	100
39992002	-1	-1	580	580	-1	2	3	7	100
39992003	-1	-1	580	580	-1	3	4	12	100
39992004	-1	-1	580	580	-1	4	5	20	100
39992005	-1	-1	580	580	-1	5	1	1	80
39992006	-1	-1	580	580	-1	6	2	3	100
39992007	-1	-1	580	580	-1	7	3	7	100
39992008	-1	-1	580	580	-1	8	4	12	100
39992009	-1	-1	580	580	-1	9	5	20	100
39992010	-1	-1	580	580	-1	10	1	1	80
39992011	-1	-1	580	580	-1	11	2	3	100
39992012	-1	-1	580	580	-1	12	3	7	100
39992013	-1	-1	580	580	-1	13	4	12	100
39992014	-1	-1	580	580	-1	14	5	20	100
39992015	-1	-1	580	580	-1	15	1	1	80
39992016	-1	-1	580	580	-1	16	2	3	100
39992017	-1	-1	580	580	-1	17	3	7	100
39992018	-1	-1	580	580	-1	18	4	12	100
39992019	-1	-1	580	580	-1	19	5	20	100
39992020	-1	-1	580	580	-1	20	1	1	80
39992021	-1	-1	580	580	-1	21	2	3	100
39992022	-1	-1	580	580	-1	22	3	7	100
39992023	-1	-1	580	580	-1	23	4	12	100
39992024	-1	-1	580	580	-1	24	5	20	100
39992025	-1	-1	580	580	-1	25	1	1	80
39992026	-1	-1	580	580	-1	26	2	3	100
39992027	-1	-1	580	580	-1	27	3	7	100
39992028	-1	-1	580	580	-1	28	4	12	100
39992029	-1	-1	580	580	-1	29	5	20	100
39992030	-1	-1	580	580	-1	30	1	1	80
39992031	-1	-1	580	580	-1	31	2	3	100
39992032	-1	-1	580	580	-1	32	3	7	100
39992033	-1	-1	580	580	-1	33	4	12	100
39992034	-1	-1	580	580	-1	34	5	20	100
39992035	-1	-1	580	580	-1	35	1	1	80
39992036	-1	-1	580	580	-1	36	2	3	100
39992037	-1	-1	580	580	-1	37	3	7	100
39992038	-1	-1	580	580	-1	38	4	12	100
39992039	-1	-1	580	580	-1	39	5	20	100
39992040	-1	-1	580	580	-1	40	1	1	80
39992041	-1	-1	580	580	-1	41	2	3	100
39992042	-1	-1	580	580	-1	42	3	7	100
39992043	-1	-1	580	580	-1	43	4	12	100
39992044	-1	-1	580	580	-1	44	5	20	100
39992045	-1	-1	649	649	-1	45	1	20	100
39992046	-1	-1	649	649	-1	46	2	30	100
39992047	-1	-1	649	649	-1	47	3	35	100
39992048	-1	-1	649	649	-1	48	4	42	100
39992049	-1	-1	649	649	-1	49	5	57	100
39992050	-1	-1	649	649	-1	50	1	20	100
39992051	-1	-1	649	649	-1	51	2	30	100
39992052	-1	-1	649	649	-1	52	3	35	100
39992053	-1	-1	649	649	-1	53	4	42	100
39992054	-1	-1	649	649	-1	54	5	57	100
39992055	-1	-1	649	649	-1	55	1	20	100
39992056	-1	-1	649	649	-1	56	2	30	100
39992057	-1	-1	649	649	-1	57	3	35	100
39992058	-1	-1	649	649	-1	58	4	42	100
39992059	-1	-1	649	649	-1	59	5	57	100
39992060	-1	-1	649	649	-1	60	1	20	100
39992061	-1	-1	649	649	-1	61	2	30	100
39992062	-1	-1	649	649	-1	62	3	35	100
39992063	-1	-1	649	649	-1	63	4	42	100
39992064	-1	-1	649	649	-1	64	5	57	100
39992065	-1	-1	649	649	-1	65	1	20	100
39992066	-1	-1	649	649	-1	66	2	30	100
39992067	-1	-1	649	649	-1	67	3	35	100
39992068	-1	-1	649	649	-1	68	4	42	100
39992069	-1	-1	649	649	-1	69	5	57	100
39992070	-1	-1	649	649	-1	70	1	20	100
39992071	-1	-1	649	649	-1	71	2	30	100
39992072	-1	-1	649	649	-1	72	3	35	100
39992073	-1	-1	649	649	-1	73	4	42	100
39992074	-1	-1	649	649	-1	74	5	57	100
39992075	-1	-1	649	649	-1	75	1	20	100
39992076	-1	-1	649	649	-1	76	2	30	100
39992077	-1	-1	649	649	-1	77	3	35	100
39992078	-1	-1	649	649	-1	78	4	42	100
39992079	-1	-1	649	649	-1	79	5	57	100
39992080	-1	-1	649	649	-1	80	1	20	100
39992081	-1	-1	649	649	-1	81	2	30	100
39992082	-1	-1	649	649	-1	82	3	35	100
39992083	-1	-1	649	649	-1	83	4	42	100
39992084	-1	-1	649	649	-1	84	5	57	100
39992085	-1	-1	649	649	-1	85	1	20	100
39992086	-1	-1	649	649	-1	86	2	30	100
39992087	-1	-1	649	649	-1	87	3	35	100
39992088	-1	-1	649	649	-1	88	4	42	100
39992089	-1	-1	649	649	-1	89	5	57	100
39992090	-1	-1	718	718	-1	90	1	50	100
39992091	-1	-1	718	718	-1	91	2	68	100
39992092	-1	-1	718	718	-1	92	3	90	100
39992093	-1	-1	718	718	-1	93	4	115	100
39992094	-1	-1	718	718	-1	94	5	143	100
39992095	-1	-1	718	718	-1	95	1	50	100
39992096	-1	-1	718	718	-1	96	2	68	100
39992097	-1	-1	718	718	-1	97	3	90	100
39992098	-1	-1	718	718	-1	98	4	115	100
39992099	-1	-1	718	718	-1	99	5	143	100
39992100	-1	-1	718	718	-1	100	1	50	100
39992101	-1	-1	718	718	-1	101	2	68	100
39992102	-1	-1	718	718	-1	102	3	90	100
39992103	-1	-1	718	718	-1	103	4	115	100
39992104	-1	-1	718	718	-1	104	5	143	100
39992105	-1	-1	718	718	-1	105	1	50	100
39992106	-1	-1	718	718	-1	106	2	68	100
39992107	-1	-1	718	718	-1	107	3	90	100
39992108	-1	-1	718	718	-1	108	4	115	100
39992109	-1	-1	718	718	-1	109	5	143	100
39992110	-1	-1	718	718	-1	110	1	50	100
39992111	-1	-1	718	718	-1	111	2	68	100
39992112	-1	-1	718	718	-1	112	3	90	100
39992113	-1	-1	718	718	-1	113	4	115	100
39992114	-1	-1	718	718	-1	114	5	143	100
39992115	-1	-1	718	718	-1	115	1	50	100
39992116	-1	-1	718	718	-1	116	2	68	100
39992117	-1	-1	718	718	-1	117	3	90	100
39992118	-1	-1	718	718	-1	118	4	115	100
39992119	-1	-1	718	718	-1	119	5	143	100
39992120	-1	-1	718	718	-1	120	1	50	100
39992121	-1	-1	718	718	-1	121	2	68	100
39992122	-1	-1	718	718	-1	122	3	90	100
39992123	-1	-1	718	718	-1	123	4	115	100
39992124	-1	-1	718	718	-1	124	5	143	100
39992125	-1	-1	718	718	-1	125	1	50	100
39992126	-1	-1	718	718	-1	126	2	68	100
39992127	-1	-1	718	718	-1	127	3	90	100
39992128	-1	-1	718	718	-1	128	4	115	100
39992129	-1	-1	718	718	-1	129	5	143	100
39992130	-1	-1	718	718	-1	130	1	50	100
39992131	-1	-1	718	718	-1	131	2	68	100
39992132	-1	-1	718	718	-1	132	3	90	100
39992133	-1	-1	718	718	-1	133	4	115	100
39992134	-1	-1	718	718	-1	134	5	143	100
39992135	-1	-1	580	580	-1	135	6	32	100
39992136	-1	-1	580	580	-1	136	6	32	100
39992137	-1	-1	580	580	-1	137	6	32	100
39992138	-1	-1	580	580	-1	138	6	32	100
39992139	-1	-1	580	580	-1	139	6	32	100
39992140	-1	-1	580	580	-1	140	6	32	100
39992141	-1	-1	580	580	-1	141	6	32	100
39992142	-1	-1	580	580	-1	142	6	32	100
39992143	-1	-1	580	580	-1	143	6	32	100
39992144	-1	-1	649	649	-1	144	6	88	100
39992145	-1	-1	649	649	-1	145	6	88	100
39992146	-1	-1	649	649	-1	146	6	88	100
39992147	-1	-1	649	649	-1	147	6	88	100
39992148	-1	-1	649	649	-1	148	6	88	100
39992149	-1	-1	649	649	-1	149	6	88	100
39992150	-1	-1	649	649	-1	150	6	88	100
39992151	-1	-1	649	649	-1	151	6	88	100
39992152	-1	-1	649	649	-1	152	6	88	100
39992153	-1	-1	718	718	-1	153	6	174	100
39992154	-1	-1	718	718	-1	154	6	174	100
39992155	-1	-1	718	718	-1	155	6	174	100
39992156	-1	-1	718	718	-1	156	6	174	100
39992157	-1	-1	718	718	-1	157	6	174	100
39992158	-1	-1	718	718	-1	158	6	174	100
39992159	-1	-1	718	718	-1	159	6	174	100
39992160	-1	-1	718	718	-1	160	6	174	100
39992161	-1	-1	718	718	-1	161	6	174	100
39992162	-1	-1	580	580	-1	162	1	1	80
39993000	-1	-1	-1	-1	531	0	1	1	80
39993001	-1	-1	-1	-1	531	1	2	3	100
39993002	-1	-1	-1	-1	531	2	3	7	100
39993003	-1	-1	-1	-1	531	3	4	12	100
39993004	-1	-1	-1	-1	531	4	5	20	100
39993005	-1	-1	-1	-1	531	5	1	1	80
39993006	-1	-1	-1	-1	531	6	2	3	100
39993007	-1	-1	-1	-1	531	7	3	7	100
39993008	-1	-1	-1	-1	531	8	4	12	100
39993009	-1	-1	-1	-1	531	9	5	20	100
39993010	-1	-1	-1	-1	531	10	1	1	80
39993011	-1	-1	-1	-1	531	11	2	3	100
39993012	-1	-1	-1	-1	531	12	3	7	100
39993013	-1	-1	-1	-1	531	13	4	12	100
39993014	-1	-1	-1	-1	531	14	5	20	100
39993015	-1	-1	-1	-1	531	15	1	1	80
39993016	-1	-1	-1	-1	531	16	2	3	100
39993017	-1	-1	-1	-1	531	17	3	7	100
39993018	-1	-1	-1	-1	531	18	4	12	100
39993019	-1	-1	-1	-1	531	19	5	20	100
39993020	-1	-1	-1	-1	531	20	1	1	80
39993021	-1	-1	-1	-1	531	21	2	3	100
39993022	-1	-1	-1	-1	531	22	3	7	100
39993023	-1	-1	-1	-1	531	23	4	12	100
39993024	-1	-1	-1	-1	531	24	5	20	100
39993025	-1	-1	-1	-1	531	25	1	1	80
39993026	-1	-1	-1	-1	531	26	2	3	100
39993027	-1	-1	-1	-1	531	27	3	7	100
39993028	-1	-1	-1	-1	531	28	4	12	100
39993029	-1	-1	-1	-1	531	29	5	20	100
39993030	-1	-1	-1	-1	531	30	1	1	80
39993031	-1	-1	-1	-1	531	31	2	3	100
39993032	-1	-1	-1	-1	531	32	3	7	100
39993033	-1	-1	-1	-1	531	33	4	12	100
39993034	-1	-1	-1	-1	531	34	5	20	100
39993035	-1	-1	-1	-1	531	35	1	1	80
39993036	-1	-1	-1	-1	531	36	2	3	100
39993037	-1	-1	-1	-1	531	37	3	7	100
39993038	-1	-1	-1	-1	531	38	4	12	100
39993039	-1	-1	-1	-1	531	39	5	20	100
39993040	-1	-1	-1	-1	531	40	1	1	80
39993041	-1	-1	-1	-1	531	41	2	3	100
39993042	-1	-1	-1	-1	531	42	3	7	100
39993043	-1	-1	-1	-1	531	43	4	12	100
39993044	-1	-1	-1	-1	531	44	5	20	100
39993045	-1	-1	-1	-1	593	45	1	20	100
39993046	-1	-1	-1	-1	593	46	2	30	100
39993047	-1	-1	-1	-1	593	47	3	35	100
39993048	-1	-1	-1	-1	593	48	4	42	100
39993049	-1	-1	-1	-1	593	49	5	57	100
39993050	-1	-1	-1	-1	593	50	1	20	100
39993051	-1	-1	-1	-1	593	51	2	30	100
39993052	-1	-1	-1	-1	593	52	3	35	100
39993053	-1	-1	-1	-1	593	53	4	42	100
39993054	-1	-1	-1	-1	593	54	5	57	100
39993055	-1	-1	-1	-1	593	55	1	20	100
39993056	-1	-1	-1	-1	593	56	2	30	100
39993057	-1	-1	-1	-1	593	57	3	35	100
39993058	-1	-1	-1	-1	593	58	4	42	100
39993059	-1	-1	-1	-1	593	59	5	57	100
39993060	-1	-1	-1	-1	593	60	1	20	100
39993061	-1	-1	-1	-1	593	61	2	30	100
39993062	-1	-1	-1	-1	593	62	3	35	100
