INT	INT	STRING
782	75	熊猫
783	85	熊猫
784	95	熊猫
785	5	螃蟹
786	45	螃蟹
787	55	螃蟹
788	65	螃蟹
789	75	螃蟹
790	85	螃蟹
791	95	螃蟹
792	5	蝴蝶
793	45	蝴蝶
794	55	蝴蝶
795	65	蝴蝶
796	75	蝴蝶
797	85	蝴蝶
798	95	蝴蝶
799	5	蜗牛
800	45	蜗牛
801	55	蜗牛
802	65	蜗牛
803	75	蜗牛
804	85	蜗牛
805	95	蜗牛
806	5	蝎子
807	45	蝎子
808	55	蝎子
809	65	蝎子
810	75	蝎子
811	85	蝎子
812	95	蝎子
813	5	穿山甲
814	45	穿山甲
815	55	穿山甲
816	65	穿山甲
817	75	穿山甲
818	85	雷麟
819	95	穿山甲
820	5	大甲虫
821	45	大甲虫
822	55	大甲虫
823	65	大甲虫
824	75	大甲虫
825	85	大甲虫
826	95	大甲虫
827	5	当扈
828	45	当扈
829	55	当扈
830	65	当扈
831	75	当扈
832	85	当扈
833	95	当扈
834	5	海盗鼠
835	45	海盗鼠
836	55	海盗鼠
837	65	海盗鼠
838	75	海盗鼠
839	85	海盗鼠
840	95	海盗鼠
841	5	宝箱童子
842	45	宝箱童子
843	55	宝箱童子
844	65	宝箱童子
845	75	宝箱童子
846	85	宝箱童子
847	95	宝箱童子
848	5	树袋熊
849	45	树袋熊
850	55	树袋熊
851	65	树袋熊
852	75	树袋熊
853	85	树袋熊
854	95	树袋熊
856	5	欢乐猪
857	45	欢乐猪
858	55	欢乐猪
859	65	欢乐猪
860	75	欢乐猪
861	85	欢乐猪
862	95	欢乐猪
863	55	火鬃妖鼠
864	75	炎火妖鼠
865	65	玄翼魔兽
866	75	蚩玄魔兽
867	65	珍奇鼠
868	75	麒麟
869	85	吉祥猫
870	5	珍奇鼠
871	45	珍奇鼠
872	55	珍奇鼠
873	85	魔牙暴龙
874	5	唐装鼠
875	45	唐装鼠
876	55	唐装鼠
877	65	唐装鼠
878	75	唐装鼠
879	85	唐装鼠
880	95	唐装鼠
881	5	年兽
882	45	年兽
883	55	年兽
884	65	年兽
885	75	年兽
886	85	年兽
887	95	年兽
888	5	鸳鸯
889	45	鸳鸯
890	55	鸳鸯
891	65	鸳鸯
892	75	鸳鸯
893	85	鸳鸯
894	95	鸳鸯
895	65	虬龙
896	45	毛驴
897	55	毛驴
898	65	毛驴
2200	5	穷奇
2201	45	穷奇
2202	55	穷奇
2203	65	穷奇
2204	75	穷奇
2205	85	穷奇
2206	95	穷奇
2207	5	小狐仙
2208	45	小狐仙
2209	55	小狐仙
2210	65	小狐仙
2211	75	小狐仙
2212	85	小狐仙
2213	95	小狐仙
2214	5	上古神猿
2215	45	上古神猿
2216	55	上古神猿
2217	65	上古神猿
2218	75	上古神猿
2219	85	上古神猿
2220	75	虬龙
2221	5	比翼鸟
2222	45	比翼鸟
2223	55	比翼鸟
2224	65	比翼鸟
2225	75	比翼鸟
2226	85	比翼鸟
2227	95	比翼鸟
2228	5	呆呆牛
2229	45	呆呆牛
2230	55	呆呆牛
2231	65	呆呆牛
2232	75	呆呆牛
2233	85	呆呆牛
2234	95	呆呆牛
2235	5	珍奇牛
2236	45	珍奇牛
2237	55	珍奇牛
2238	65	珍奇牛
2239	75	珍奇牛
2240	85	珍奇牛
2241	95	珍奇牛
2242	5	麒麟
2243	45	麒麟
2244	55	麒麟
2245	65	麒麟
2246	75	麒麟
2247	85	麒麟
2248	95	麒麟
2249	5	go仔
2250	45	go仔
2251	55	go仔
2252	65	go仔
2253	75	go仔
2254	85	go仔
2255	95	go仔
2256	85	神猿
2257	95	神猿
2258	5	岩魂
2259	45	岩魂
2260	55	岩魂
2261	65	岩魂
2262	75	岩魂
2263	85	岩魂
2264	95	岩魂
2265	5	七夕鸳鸯
2266	45	七夕鸳鸯
2267	55	七夕鸳鸯
2268	65	七夕鸳鸯
2269	75	七夕鸳鸯
2270	85	七夕鸳鸯
2271	95	七夕鸳鸯
2272	5	废柴
2273	45	废柴
2274	55	废柴
2275	65	废柴
2276	75	废柴
2277	85	废柴
2278	95	废柴
2279	5	灵兔兽
2280	45	灵兔兽
2281	55	灵兔兽
2282	65	灵兔兽
2283	75	灵兔兽
2284	85	灵兔兽
2285	95	灵兔兽
2286	5	至尊神兽
2287	45	至尊神兽
2288	55	至尊神兽
2289	65	至尊神兽
2290	75	至尊神兽
2291	85	至尊神兽
2292	95	至尊神兽
2293	5	卡卡狮
2294	5	香甜火鸡
2295	45	醋椒火鸡
2296	55	番茄火鸡
2297	65	蓝莓火鸡
2298	75	蒜泥火鸡
2299	85	咖喱火鸡
2300	95	奶油火鸡
2301	5	丑小鸭
2302	55	丑小鸭
2303	85	丑小鸭
2304	5	花仙子
2305	45	花仙子
2306	55	花仙子
2307	65	花仙子
2308	75	花仙子
2309	85	花仙子
2310	95	花仙子
2311	5	驯鹿
2312	45	驯鹿
2313	55	驯鹿
2314	65	驯鹿
2315	75	驯鹿
2316	85	驯鹿
2317	95	驯鹿
2318	5	珍奇虎
2319	45	珍奇虎
2320	55	珍奇虎
2321	65	珍奇虎
2322	75	珍奇虎
2323	85	珍奇虎
2324	95	珍奇虎
2325	5	布老虎
2326	45	布老虎
2327	55	布老虎
2328	65	布老虎
2329	75	布老虎
2330	85	布老虎
2331	95	布老虎
2333	5	幼齿龙
2334	45	幼齿龙
2335	55	幼齿龙
2336	65	幼齿龙
2337	75	幼齿龙
2338	85	幼齿龙
2339	95	幼齿龙
2340	5	熊猫双侠
2341	45	熊猫双侠
2342	55	熊猫双侠
2343	65	熊猫双侠
2344	75	熊猫双侠
2345	85	熊猫双侠
2346	95	熊猫双侠
2347	20	招柴猫
2349	20	章鱼
2350	45	章鱼
2351	55	章鱼
2352	65	章鱼
2353	75	章鱼
2354	85	章鱼
2355	95	章鱼
2356	5	蝶恋花
2357	45	蝶恋花
2358	55	蝶恋花
2359	65	蝶恋花
2360	75	蝶恋花
2361	85	蝶恋花
2362	95	蝶恋花
2363	5	傀儡狼
2364	45	傀儡狼
2365	55	傀儡狼
2366	65	傀儡狼
2367	75	傀儡狼
2368	85	傀儡狼
2369	95	傀儡狼
2370	5	僵尸
2371	5	五色神牛
2372	45	五色神牛
2373	55	五色神牛
2374	65	五色神牛
2375	75	五色神牛
2376	85	五色神牛
2377	95	五色神牛
2378	45	僵尸
2379	55	僵尸
2380	65	僵尸
2381	75	僵尸
2382	85	僵尸
2383	95	僵尸
2384	5	幽冥狼妖
2385	45	幽冥狼妖
2386	55	幽冥狼妖
2387	65	幽冥狼妖
2388	75	幽冥狼妖
2389	85	幽冥狼妖
2390	95	幽冥狼妖
2391	5	七巧狸猫
2392	45	七巧狸猫
2393	55	七巧狸猫
2394	65	七巧狸猫
2395	75	七巧狸猫
2396	85	七巧狸猫
2397	95	七巧狸猫
2398	5	玉鸾凤
2399	45	玉鸾凤
2400	55	玉鸾凤
2401	65	玉鸾凤
2402	75	玉鸾凤
2403	85	玉鸾凤
2404	95	玉鸾凤
2405	5	神企鹅
2406	45	神企鹅
2407	55	神企鹅
2409	75	神企鹅
2410	85	神企鹅
2411	95	神企鹅
2412	5	灵兔双杰
2413	45	灵兔双杰
2414	55	灵兔双杰
2415	65	灵兔双杰
2416	75	灵兔双杰
2417	85	灵兔双杰
2418	95	灵兔双杰
2419	5	蛮石怪
2420	45	蛮石怪
2421	55	蛮石怪
2422	65	蛮石怪
2423	75	蛮石怪
2424	85	蛮石怪
2425	95	蛮石怪
2426	5	精灵兔
2427	45	精灵兔
2428	55	精灵兔
2429	65	精灵兔
2430	75	精灵兔
2431	85	精灵兔
2432	95	精灵兔
2433	5	锦毛鼠
2434	45	锦毛鼠
2435	55	锦毛鼠
2436	65	锦毛鼠
2437	75	锦毛鼠
2438	85	锦毛鼠
2439	95	锦毛鼠
2440	5	多玩熊
2441	20	YY熊
2442	5	昴日星
2443	5	拱天豖
2444	5	东风螺
2445	75	星河玉兔
2446	85	九天玉兔
2447	5	玉兔
2448	45	晨星玉兔
2449	55	月桂玉兔
2450	65	天宫玉兔
2471	85	豆豆龙宝宝
2472	95	豆豆龙宝宝
2478	85	出云龙蟒宝宝
2479	95	出云龙蟒宝宝
2486	85	傲云苍龙宝宝
2487	95	傲云苍龙宝宝
2493	85	太古龙魂宝宝
2494	95	太古龙魂宝宝
2500	85	幻化冰妖
2501	85	幻化孙美美
2502	85	幻化水匪头领
2503	85	幻化水匪头领
2504	85	幻化冰妖
2505	85	幻化孙美美
2506	85	幻化孙美美
2507	85	幻化冰妖
2508	85	幻化水匪头领
2509	85	幻化孙美美
2510	85	幻化冰妖
2511	85	幻化水匪头领
2512	85	幻化孙美美
2513	85	幻化孙美美
2514	85	幻化水匪头领
2515	85	幻化冰妖
2516	85	幻化孙美美
2517	85	幻化冰妖
2518	85	幻化冰妖
2519	85	幻化孙美美
2520	85	幻化冰妖
2521	85	幻化孙美美
2522	85	幻化孙美美
2523	85	幻化孙美美
2524	85	幻化冰妖
2525	85	幻化孙美美
2526	85	幻化冰妖
2527	85	幻化冰妖
2528	85	幻化孙美美
2529	85	幻化水匪头领
2530	85	幻化冰妖
2531	85	幻化孙美美
2532	85	幻化水匪头领
2533	85	幻化冰妖
2534	85	幻化冰妖
2535	95	幻化秦王
2536	95	幻化远古棋魂
2537	95	幻化远古棋魂
2538	95	幻化秦王
2539	95	幻化秦王
2540	95	幻化远古棋魂
2541	95	幻化哈大霸
2542	95	幻化秦王
2543	95	幻化远古棋魂
2544	95	幻化哈大霸
2545	95	幻化秦王
2546	95	幻化哈大霸
2547	95	幻化哈大霸
2548	95	幻化远古棋魂
2549	95	幻化秦王
2550	95	幻化远古棋魂
2551	95	幻化远古棋魂
2552	95	幻化秦王
2553	95	幻化秦王
2554	95	幻化秦王
2555	95	幻化远古棋魂
2556	95	幻化秦王
2557	95	幻化远古棋魂
2558	95	幻化远古棋魂
2559	95	幻化秦王
2560	95	幻化哈大霸
2561	95	幻化远古棋魂
2562	95	幻化秦王
2563	95	幻化哈大霸
2564	95	幻化远古棋魂
2565	95	幻化远古棋魂
2566	85	幻化孙美美
2567	95	幻化秦王
2568	85	幻化冰妖
2569	95	幻化远古棋魂
2570	85	幻化孙美美
2571	95	幻化秦王
2572	85	幻化冰妖
2573	95	幻化远古棋魂
2574	85	幻化冰妖
2575	95	幻化远古棋魂
2577	85	幻化水匪头领
2578	95	幻化哈大霸
2579	85	幻化孙美美
2580	95	幻化秦王
2581	85	幻化孙美美
2582	95	幻化秦王
2583	85	幻化孙美美
2584	95	幻化秦王
2585	85	幻化冰妖
2586	95	幻化远古棋魂
2587	85	幻化冰妖
2588	95	幻化远古棋魂
2589	85	幻化孙美美
2590	95	幻化秦王
2591	85	幻化孙美美
2592	95	幻化秦王
2594	85	幻化孙美美
2595	95	幻化秦王
2596	85	幻化水匪头领
2597	95	幻化哈大霸
2598	85	幻化冰妖
2599	95	幻化远古棋魂
2600	85	幻化冰妖
2601	95	幻化远古棋魂
2602	85	幻化冰妖
2603	95	幻化远古棋魂
2604	85	幻化孙美美
2605	95	幻化秦王
2606	85	幻化孙美美
2607	95	幻化秦王
2608	85	幻化水匪头领
2609	95	幻化哈大霸
2610	85	幻化孙美美
2611	95	幻化秦王
2612	85	幻化冰妖
2613	95	幻化三头犬
2614	95	幻化钻地神
2615	95	幻化狂暴龙
2616	95	幻化赤霄
2617	85	幻化冰妖
2618	95	幻化远古棋魂
2619	85	幻化孙美美
2620	95	幻化秦王
2621	85	幻化冰妖
2622	95	幻化远古棋魂
2623	85	幻化冰妖
2624	95	幻化远古棋魂
2625	85	幻化冰妖
2626	95	幻化远古棋魂
2627	85	幻化冰妖
2628	95	幻化远古棋魂
2700	5	鼹鼠
2701	45	鼹鼠
2702	55	鼹鼠
2703	65	鼹鼠
2704	75	鼹鼠
2705	85	鼹鼠
2706	95	鼹鼠
2707	5	捣蛋鼠
2708	45	捣蛋鼠
2709	55	捣蛋鼠
2710	65	捣蛋鼠
2711	75	捣蛋鼠
2712	85	捣蛋鼠
2713	95	捣蛋鼠
2714	5	咩小萌
2715	45	咩小萌
2716	55	咩小萌
2717	65	咩小萌
2718	75	咩小萌
2719	85	咩小萌
2720	95	咩小萌
2721	20	球球熊
2722	5	美人鱼
2723	45	美人鱼
2724	55	美人鱼
2725	65	美人鱼
2726	75	美人鱼
2727	85	美人鱼
2728	95	美人鱼
2729	5	天蓬揽月
2730	45	天蓬揽月
2731	55	天蓬揽月
2732	65	天蓬揽月
2733	75	天蓬揽月
2734	85	天蓬揽月
2735	5	九黎妖虎
2736	45	九黎妖虎
2737	55	九黎妖虎
2738	65	九黎妖虎
2739	75	九黎妖虎
2740	85	九黎妖虎
2741	95	九黎妖虎
2742	5	轩辕天凤
2743	45	轩辕天凤
2744	55	轩辕天凤
2745	65	轩辕天凤
2746	75	轩辕天凤
2747	85	轩辕天凤
2748	95	轩辕天凤
2749	5	百变汪仔
2750	45	百变汪仔
2751	55	百变汪仔
2752	65	百变汪仔
2753	75	百变汪仔
2754	85	百变汪仔
2755	95	百变汪仔
2756	5	玄荒腾蛇
2757	45	玄荒腾蛇
2758	55	玄荒腾蛇
2759	65	玄荒腾蛇
2760	75	玄荒腾蛇
2761	85	玄荒腾蛇
2762	95	玄荒腾蛇
2763	5	娲皇龙蟒
2764	45	娲皇龙蟒
2765	55	娲皇龙蟒
2766	65	娲皇龙蟒
2767	75	娲皇龙蟒
2768	85	娲皇龙蟒
2769	95	娲皇龙蟒
2770	95	太古龙魂
2771	95	傲云苍龙
2772	95	娲皇龙蟒
2773	95	玄荒腾蛇
2774	5	靓靓马
2775	5	玄女蛇
2776	45	玄女蛇
2777	55	玄女蛇
2778	65	玄女蛇
2779	75	玄女蛇
2780	85	玄女蛇
2781	95	玄女蛇
2782	20	巡游小仙
2783	45	钟小花
2784	20	小浪人
2785	20	蜂鸟
2786	20	安仔
2787	5	钟小黑
2788	1	闪电貂
2789	1	闪电貂
2790	5	毛毛牛
2791	45	毛毛牛
2792	55	毛毛牛
2793	65	毛毛牛
2794	75	毛毛牛
2795	85	毛毛牛
2796	95	毛毛牛
2797	5	圣妆小鹿
2798	45	圣妆小鹿
2799	55	圣妆小鹿
2800	65	圣妆小鹿
2801	75	圣妆小鹿
2802	85	圣妆小鹿
2803	95	圣妆小鹿
2804	5	昆仑仙骏
2805	45	昆仑仙骏
2806	55	昆仑仙骏
2807	65	昆仑仙骏
2808	75	昆仑仙骏
2809	85	昆仑仙骏
2810	95	昆仑仙骏
2811	5	太苍龙子
2812	45	太苍龙子
2813	55	太苍龙子
2814	65	太苍龙子
2815	75	太苍龙子
2816	85	太苍龙子
2817	95	太苍龙子
2818	5	暴走熊猫
2819	45	暴走熊猫
2820	55	暴走熊猫
2821	65	暴走熊猫
2822	75	暴走熊猫
2823	85	暴走熊猫
2824	95	暴走熊猫
2825	5	萌音花灵
2826	45	萌音花灵
2827	55	萌音花灵
2828	65	萌音花灵
2829	75	萌音花灵
2830	85	萌音花灵
2831	95	萌音花灵
2832	20	小易
2833	5	小马哥
2834	45	小马哥
2835	55	小马哥
2836	65	小马哥
2837	75	小马哥
2838	85	小马哥
2839	95	小马哥
2840	5	百战金刚
2841	45	百战金刚
2842	55	百战金刚
2843	65	百战金刚
2844	75	百战金刚
2845	85	百战金刚
2846	95	百战金刚
2847	5	青羊真君
2848	45	青羊真君
2849	55	青羊真君
2850	65	青羊真君
2851	75	青羊真君
2852	85	青羊真君
2853	95	青羊真君
2854	5	羚天大圣
2855	45	羚天大圣
2856	55	羚天大圣
2857	65	羚天大圣
2858	75	羚天大圣
2859	85	羚天大圣
2860	95	羚天大圣
2861	5	金童玉女
2862	45	金童玉女
2863	55	金童玉女
2864	65	金童玉女
2865	75	金童玉女
2866	85	金童玉女
2867	95	金童玉女
2931	5	七巧狸猫
2932	45	七巧狸猫
2933	55	七巧狸猫
2934	65	七巧狸猫
2935	75	七巧狸猫
2936	85	七巧狸猫
2937	95	七巧狸猫
2938	5	憨逗熊
2939	45	憨逗熊
2940	55	憨逗熊
2941	65	憨逗熊
2942	75	憨逗熊
2943	85	憨逗熊
2944	95	憨逗熊
2945	5	元元
2946	5	人鱼公主
2947	45	人鱼公主
2948	55	人鱼公主
2949	65	人鱼公主
2950	75	人鱼公主
2951	85	人鱼公主
2952	95	人鱼公主
2953	20	变异螃蟹
2954	5	战修罗
2955	45	战修罗
2956	55	战修罗
2957	65	战修罗
2958	75	战修罗
2959	85	战修罗
2960	95	战修罗
2961	5	邪灵
2962	45	邪灵
2963	55	邪灵
2964	65	邪灵
2965	75	邪灵
2966	85	邪灵
2967	95	邪灵
2968	5	妖狐剑君
2969	45	妖狐剑君
2970	55	妖狐剑君
2971	65	妖狐剑君
2972	75	妖狐剑君
2973	85	妖狐剑君
2974	95	妖狐剑君
2975	5	九霄战龙
2976	45	九霄战龙
2977	55	九霄战龙
2978	65	九霄战龙
2979	75	九霄战龙
2980	85	九霄战龙
2981	95	九霄战龙
2982	5	同心鸳鸯
2983	45	同心鸳鸯
2984	55	同心鸳鸯
2985	65	同心鸳鸯
2986	75	同心鸳鸯
2987	85	同心鸳鸯
2988	95	同心鸳鸯
2989	5	铁扇公主
2990	45	铁扇公主
2991	55	铁扇公主
2992	65	铁扇公主
2993	75	铁扇公主
2994	85	铁扇公主
2995	95	铁扇公主
2996	20	松鼠
2997	5	通臂猿猴
2998	45	通臂猿猴
2999	55	通臂猿猴
3000	65	通臂猿猴
3001	75	通臂猿猴
3002	85	通臂猿猴
3003	95	通臂猿猴
3004	5	逗趣鲨
3005	45	逗趣鲨
3006	55	逗趣鲨
3007	65	逗趣鲨
3008	75	逗趣鲨
3009	85	逗趣鲨
3010	95	逗趣鲨
3011	5	美猴王
3012	45	美猴王
3013	55	美猴王
3014	65	美猴王
3015	75	美猴王
3016	85	美猴王
3017	95	美猴王
3018	5	齐天大圣
3019	45	齐天大圣
3020	55	齐天大圣
3021	65	齐天大圣
3022	75	齐天大圣
3023	85	齐天大圣
3024	95	齐天大圣
3025	5	稚月灵
3026	45	稚月灵
3027	55	稚月灵
3028	65	稚月灵
3029	75	稚月灵
3030	85	稚月灵
3031	95	稚月灵
3032	5	二郎真君
3033	45	二郎真君
3034	55	二郎真君
3035	65	二郎真君
3036	75	二郎真君
3037	85	二郎真君
3038	95	二郎真君
3039	20	东仔
3040	5	龙三太子
3041	45	龙三太子
3042	55	龙三太子
3043	65	龙三太子
3044	75	龙三太子
3045	85	龙三太子
3046	95	龙三太子
3050	5	狐小仙
3051	45	狐小仙
3052	55	狐小仙
3053	65	狐小仙
3054	75	狐小仙
3055	85	狐小仙
3056	95	狐小仙
3057	5	萌宝猪
3058	45	萌宝猪
3059	55	萌宝猪
3060	65	萌宝猪
3061	75	萌宝猪
3062	85	萌宝猪
3063	95	萌宝猪
3064	95	娲皇龙君
3065	5	灵魅儿
3066	45	灵魅儿
3067	55	灵魅儿
3068	65	灵魅儿
3069	75	灵魅儿
3070	85	灵魅儿
3071	95	灵魅儿
3072	95	娲皇龙帝
3073	20	傀儡狼
3074	5	碧落青鸾
3075	45	碧落青鸾
3076	55	碧落青鸾
3077	65	碧落青鸾
3078	75	碧落青鸾
3079	85	碧落青鸾
3080	95	碧落青鸾
3081	5	天命玄凤
3082	45	天命玄凤
3083	55	天命玄凤
3084	65	天命玄凤
3085	75	天命玄凤
3086	85	天命玄凤
3087	95	天命玄凤
3088	5	妙鼠小仙
3089	45	妙鼠小仙
3090	55	妙鼠小仙
3091	65	妙鼠小仙
3092	75	妙鼠小仙
3093	85	妙鼠小仙
3094	95	妙鼠小仙
3095	5	神机小子
3096	45	神机小子
3097	55	神机小子
3098	65	神机小子
3099	75	神机小子
3100	85	神机小子
3101	95	神机小子
3102	5	云霄玉兔
3103	45	云霄玉兔
3104	55	云霄玉兔
3105	65	云霄玉兔
3106	75	云霄玉兔
3107	85	云霄玉兔
3108	95	云霄玉兔
3109	5	灵珠子
3110	45	灵珠子
3111	55	灵珠子
3112	65	灵珠子
3113	75	灵珠子
3114	85	灵珠子
3115	95	灵珠子
3116	5	噬月苍狗
3117	45	噬月苍狗
3118	55	噬月苍狗
3119	65	噬月苍狗
3120	75	噬月苍狗
3121	85	噬月苍狗
3122	95	噬月苍狗
3123	5	紫霄玄狼
3124	45	紫霄玄狼
3125	55	紫霄玄狼
3126	65	紫霄玄狼
3127	75	紫霄玄狼
3128	85	紫霄玄狼
3129	95	紫霄玄狼
3130	95	招财锦狐
3131	5	蛋蛋鸡
3132	45	蛋蛋鸡
3133	55	蛋蛋鸡
3134	65	蛋蛋鸡
3135	75	蛋蛋鸡
3136	85	蛋蛋鸡
3137	95	蛋蛋鸡
3138	95	傀儡狼
3139	5	狸美人
3140	45	狸美人
3141	55	狸美人
3142	65	狸美人
3143	75	狸美人
3144	85	狸美人
3145	95	狸美人
3418	5	己亥星君
3419	45	己亥星君
3420	55	己亥星君
3421	65	己亥星君
3422	75	己亥星君
3423	85	己亥星君
3424	95	己亥星君
3425	5	己亥神君
3426	45	己亥神君
3427	55	己亥神君
3428	65	己亥神君
3429	75	己亥神君
3430	85	己亥神君
3431	95	己亥神君
3432	5	七宝鸳鸯
3433	45	七宝鸳鸯
3434	55	七宝鸳鸯
3435	65	七宝鸳鸯
3436	75	七宝鸳鸯
3437	85	七宝鸳鸯
3438	95	七宝鸳鸯
3439	5	九霄开明
3440	45	九霄开明
3441	55	九霄开明
3442	65	九霄开明
3443	75	九霄开明
3444	85	九霄开明
3445	95	九霄开明
3446	5	太白鹿灵
3447	45	太白鹿灵
3448	55	太白鹿灵
3449	65	太白鹿灵
3450	75	太白鹿灵
3451	85	太白鹿灵
3452	95	太白鹿灵
5310	95	景年
5311	95	摩喝乐
